"Rank","Gene","p_value"
1,"PYHIN1",9.10839149002072e-34
2,"EYA4",2.96622310411262e-32
3,"MIR34AHG",3.52266337121566e-29
4,"ZMAT3",1.58028982128435e-28
5,"EDA2R",3.725022442315e-23
6,"TCF21",5.74692121419251e-23
7,"LMO3",6.98160940011349e-23
8,"NNAT",8.49200756772577e-23
9,"HAPLN3",1.00650866695378e-22
10,"SCN1B",1.2905462584935e-22
11,"TMEM132C",1.54590403612387e-22
12,"ECHDC3",1.76404027883388e-22
13,"LNCTAM34A",2.39853472396868e-22
14,"ANKRD53",2.57640193806e-22
15,"Y_RNA",7.06845837327463e-22
16,"SFRP2",1.44248344920244e-21
17,"SHMT1",2.51192355125616e-21
18,"PTGER3",6.07330072114022e-21
19,"TYRO3",8.38340008851076e-21
20,"GHR",1.82080005702577e-20
21,"HEBP2",1.85217786464178e-20
22,"CYB5A",2.14750445672785e-20
23,"ZBED3",2.98492091545565e-20
24,"NAT8L",3.04572854620313e-20
25,"PEX11A",3.3764567642105e-20
26,"ACSL1",3.38601222408204e-20
27,"APOBEC3H",3.48957086460852e-20
28,"PC",5.09000533098268e-20
29,"OXCT1",5.45037889534279e-20
30,"ORMDL3",5.7437540585582e-20
31,"GLUD2",7.7162739920369e-20
32,"MTARC1",9.263726807522e-20
33,"ASS1",1.09975042915521e-19
34,"GNB3",1.50640083045288e-19
35,"PDP2",1.60519056071466e-19
36,"PTCHD4",1.7418720107777e-19
37,"ESYT1",1.78116933482147e-19
38,"HADH",1.88218263259386e-19
39,"TNK1",1.95329164644794e-19
40,"VAT1L",2.14022113251963e-19
41,"MDK",2.25581897326901e-19
42,"CCN2",2.38457349658515e-19
43,"ASXL3",2.51468697472904e-19
44,"PPARG",2.95461777213579e-19
45,"LINC00924",3.10892123666701e-19
46,"LINC01117",3.935249218213e-19
47,"TMEM120A",4.0886604642229e-19
48,"MTHFD1",4.16566570330891e-19
49,"TMEM52",4.22871964204436e-19
50,"TFAP2E",5.73066980448316e-19
51,"NRXN2",8.11358794639911e-19
52,"LINC00963",9.28002276828896e-19
53,"LIPE-AS1",1.07285957328578e-18
