"Rank","Gene","p_value"
1,"Y_RNA",3.21937098027018e-38
2,"ZNF676",8.40776126592378e-31
3,"SPATA18",4.94436543252956e-30
4,"ZMAT3",6.6829585400639e-30
5,"EDA2R",1.16607726031146e-27
6,"LMO3",4.25917184448416e-27
7,"RPS27L",8.24948345656937e-27
8,"ENSG00000244953",1.97164356902497e-25
9,"PYHIN1",2.54246129153054e-25
10,"EYA4",1.45626363584336e-24
11,"SAYSD1",4.01166904357521e-24
12,"SMOC2",6.51985819941421e-24
13,"VN1R85P",7.62085167497899e-24
14,"FMO3",1.62867534212919e-23
15,"CDKN1B",2.00067855612218e-23
16,"TLK1",8.43175299816359e-23
17,"BEX5",1.03064064518093e-22
18,"NCK1",1.2527335028879e-22
19,"PTCHD4",1.29029258673998e-22
20,"VTRNA1-3",3.2232895436935e-22
21,"LEPROTL1",3.77442654878776e-22
22,"MEOX2",4.25558973176954e-22
23,"ENSG00000280332",5.13267406318048e-22
24,"FRA10AC1",6.07102555167811e-22
25,"ATG12",6.2224521567211e-22
26,"GDF15",1.03219989535678e-21
27,"NKAP",1.04707693541321e-21
28,"ENSG00000263272",1.05876944833259e-21
29,"EOMES",1.14217927548501e-21
30,"BET1",1.25215531310605e-21
31,"RNASEH2B",1.28037849656868e-21
32,"SBF2-AS1",1.50262556236052e-21
33,"HEBP1",2.34947874148633e-21
34,"TMSB15B",2.72028962624694e-21
35,"TMCC3",3.05265860000031e-21
36,"ENSG00000228107",3.44533734782173e-21
37,"OSBPL2",5.40034665907324e-21
38,"HEIH",5.8351366069934e-21
39,"LNCTAM34A",7.00372697593144e-21
40,"FAM220A",8.97289263021925e-21
41,"DDB2",1.00945510826397e-20
42,"COMMD10",1.05325567489261e-20
43,"ZNF227",1.12304063157792e-20
44,"IKZF2",1.25093955686704e-20
45,"CEP44",1.29463296127504e-20
46,"TTC13",1.58756988333468e-20
47,"LRP5L",1.81365344466204e-20
48,"ENSG00000271218",1.91118126991126e-20
49,"TLE5",1.99138034316576e-20
50,"FAM200B",2.27345898772527e-20
51,"CSNK1G3",2.54157371374929e-20
52,"ENSG00000289523",2.90872077651919e-20
53,"ENSG00000279722",3.36688849442887e-20
54,"TMEM234",3.83955430805815e-20
55,"SCAMP1",3.95839835857759e-20
56,"MED21",3.98930065702911e-20
57,"GATAD1",4.10289940557234e-20
58,"CHIC1",4.20759230384591e-20
59,"HOXD9",4.21637926613462e-20
60,"IRF2",4.53676736333874e-20
61,"CCN5",4.67488797645782e-20
62,"CASD1",4.71716719849966e-20
63,"ENSG00000236031",5.14205604686636e-20
64,"ENSG00000263050",5.26157352587262e-20
65,"SCARB1",5.71834175284907e-20
66,"ENSG00000260160",6.16009069916753e-20
67,"ENSG00000227782",6.55997469903475e-20
68,"POLR2M",6.57415234952343e-20
69,"C3orf36",6.67688335315131e-20
70,"RN7SL473P",7.47023014971201e-20
71,"ZNF720",7.51576661725427e-20
72,"TMEM205",7.55312843476778e-20
73,"PLSCR4",8.12980320468419e-20
74,"LSM8",8.40406781681029e-20
75,"SPOP",8.5314083416455e-20
76,"TMCC1",8.8252558515135e-20
77,"BMS1P23",8.90393735694339e-20
78,"STX17",9.78789659204677e-20
79,"HOXD8",1.03024162367795e-19
80,"BMT2",1.0678743786439e-19
81,"FHIP2A",1.41968468721017e-19
82,"ENSG00000279488",1.43493468530912e-19
83,"USP25",1.65355452465547e-19
84,"CC2D1A",1.69352523348544e-19
85,"FAM76B",1.72773626387316e-19
86,"CDKN2A",1.73057406157483e-19
87,"KRBOX4",1.98615458632508e-19
88,"TSNAX",2.05481905770279e-19
89,"RBM5",2.2244320777714e-19
90,"MICU3",2.29342758300795e-19
91,"ATAD1",2.42208059452642e-19
92,"CLK1",2.46999231959459e-19
93,"SPATA7",2.51755293414639e-19
94,"ZNF133",2.5378396918673e-19
95,"RAB28P5",2.56523188025193e-19
96,"MEAF6",2.73492017295712e-19
97,"MAF",2.81795137540304e-19
98,"ENSG00000273203",2.87128391178398e-19
99,"UCKL1",2.96850244521795e-19
100,"ENSG00000258168",3.0535201244739e-19
101,"AHSA2P",3.18234471562265e-19
102,"SNX24",3.22704538821403e-19
103,"NEDD1",3.42619446668591e-19
104,"ATXN2",3.47032650393233e-19
105,"ENSG00000288826",3.63679525019685e-19
106,"PBX3",3.86631066085822e-19
107,"ENSG00000273300",3.900059311982e-19
108,"MAX",4.07212519471364e-19
109,"TBL1XR1",4.32644682048749e-19
110,"PTPN9",4.57513938905381e-19
111,"TPD52",4.59767182032259e-19
112,"USP50",4.69622352304024e-19
113,"WASL",4.70443595236075e-19
114,"SEC22A",4.8967070232811e-19
115,"ZNF451-AS1",5.57889286527029e-19
116,"L3MBTL4",5.62668894133574e-19
117,"MAT2B",5.78240452013744e-19
118,"ENSG00000165121",5.88643308828556e-19
119,"GPBP1L1",6.39005592841623e-19
120,"SPATA5",6.44071742714914e-19
121,"CMC1",6.62108603399033e-19
122,"ADPRM",7.11950477832212e-19
123,"TTC14",7.24699138703721e-19
124,"EXOSC8",7.68733321481956e-19
125,"TMEM126B",7.70009765365972e-19
126,"VRK3",8.00853852960256e-19
127,"CCDC28A",8.50506497717906e-19
128,"ANKZF1",8.75506026651894e-19
129,"KPNB1-DT",9.09459218461529e-19
130,"ITGBL1",9.70358127126548e-19
131,"PLEKHA2",1.0771885283622e-18
132,"ENSG00000267082",1.07967515401833e-18
133,"ZNF25",1.08120987343157e-18
134,"TXNDC15",1.10983181617604e-18
135,"AP3S1",1.12134424161494e-18
136,"VAMP4",1.17762095502455e-18
137,"EPOP",1.17932194639086e-18
138,"HNRNPLL",1.18256289985517e-18
139,"ERCC5",1.2018481526017e-18
140,"ENSG00000272842",1.22277175397345e-18
141,"ENSG00000261669",1.23180205972792e-18
142,"SLC25A43",1.26897534457327e-18
143,"MIR17HG",1.27744132601351e-18
144,"ENSG00000287299",1.29873963902857e-18
145,"TRAT1",1.30036047502544e-18
146,"ENSG00000267787",1.3427123538201e-18
147,"PCDHB7",1.37922186123855e-18
148,"FBXL4",1.38067860752757e-18
149,"SDR39U1",1.38293447755171e-18
150,"SHISA3",1.41167361474498e-18
151,"CCDC66",1.42590183995008e-18
152,"ENSG00000273284",1.49693747577636e-18
153,"ENSG00000255202",1.50076071479759e-18
154,"ENSG00000253106",1.54488786635072e-18
155,"PDGFD",1.55042964402084e-18
156,"CHASERR",1.55755376770577e-18
157,"RRM2B",1.67180300140046e-18
158,"CCDC174",1.73125713830068e-18
159,"HIKESHI",1.75090468904637e-18
160,"CWC15",1.77135385557246e-18
161,"RPE",1.8273475407225e-18
162,"TERF1P7",1.86695304331211e-18
163,"TRAPPC2",1.89398622685693e-18
164,"HOXD10",1.9729798092549e-18
165,"SNAPC3",1.993065704844e-18
166,"ZNF680",2.0320454911769e-18
167,"R3HCC1L",2.04370850753188e-18
168,"GUSBP4",2.06144959928019e-18
169,"EMSY",2.17409244479287e-18
170,"FOSB",2.39003270648155e-18
171,"ZNF875",2.40940013825225e-18
172,"RAB28",2.47279439403361e-18
173,"ZBTB25",2.63050900967546e-18
174,"ANKS3",2.65885128071768e-18
175,"KLRK1",2.88410555091356e-18
176,"USP48",3.03804283818829e-18
177,"NAPB",3.11162925934898e-18
178,"CLP1",3.13823890733957e-18
179,"B3GAT2",3.14072119822327e-18
180,"RPAIN",3.17039743599879e-18
181,"TAFAZZIN",3.26793607263918e-18
182,"GOLM2",3.38210521517588e-18
183,"CCDC90B",3.49274195420368e-18
184,"PHF3",3.5279297248841e-18
185,"HMGB1",3.53768923409083e-18
186,"MTF2",3.59871463123963e-18
187,"SELE",3.61682420367061e-18
188,"ZNF224",3.64360580458985e-18
189,"EPG5",3.83626287592806e-18
190,"RBM33",3.9242863038643e-18
191,"DPY30",4.03039133813627e-18
192,"EEF1AKMT2",4.16104247361593e-18
193,"ENSG00000215493",4.30403010525183e-18
194,"CNOT6L",4.36924623959943e-18
195,"GLT8D1",4.82944064072004e-18
196,"ZNF678",4.83310197410003e-18
197,"ZNF148",4.83524987987704e-18
198,"PHC3",4.89351617040453e-18
199,"C12orf76",4.95353584200005e-18
200,"TSR2",4.97397742659892e-18
201,"ENSG00000286584",4.99656490398458e-18
202,"STX7",5.05384277042226e-18
203,"VGLL3",5.22813507098166e-18
204,"ZNF767P",5.24936364843061e-18
205,"ZCCHC7",5.30618899475583e-18
206,"ARC",5.32518146597211e-18
207,"STX8",5.49088281525495e-18
208,"ENSG00000261026",5.65344090312008e-18
209,"GRAMD2B",5.70471186973487e-18
210,"ZDHHC17",5.76872642350633e-18
211,"ORC4",5.83339516636486e-18
212,"MINPP1",5.87174536003487e-18
213,"ZNF585A",5.89621996733042e-18
214,"MBD2",5.90670717757613e-18
215,"PSPC1-AS2",5.90971433633641e-18
216,"ZNF506",6.01451399961068e-18
217,"USP4",6.1277026789857e-18
218,"PDE7B",6.14282597257048e-18
219,"ENSG00000263826",6.14560539857791e-18
220,"COG1",6.20747259799536e-18
221,"SPOPL",6.2994592786234e-18
222,"RANBP3",6.36991298197996e-18
223,"ZNF652",6.37080377991357e-18
224,"GLOD4",6.45553847797567e-18
225,"ENSG00000284738",6.51032772273721e-18
226,"IFT74",6.6726010099901e-18
227,"PIAS2",6.85280238846674e-18
228,"FAM117B",6.92591168452339e-18
229,"ABCB5",6.9778209841095e-18
230,"YJU2B",7.07507329743981e-18
231,"ENSG00000286882",7.36144579298572e-18
