"Rank","Gene","p_value"
1,"CA8",1.63417936665689e-18
2,"SLC13A5",3.52803603441487e-16
3,"GRAMD1C",3.8067274703743e-14
4,"CDKN1A",5.39862817092672e-14
5,"RPL39L",2.06506192161486e-12
6,"PRDM1",3.08965942897473e-12
7,"ENSG00000224945",6.47425244855754e-12
8,"SCN1B",6.58815560228387e-12
9,"PTCHD4",7.78146438663093e-12
10,"LINC01829",8.07243884386537e-12
11,"LIF",8.27198610257878e-12
12,"FABP6",1.15082714993336e-11
13,"CYB5A",4.34253005997913e-11
14,"RGS1",6.89288391611955e-11
15,"TMEM164",9.49441255400355e-11
16,"ULK4",1.26525049609085e-10
17,"DGAT2",2.07763225182894e-10
18,"RTN2",3.79835538008598e-10
19,"ACSM3",4.6245823006742e-10
20,"ENSG00000288938",5.02970106180359e-10
21,"ENSG00000284640",5.45896374147439e-10
22,"CLDN23",7.93227129974072e-10
23,"TTK",8.42355699636108e-10
24,"PAH",8.90981678078537e-10
25,"DUSP26",9.27256339338989e-10
26,"FMNL1-DT",1.0008710168556e-09
27,"FMNL1",1.11648684878378e-09
28,"HPN",1.25204202932533e-09
29,"GBP7",1.28518447059187e-09
30,"ENSG00000288022",1.42227937948183e-09
31,"ORM2",1.78933439378694e-09
32,"PHYHIP",2.27265212691692e-09
33,"ECHDC3",2.77800358087125e-09
34,"TMEM229A",3.11872293734462e-09
35,"PLEKHA5",3.31349790011848e-09
36,"FGG",3.3247881687332e-09
37,"AEN",4.50292366622327e-09
38,"ADGRF4",5.61910583344127e-09
39,"PAQR8",6.32854434053818e-09
40,"ABHD5",7.16990600590512e-09
41,"TMEM200A",7.53867792036306e-09
42,"VWCE",7.54399954964442e-09
43,"MTHFS",9.10879904775341e-09
44,"ENSG00000257283",9.61297498256501e-09
45,"ST20-AS1",1.10195897869688e-08
46,"ENSG00000288156",1.21759567718966e-08
47,"LRRN4CL",1.42859343593175e-08
48,"ENSG00000287692",1.47336761364707e-08
49,"LIF-AS2",1.48938211432133e-08
50,"SEMA7A",1.51488116566248e-08
51,"ENSG00000286529",1.73171865630028e-08
52,"ENSG00000235782",1.73880281329263e-08
53,"PELI1",1.829060417927e-08
54,"METTL7B",1.85454460025854e-08
55,"LINC00475",1.8730791978438e-08
56,"LNX1-AS1",1.92592738019789e-08
57,"ENSG00000289625",2.40581024752819e-08
58,"CARD11",2.41969233075704e-08
59,"CAV2",2.4491752761264e-08
60,"EPB41L4B",2.81635861523214e-08
61,"MARVELD2",3.11516189358771e-08
62,"GRM3",3.21111381042677e-08
63,"PGAP4",3.6679043366561e-08
64,"MAOA",3.80782746897471e-08
65,"TPTE2P2",3.92722566330696e-08
66,"SULT1E1",4.64982038694801e-08
67,"ENSG00000236013",4.70744019408621e-08
68,"MAP2K5-DT",5.18909329116374e-08
69,"MTARC2",5.22428463510832e-08
70,"ENSG00000287770",5.33349728677877e-08
71,"GPR183",5.58678848364059e-08
72,"HHATL",7.30969464337027e-08
73,"SLC27A2",7.73086885015236e-08
74,"NTN4",8.01303171708057e-08
75,"INPP5D",8.87015172473938e-08
76,"NLRP2",8.93106724422019e-08
77,"CYP2J2",9.06101727244278e-08
78,"GDF15",9.33935096253601e-08
79,"CSF3R",1.01005350569923e-07
80,"KCTD9P4",1.01012196351829e-07
81,"HS6ST1",1.03293234633299e-07
82,"CMKLR2",1.06245650805985e-07
83,"PEG10",1.12111997365616e-07
84,"HACD1",1.17309121950358e-07
85,"SOWAHB",1.17436128978262e-07
86,"CD69",1.20258847224443e-07
87,"ADAM21",1.22980295880696e-07
88,"PDE6A",1.26181307202119e-07
89,"NPR3",1.35165523006984e-07
90,"FUT8",1.35365190579929e-07
91,"TMC8",1.37243691856075e-07
92,"PLCL1",1.37289468268726e-07
93,"TRIM36",1.43220653221929e-07
94,"TPST2",1.4525315431531e-07
95,"CYB5R3",1.5820554366163e-07
96,"PARVG",1.64083728436068e-07
97,"WNK3",1.68358490686353e-07
98,"TMCO6",1.910364372295e-07
99,"AMIGO2",1.91423345459642e-07
100,"OSM",1.98462579781587e-07
101,"TGM4",2.154742954028e-07
102,"SPECC1",2.21654690819691e-07
103,"SHISA8",2.52405731105517e-07
104,"SPATA18",2.54634605133975e-07
105,"THBS1-IT1",2.58510993007665e-07
106,"TSPAN12",2.72774188329593e-07
107,"ENSG00000235020",2.77798548342801e-07
108,"ENSG00000225889",2.91699201091481e-07
109,"LINC02518",2.98076449844971e-07
110,"PCDHGB6",3.08958524584119e-07
111,"ATP2B3",3.20546134921583e-07
112,"AMD1P4",3.31604942352711e-07
113,"ARHGAP45",3.37557262599405e-07
114,"ENSG00000266830",3.82795153322254e-07
115,"ADA2",4.28018822725557e-07
116,"APOBEC3H",4.51697546909456e-07
117,"STXBP2",4.56118815761478e-07
118,"DDR1",4.60009664594211e-07
