"Rank","Gene","p_value"
1,"ROBO2",1.92558421877965e-67
2,"GLRB",8.27162157169048e-56
3,"TMEM130",4.7744854428151e-48
4,"ADGRG2",9.29706793936238e-48
5,"IFITM10",1.91824748751969e-45
6,"VANGL2",4.33205757760988e-45
7,"PODNL1",1.01557928140551e-43
8,"SEPTIN4",7.90721802133022e-43
9,"Y_RNA",2.39516915854565e-42
10,"TOX2",3.13390690486699e-42
11,"SCGB3A2",5.15934266350943e-42
12,"ADAM22",2.09549716367686e-39
13,"PCDH10-DT",3.2566924494188e-39
14,"UNC5B-AS1",1.49510225131014e-38
15,"C3orf70",3.10835246208312e-38
16,"PCLO",1.19034791433218e-37
17,"PTCHD4",1.32977160269786e-37
18,"NTN1",1.13968452316418e-36
19,"TEX9",1.1465308714932e-36
20,"CD55",3.05707121847613e-36
21,"SLC14A1",6.2535705501199e-36
22,"WSCD2",1.51632658319227e-35
23,"GALNT5",7.4345691313721e-35
24,"SLC9A2",1.33366869996131e-33
25,"ZNF518B",4.36909047134802e-33
26,"RUNX2",6.48502161234273e-33
27,"DAPK2",8.3224021757619e-33
28,"FMNL3",3.14826308883189e-32
29,"GFRA2",4.50386370544087e-32
30,"TMEM44",4.71427044262233e-32
31,"NR2F2-AS1",7.77392044948764e-32
32,"FHIP1A",1.49658603297177e-31
33,"SCG2",1.80886881261243e-31
34,"CTSD",4.22514153915999e-31
35,"ARHGEF28",6.66550981634146e-31
36,"KIF5C",1.70784886469743e-30
37,"RFTN1",2.04018361447645e-30
38,"LRATD1",2.06047562034374e-30
39,"IGSF3",2.30294275078824e-30
40,"SH3GL3",3.23820814552909e-30
41,"NDUFA4L2",5.73139764967277e-30
42,"KRT86",7.00751721077093e-30
43,"ENOX1",1.14367236452695e-29
44,"C5orf46",3.11254848796387e-29
45,"ENSG00000273771",3.83385817945616e-29
46,"KANK2",4.54110226326595e-29
47,"RPS27L",5.16148680850956e-29
48,"POU6F2",5.55307812638889e-29
49,"ATRNL1",5.69727875838726e-29
50,"MKX",6.96475338589987e-29
51,"FAM131B",1.19315742722725e-28
52,"SPON1",1.48613417826395e-28
53,"IGFBP2",1.97619397246356e-28
54,"FAM47E",4.93903270057905e-28
55,"ENSG00000261786",5.83196780796138e-28
56,"PCDH10",6.3753457443594e-28
57,"TMEM108",8.9684505152208e-28
58,"GLT1D1",1.01176919495158e-27
59,"BOK",1.21062313274144e-27
60,"SHOX2",1.24759181865074e-27
61,"SLC10A4",1.43943634092243e-27
62,"AGAP1",1.91750745239729e-27
63,"CASQ1",2.27700945737113e-27
64,"FRZB",4.15159672978923e-27
65,"CRIP1",4.88865109958855e-27
66,"PDZD2",6.43714609445383e-27
67,"GLIPR2",1.01479229574995e-26
68,"ANGPTL1",1.02651191390484e-26
69,"COL8A1",1.08688807454417e-26
70,"ENSG00000271042",1.32668354236093e-26
71,"INKA2",1.53452593367552e-26
72,"FMOD",1.68563398168357e-26
73,"ENSG00000280435",2.88213472061429e-26
74,"PRIMA1",2.9262360073848e-26
75,"MEIS3P1",3.40574497798806e-26
76,"NOX4",3.59679806531388e-26
77,"AMOTL1",4.59138371292009e-26
78,"MEIS3P2",6.55766761327501e-26
79,"SYT12",1.10052735765887e-25
80,"UBE2E2",1.16617031543874e-25
81,"HMGB3P7",1.29715064463014e-25
82,"SLC8A2",1.39220759554078e-25
83,"RASSF3",2.18715610204564e-25
84,"CDH11",2.38413877893235e-25
85,"ENSG00000248362",2.5462725424047e-25
86,"MAOB",3.52988735719108e-25
87,"NECTIN1",3.83304226104229e-25
88,"TRIM46",4.10569675267705e-25
89,"FBXO30",4.94717138171406e-25
90,"ITM2C",5.08358712521983e-25
91,"GABRA4",5.91467314565155e-25
92,"GAS6",6.69985671612237e-25
93,"ZCCHC24",1.09224496676763e-24
94,"BCL9",1.12135780785924e-24
95,"RYR3",1.45210119928433e-24
96,"ITGA9",2.05647593715241e-24
97,"ZPLD2P",2.80516813504571e-24
98,"AGAP2-AS1",2.8539149863715e-24
99,"ZDHHC14",2.94065478938871e-24
100,"ENSG00000277135",2.98748716598711e-24
101,"ENSG00000265519",3.25513092847853e-24
102,"JAKMIP2",3.67310767531763e-24
103,"WDR19",3.88029900870694e-24
104,"ENSG00000269958",4.10353868884414e-24
105,"ZBED6CL",5.29526018972663e-24
106,"GRIA1",7.06239102696912e-24
107,"ZMAT3",8.02376391201009e-24
108,"WDR82",1.06190369730182e-23
109,"INF2",1.07551615009193e-23
110,"ADGRL1",1.14891848928951e-23
111,"RTL6",1.27370613564843e-23
112,"MASP1",1.27773160473941e-23
113,"RHOD",1.40571742014128e-23
114,"KREMEN1",1.41773645276667e-23
115,"ALDH9A1",2.09150649722836e-23
116,"ISLR",2.52075599764738e-23
117,"KCNQ5",3.39138280739933e-23
118,"WWP1",3.63138081379516e-23
119,"RBMXL1",4.03817628841168e-23
120,"EPPK1",4.19457536732722e-23
121,"PDE11A",4.31084583420852e-23
122,"SLC6A4",4.44938140555415e-23
123,"PLXNA4",4.71347256088359e-23
124,"SEMA3D",7.15326440544797e-23
125,"MCTP2",7.91545780744141e-23
126,"GALNT4",8.04153259059206e-23
127,"EPDR1",8.49637001189872e-23
128,"KRT7",9.4049692977757e-23
