"Rank","Gene","p_value"
1,"PTCHD4",1.032874937443e-13
2,"Y_RNA",1.3732888236564e-11
3,"LMO3",7.34117666788316e-11
4,"PLAGL2",3.05044244895639e-09
5,"SEMA3E",1.01578377224669e-08
6,"CADPS2",2.60909688013219e-08
7,"MCF2",4.65073457561714e-08
8,"BCL9",7.37836422889899e-08
9,"RGCC",8.23635473404848e-08
10,"ISG20L2",9.30609475132161e-08
11,"NKIRAS2",1.49518049461888e-07
12,"KCNMB2-AS1",2.07929055060203e-07
13,"ZMAT3",2.36014551595432e-07
14,"PARS2",2.40956186842926e-07
15,"MUL1",2.85961970833225e-07
16,"GDF15",2.91597800781385e-07
17,"OPA3",3.51236224890326e-07
18,"SPATA18",4.83257928967683e-07
19,"CDC42EP5",5.16231911276208e-07
20,"RPS27L",5.8555398861808e-07
21,"SPATA2",6.16101639682323e-07
22,"EDA2R",6.19942427813654e-07
23,"DNAJC14",9.32753225692429e-07
24,"ENSG00000236031",9.71147617089079e-07
25,"RPUSD2",9.73019746107917e-07
26,"CLP1",9.81082437167801e-07
27,"NOL4",1.40311433790046e-06
28,"LNCTAM34A",1.4078040443788e-06
29,"ENSG00000255548",1.42630931108289e-06
30,"CHASERR",1.46523790478776e-06
31,"ENSG00000249180",1.51018401155904e-06
32,"TMEM252-DT",1.52587221543616e-06
33,"SAP30-DT",1.54941928989637e-06
34,"SCN3A",1.59331664034758e-06
35,"LINC00989",1.61606068454284e-06
36,"MYCBP2-AS1",1.70507947135387e-06
37,"AMER1",1.80335426035373e-06
38,"POT1-AS1",1.92724916733231e-06
39,"ZNF629",2.58127045360066e-06
40,"OGDH",2.65736177704878e-06
41,"HPS6",2.7026922604069e-06
42,"CMAHP",2.71505071167567e-06
43,"TUBA1A",2.88458880632455e-06
44,"CHMP1B2P",2.89079972017045e-06
45,"RORB",2.90192708316394e-06
46,"ARID1A",3.08591792528735e-06
47,"VPS18",3.15468133084544e-06
48,"SMG8",3.21974734950348e-06
49,"PARP1",3.223207707498e-06
50,"RTL10",3.30028867339675e-06
51,"ZBTB39",3.36541740425183e-06
52,"ENSG00000230910",3.60432674099428e-06
53,"NOP9",3.62011954355942e-06
54,"LINC02388",3.62026963245263e-06
55,"UTP3",3.68926564117716e-06
56,"ZNF71",3.83202615471025e-06
57,"SPDYA",3.90339140584112e-06
58,"ATXN1L",4.35410634491308e-06
59,"ENSG00000279348",4.53826808979687e-06
60,"KCNT2",4.59631807340815e-06
61,"ZNF676",4.66543508255121e-06
62,"ENSG00000229779",4.7433647008714e-06
63,"LINC01963",4.80097107252987e-06
64,"MED1",4.82722160881291e-06
65,"ENSG00000272402",4.88023346721534e-06
66,"DDB2",5.01206047736877e-06
67,"WARS2",5.19883693173423e-06
68,"ZBTB9",5.31026717840442e-06
69,"SMC5-DT",5.57754385631858e-06
70,"B2M",5.71153531793798e-06
71,"ENSG00000273284",5.75666850265189e-06
72,"GTF3C4",5.81128613540364e-06
73,"ENSG00000273368",6.13009434351997e-06
74,"C6orf47",6.37060525249132e-06
75,"ENSG00000279172",6.77534274110857e-06
76,"CBFB",6.89458370158386e-06
77,"SMIM3",6.92865244520102e-06
78,"KLHDC8B",7.1416976120061e-06
79,"ST3GAL2",7.23437170386913e-06
80,"ENSG00000265907",7.23907487647235e-06
81,"ENSG00000235586",7.60618493376926e-06
82,"NECTIN1",7.65204191887247e-06
83,"ENSG00000249293",7.78542975737172e-06
84,"RBM11",7.9830946047516e-06
85,"GCC1",7.98384086946088e-06
86,"VANGL1",8.19470957422807e-06
87,"GUK1",8.49962998849355e-06
88,"ENSG00000265043",8.90733532812647e-06
89,"NACC1",9.39617958938045e-06
90,"DUXAP9",9.8467954343518e-06
91,"PAXBP1",1.00973484617959e-05
92,"EIF1AD",1.01916024285682e-05
93,"NBPF6",1.03506861725751e-05
94,"NDUFA4L2",1.06755865220493e-05
95,"TLDC2",1.06970344175927e-05
96,"RPL34",1.07759650653292e-05
97,"RIOX1",1.10897448156132e-05
98,"CBWD6",1.12702502703854e-05
99,"ZNF696",1.13451152283006e-05
100,"TYMSOS",1.17863217089923e-05
101,"CABYR",1.22788207681326e-05
102,"TWNK",1.26314487764175e-05
103,"NBPF4",1.29664578940183e-05
104,"PCDH9",1.39634055079996e-05
105,"FEN1",1.40407901276861e-05
106,"ACAD11",1.4107598450597e-05
107,"MDM2",1.41873212422642e-05
108,"ADSS1",1.4218425872569e-05
109,"FMO3",1.45563024254131e-05
110,"MIEF1",1.45994341840983e-05
111,"CBX6",1.46116401562658e-05
112,"PTPRK-AS1",1.4727266701876e-05
113,"GSPT2",1.52356287555117e-05
114,"ENSG00000226471",1.57118105721503e-05
115,"ENSG00000271779",1.60169687977507e-05
116,"CYCSP40",1.60474220340999e-05
117,"HYDIN",1.61613049939464e-05
118,"MAD2L1BP",1.62241962718673e-05
119,"LDHAL6B",1.63270570903065e-05
120,"SRRD",1.66776649361592e-05
121,"MOCS3",1.68580247711928e-05
122,"EPOR",1.70843764456188e-05
123,"BRPF1",1.71966451782682e-05
124,"RPTOR",1.80992224443774e-05
125,"TPT1P4",1.91523705776895e-05
126,"ENSG00000286882",1.94716795278344e-05
127,"ERO1A",1.99969384656961e-05
128,"CELF6",2.0037845405228e-05
129,"TEX9",2.01587365545594e-05
130,"STPG2",2.02623934597292e-05
131,"ENSG00000230433",2.06202466372005e-05
132,"SNORA40B",2.11414753621808e-05
133,"KHSRP",2.16701493495022e-05
134,"PCDH11X",2.16943122959636e-05
135,"NAP1L1",2.22213454313747e-05
136,"ENSG00000235724",2.24902360229755e-05
137,"SNORA70F",2.25713093645251e-05
138,"ENSG00000284954",2.29504926058373e-05
139,"ANKRD37",2.45315545310556e-05
140,"HIF1A-AS3",2.4664107029264e-05
141,"CTR9",2.52684149945911e-05
142,"CFAP299",2.53072915031432e-05
143,"WDR82",2.6363485939588e-05
144,"SCGB3A2",2.64540438311258e-05
145,"RBM15B",2.68758968193899e-05
146,"ENSG00000229502",2.73343538947114e-05
147,"UMPS",2.73419848809018e-05
148,"ENSG00000275339",2.73834136432993e-05
149,"FBXL18",2.7625700530112e-05
150,"GPR52",2.78197239505693e-05
151,"BRF2",2.91299673627662e-05
152,"TFIP11",2.99143859019323e-05
153,"BNIP3",3.01855856256614e-05
154,"DCAF7",3.02899577123233e-05
155,"POLR1B",3.07486487213621e-05
156,"ENSG00000251399",3.08890126808379e-05
157,"PROB1",3.16831974102191e-05
158,"EPHA8",3.21171386657709e-05
159,"RTL6",3.35987388205916e-05
160,"ADH6",3.45079714944818e-05
161,"ENSG00000289384",3.49646468415292e-05
162,"ZSCAN25",3.50892821969804e-05
163,"DCTN5",3.55082193127485e-05
164,"SUMO4",3.56338044346845e-05
165,"MRPS17",3.6502957532968e-05
166,"RRM2B",3.65600956560063e-05
167,"ENSG00000273035",3.68332708243394e-05
168,"SOCS7",3.70282312569597e-05
169,"PRDX3P1",3.74217617035953e-05
170,"ENSG00000259869",3.75440557597257e-05
171,"ENSG00000260558",3.76117514613619e-05
172,"P4HA3-AS1",3.77231752665829e-05
173,"USP3-AS1",3.80966327778826e-05
174,"ENSG00000269906",3.90221767979356e-05
175,"PKD2L2",3.993117240837e-05
176,"ZCCHC3",4.0219591049546e-05
177,"ARF3",4.0231495041729e-05
178,"FBXW7",4.03679059162406e-05
179,"ZNF83",4.09046668546103e-05
180,"SNORA21B",4.16678314906327e-05
181,"PIGHP1",4.18690227084986e-05
182,"HBB",4.21157703481883e-05
183,"RERG",4.2661762309204e-05
184,"SNORA8",4.28599846549288e-05
185,"ENSG00000288545",4.30047055378322e-05
186,"ENSG00000232043",4.33416166538948e-05
187,"LINC-PINT",4.41172693250962e-05
188,"ENSG00000223528",4.46992145587822e-05
189,"FGFR1OP2",4.49851844186051e-05
190,"ENSG00000230695",4.52970691014487e-05
191,"ENSG00000256006",4.69914135546587e-05
192,"CEP112",4.86984506005385e-05
193,"METTL2A",4.88080471879696e-05
194,"DONSON",4.8863335059256e-05
195,"ENSG00000287762",4.91913470144149e-05
196,"NEFH",4.9648821730881e-05
197,"IMMP1LP1",4.9760966438408e-05
198,"TAF1D",5.0238570977541e-05
199,"ZNF574",5.04006838574605e-05
200,"PSPC1-AS2",5.08150025308619e-05
201,"ENSG00000259544",5.1032254298519e-05
202,"F2R",5.1098735087449e-05
203,"DCHS1",5.23014259328994e-05
204,"CENATAC",5.25771686800057e-05
205,"ST7L",5.33533928279329e-05
206,"NAT8",5.37019682426156e-05
207,"SPTY2D1",5.5371952643835e-05
