"Rank","Gene","p_value"
1,"MIR34AHG",3.61433930537687e-62
2,"Y_RNA",5.13470134110574e-61
3,"EDA2R",3.76602268038233e-57
4,"PCDH10",9.05177385578244e-54
5,"LINC02593",1.25925041749868e-50
6,"PCDH9",1.36423683380708e-48
7,"RADX",1.85402460353647e-47
8,"PCDH10-DT",1.82688026156077e-43
9,"FCHSD1",7.23749044964639e-43
10,"NDUFA4L2",1.49860957360997e-42
11,"KCNK2",3.09156733994426e-41
12,"EPS8L2",5.93783254908403e-41
13,"ENSG00000271959",4.31566796069449e-40
14,"CADPS2",1.1914764240673e-39
15,"ENSG00000274565",1.42809651910595e-39
16,"TREX2",2.91844279935736e-39
17,"SH3D21",3.40672569185072e-39
18,"OXER1",6.1182579425512e-39
19,"LRRC3",2.65978659585051e-38
20,"PPFIA4",4.51967726152151e-38
21,"ENSG00000272720",1.92345704679515e-37
22,"BAIAP2L2",9.61301595145213e-37
23,"UNC5B",1.36493667799334e-36
24,"HAUS5",1.40195763835444e-36
25,"RUNX2",1.92819534042441e-36
26,"TTLL3",2.47619439663061e-36
27,"XRCC3",5.26948730424418e-36
28,"HAUS7",5.58088601406481e-36
29,"NRGN",9.01158053390686e-36
30,"RSKR",1.46041781952946e-35
31,"ASIC3",3.94884069887843e-35
32,"ENSG00000280168",4.08528171184645e-35
33,"MSH5",4.55356334833363e-35
34,"ENSG00000260918",5.30763978857942e-35
35,"TMEM116",7.84584048436108e-35
36,"DLX4",9.30179746061542e-35
37,"LMO3",9.32345029947709e-35
38,"SAMD11",1.31786910537448e-34
39,"GALNT3",1.36739640111263e-34
40,"NPAS1",1.49476489276902e-34
41,"GABRB1",2.00600487524941e-34
42,"THBS3-AS1",2.14918072353906e-34
43,"ZMAT3",2.34308314246293e-34
44,"PALD1",4.44097020117723e-34
45,"COL11A2",6.45604524861101e-34
46,"ENSG00000227388",7.25345558504725e-34
47,"COL21A1",9.15127716668431e-34
48,"C8orf34",1.37294900581451e-33
49,"TCEAL2",1.55395961108394e-33
50,"RNF10",2.81333111158287e-33
51,"VCAM1",2.93123599252121e-33
52,"SPATA18",3.10692740985751e-33
53,"H2AZ1-DT",4.81055521897266e-33
54,"FDXR",5.22988171552153e-33
55,"PSTPIP2",6.39432035096379e-33
56,"ENSG00000279088",8.02844932862742e-33
57,"MAPK8IP3",9.8250856001266e-33
58,"TEX9",1.02391858489327e-32
59,"DDB2",1.41281320684383e-32
60,"C20orf203",1.7046102520376e-32
61,"LNCTAM34A",2.00499055529773e-32
62,"B4GALNT1",2.29946110445395e-32
63,"SLC19A1",3.00169112827911e-32
64,"GGT7",4.53243959317123e-32
65,"CHTF18",4.61130524662302e-32
66,"QTRT1",5.32065698539023e-32
67,"TRIM46",5.87139030555965e-32
68,"PXN-AS1",6.58268636585207e-32
69,"CEP131",7.11370927557717e-32
70,"OSBPL7",8.81721750821192e-32
71,"GPR173",9.92006486613095e-32
72,"Metazoa_SRP",1.58368769897621e-31
73,"MIRLET7BHG",2.51095482707506e-31
74,"EPHA6",2.98072766739446e-31
75,"ENSG00000184441",3.71632707435769e-31
76,"MROCKI",4.08760972409903e-31
77,"PTN",4.39286229300759e-31
78,"HAGHL",4.77341388877419e-31
79,"MSRB1",4.82785971363522e-31
80,"GALNT5",5.6218179936848e-31
81,"SLC26A5",8.54677826785568e-31
82,"AP1G2-AS1",9.86677879840157e-31
83,"PGF",1.08272667219121e-30
84,"SLC16A8",1.26138181904452e-30
85,"PTCHD4",1.50727121367685e-30
86,"THBS3",2.13541585156849e-30
87,"TCIRG1",3.26751497192232e-30
88,"RPL29P19",3.59543542310492e-30
89,"SAPCD1",5.40343646923311e-30
90,"SHTN1",6.46636037141622e-30
91,"ENSG00000269958",7.64087277690425e-30
92,"ENSG00000271857",7.87383048413346e-30
93,"HAPLN3",9.09257408199064e-30
94,"IRF3",1.01587768197516e-29
95,"LPAR2",1.13983430930463e-29
96,"ACAN",1.36450169760854e-29
97,"AMT",1.53919691058429e-29
98,"TMEM147-AS1",2.07680484463913e-29
99,"GPR88",2.6635057863444e-29
100,"CCDC181",3.28307902661511e-29
101,"SEMA3E",3.42027501266596e-29
102,"APOBEC3H",3.50937076135213e-29
103,"GRID2",4.84433287382898e-29
104,"ELF3-AS1",4.89218848792365e-29
105,"ETV5",5.35638094841969e-29
106,"KCTD8",5.69046293985494e-29
107,"MRC2",6.15087256157366e-29
108,"DLX3",6.62702538205285e-29
109,"CORO7",8.49472650422906e-29
110,"ENSG00000275807",1.05331539949225e-28
111,"PIDD1",1.07976390814101e-28
112,"TNFRSF10B",1.47604551277216e-28
113,"LGI3",1.79682964095861e-28
114,"ARHGEF28",1.8029584645917e-28
115,"GABRA4",2.23161373153054e-28
116,"GYG1",2.71679064690304e-28
117,"ENSG00000267342",3.09465878703986e-28
118,"TRIM22",3.13434779620336e-28
119,"B3GNT9",3.27782484444514e-28
120,"C4orf47",3.28247462849564e-28
121,"ZNF789",3.58614202034722e-28
122,"DDIT4L",4.25082518944665e-28
123,"ENSG00000268938",4.31070092894175e-28
124,"LINC00342",4.57479142739795e-28
125,"ADIRF-AS1",5.49464670510027e-28
126,"ENSG00000269680",6.07796170040937e-28
127,"TBC1D32",6.72230132326465e-28
128,"SLC9A5",7.60286835772079e-28
129,"CATSPER2",8.03372772289652e-28
130,"PIGL",8.11061703505934e-28
131,"GAS6-AS1",8.44963204189404e-28
132,"COL27A1",1.01742772854646e-27
133,"THUMPD3-AS1",1.11348040217369e-27
134,"ECMXP",1.12540641564662e-27
135,"ADAMTS13",1.12733974753496e-27
136,"D2HGDH",1.55955059895004e-27
137,"PABPC1L",2.1276527106869e-27
138,"FBXL5",2.37090609266703e-27
139,"SIAH2",2.64975883103432e-27
140,"TCEAL6",2.72759396061257e-27
141,"MGAM",3.20220869059074e-27
142,"CLIP1",3.41537226011271e-27
143,"ACAD11",3.73061871856065e-27
144,"SCN2A",3.77615892099479e-27
145,"CDCA3",4.15150780574196e-27
146,"DAPK2",4.17473084421528e-27
147,"WARS2-AS1",4.63164455207482e-27
148,"TMEM120B",5.06339359040797e-27
149,"KCNMB2-AS1",5.10999467825368e-27
150,"ENSG00000260776",5.18518038916196e-27
151,"COX10",6.06642898125486e-27
152,"ENSG00000264577",6.25187107581641e-27
153,"SCN3A",6.89382676287034e-27
154,"ENSG00000279161",8.17114620999378e-27
155,"IER5",1.01609489794736e-26
156,"VTI1B",1.252969864404e-26
157,"YBX1",1.26376756305012e-26
158,"LINC00173",1.2772507179094e-26
159,"FUBP1",1.45393517329198e-26
160,"MRNIP",1.46784959850598e-26
161,"SLC25A37",1.52959071911215e-26
162,"ATAD5",1.54520645401318e-26
163,"ROBO2",1.76522104986182e-26
164,"WSCD2",1.7683964625148e-26
165,"MSTO2P",1.83651023703964e-26
166,"SEMA4A",1.87784839377397e-26
167,"TYK2",1.96708406514998e-26
168,"ENSG00000270012",1.98652812318e-26
169,"ARFGAP1",2.00249831171399e-26
170,"DCAF6",2.28880866774573e-26
171,"DMKN",2.29654248209702e-26
172,"SNORA63B",2.38186118573774e-26
173,"SEMA3F-AS1",2.63926652953211e-26
174,"C2orf49-DT",2.6491240704826e-26
175,"PLA2G4B",2.69558599007133e-26
176,"SGK2",3.18543179364777e-26
177,"ENSG00000260751",3.18982739226211e-26
178,"GNB3",3.28803912903649e-26
179,"ENSG00000276337",3.58779810324483e-26
180,"ENSG00000230454",3.82224345374012e-26
181,"KHDC4",4.18972361340123e-26
182,"CD69",4.24858001047637e-26
183,"TRIB2",5.99073590914252e-26
184,"AAR2",6.0964039004584e-26
185,"MOK",6.69219942192887e-26
186,"METTL17",7.02467024965289e-26
187,"ENSG00000277687",7.04057423196484e-26
188,"ENSG00000287837",7.05251103380668e-26
189,"PCDHA10",7.09374744651383e-26
190,"PRSS53",7.32914226714298e-26
191,"SFI1",7.55624871836732e-26
192,"PTOV1-AS2",7.92570094236409e-26
193,"ENSG00000280332",8.55016267289332e-26
194,"CELF6",9.36378713224005e-26
195,"ATAT1",1.1511037566244e-25
196,"GRIA1",1.1933905315108e-25
197,"CAPN10-DT",1.20473549294636e-25
198,"LINC00893",1.24093742055923e-25
199,"PCOLCE-AS1",1.27589745251491e-25
200,"POU5F1P3",1.39688260712051e-25
201,"MILR1",1.43144397429006e-25
202,"DNHD1",1.50324929915129e-25
203,"CCDC200",1.642531109947e-25
204,"ENSG00000255182",1.98631518089757e-25
205,"SYT17",2.03467782519207e-25
206,"SAP30L-AS1",2.23926260967767e-25
207,"CYP2D7",2.65035579962463e-25
208,"IDUA",2.6684646863654e-25
209,"ENSG00000267834",2.88916839525602e-25
210,"NFKBID",3.0264535961115e-25
211,"SCGB3A2",3.14052561753868e-25
212,"ENSG00000230699",3.2326071926086e-25
213,"AHSA2P",3.78561677509823e-25
214,"LINC01355",3.81677316148769e-25
215,"ENSG00000262903",4.13100249167476e-25
216,"ERC1",4.31532637657501e-25
217,"EME2",4.4342253162411e-25
218,"SYT12",5.04223898165718e-25
219,"PCNX2",5.26091638588021e-25
220,"LTB4R",5.47240553468187e-25
221,"GDE1",5.93239466305354e-25
222,"TMPRSS9",6.5741046540786e-25
223,"ENSG00000286360",6.950900220494e-25
224,"KIF5A",7.27008420739523e-25
225,"CDYL",7.31794039829173e-25
226,"LY6G5B",8.19310195963554e-25
227,"ENSG00000253837",8.3302266454604e-25
228,"MCF2",9.36779916317181e-25
229,"KCNH8",9.56851460825412e-25
230,"PREX2",1.02632306358863e-24
231,"PFN4",1.04297180242845e-24
232,"ENSG00000273771",1.04800347510645e-24
233,"FAM193B",1.17624028397652e-24
234,"ENSG00000286977",1.22748511905377e-24
235,"HLA-DPA1",1.3475343574166e-24
236,"ENSG00000259359",1.38467474299033e-24
237,"SRSF5",1.49844615135551e-24
238,"ENSG00000279713",1.78371231306227e-24
239,"ARHGEF2-AS2",1.83715315912107e-24
240,"ENSG00000272438",1.84618165371726e-24
241,"MAN1B1",1.87378400585405e-24
242,"PAGR1",1.88653689704846e-24
243,"POMT1",2.1257071907855e-24
244,"ETV7",2.31626052745684e-24
245,"ENSG00000280407",2.34454329552288e-24
246,"HGF",2.3930064258e-24
247,"IL7",2.47374262065242e-24
248,"MCTS1",2.51765306485813e-24
249,"RRP7BP",2.72590147098019e-24
250,"CHD1L",2.92176129704136e-24
251,"ENSG00000273759",2.97426443546349e-24
252,"PLCG1-AS1",2.97797953697903e-24
253,"SPECC1L",3.00209298172936e-24
254,"TMEM41B",3.09529782445574e-24
255,"ADAM23",3.22390511326116e-24
256,"ENSG00000262528",3.22672456379213e-24
257,"CAPN3",3.32157319491305e-24
258,"ENSG00000261244",3.3994835374615e-24
259,"LIG1",3.41595234171065e-24
260,"ENSG00000234961",3.49354923662876e-24
261,"ZFHX2-AS1",3.78337585274591e-24
262,"HLA-DRA",3.89735267406333e-24
263,"EXD3",3.92065874182905e-24
264,"ENSG00000289306",4.38007057406702e-24
265,"NHS",4.79581116657895e-24
266,"ENSG00000288545",4.97748825069835e-24
267,"UBA7",5.18650170689768e-24
268,"PPIH",5.345249254402e-24
269,"CCL5",5.45394847523491e-24
270,"TRAF1",5.66917466975248e-24
271,"MIR210HG",5.81379134499993e-24
272,"SNORD10",6.22099498538732e-24
273,"ZNF213-AS1",6.46082451179894e-24
274,"FERMT2",6.71500693885497e-24
275,"PTPN22",6.93674678489562e-24
276,"EPHA1",7.22113575994827e-24
277,"REC8",7.23270088940716e-24
278,"SNHG10",7.33863886146954e-24
279,"ENSG00000269191",7.48355220172662e-24
280,"DGKA",8.16533764425913e-24
281,"PRDX6-AS1",8.19904426053535e-24
282,"SEC24B-AS1",8.32630920480402e-24
283,"CCNO",8.65699279162283e-24
284,"DMAC2",9.22558661380121e-24
285,"FAM13A-AS1",9.42762203985038e-24
286,"ENSG00000268573",9.79533971563504e-24
287,"UBE2G1",9.92326373428948e-24
288,"PPP1R11",1.01070677156792e-23
289,"ENSG00000266896",1.07233583019191e-23
290,"ENSG00000234353",1.16931033562716e-23
291,"SPOCK3",1.19352028783175e-23
292,"UBE2L3",1.316975321117e-23
293,"MAPKAP1",1.42857758027169e-23
294,"SLC13A4",1.43658331094785e-23
295,"NXPH4",1.43814422039986e-23
296,"ANKRD27",1.5019580822565e-23
297,"MSS51",1.51175808555104e-23
298,"ENSG00000225507",1.57051757117989e-23
299,"SCG2",1.687971776376e-23
300,"SOBP",1.71925966966891e-23
301,"CCDC57",1.94426899259696e-23
302,"ENSG00000263272",2.07775930599094e-23
303,"IFITM10",2.14525013095373e-23
304,"ENSG00000289412",2.28477755647526e-23
305,"HELLS",2.35462315448636e-23
306,"ENSG00000279342",2.35631337739339e-23
307,"ENSG00000226849",2.57487295719218e-23
308,"ENSG00000248015",2.98981505948973e-23
309,"ADAT2",3.09019436835818e-23
310,"SLC23A2",3.31244791105117e-23
311,"GUCA1B",3.4617278679463e-23
312,"KAZALD1",3.48014431557553e-23
313,"SNHG20",3.52161081361533e-23
314,"PLAGL1",3.65274361991723e-23
315,"CIDECP1",4.03710586926191e-23
316,"TENM1",4.30035933667894e-23
317,"HLA-DQB1-AS1",4.569031969583e-23
318,"PEF1-AS1",4.60953061481422e-23
319,"PDCL3P4",4.76585362750361e-23
320,"ENSG00000224985",4.84811731916581e-23
321,"ENSG00000272578",4.85095282934295e-23
322,"HLA-DPB1",4.86955818238991e-23
323,"RUSC1-AS1",5.14794263555832e-23
324,"PRDM5",5.18982544632564e-23
325,"RABL2A",5.37466422423614e-23
326,"ENSG00000241057",5.49973156018049e-23
327,"INE1",5.50058451401801e-23
328,"ENSG00000244560",5.91687171255774e-23
329,"ARMCX4",6.15574624059213e-23
330,"TRAF3IP2-AS1",6.19949119253021e-23
331,"SMIM10L1",6.31189658407319e-23
332,"ENSG00000277135",6.32106726241046e-23
333,"UNC5B-AS1",6.65672154381559e-23
334,"ST3GAL1-DT",6.7486935257353e-23
335,"ZNF117",7.07621036167045e-23
336,"ARGLU1",7.21918700911845e-23
337,"LHFPL5",7.38548533935322e-23
338,"ENSG00000285535",8.15929269426263e-23
339,"PGM3",8.69133962408724e-23
340,"LCAT",9.09361505838233e-23
341,"ENSG00000289443",9.15185414240791e-23
342,"ENSG00000273188",9.15284062522017e-23
343,"MRPS17",9.18652998032507e-23
344,"RAB17",9.65599638162362e-23
345,"GLDN",1.01797128731984e-22
346,"HDAC9",1.06915376836208e-22
347,"DENND6B",1.12669602704074e-22
348,"ENSG00000286694",1.18970853421031e-22
349,"AGER",1.20138324830222e-22
350,"PARP2",1.21681649177899e-22
351,"POPDC2",1.24021932821664e-22
352,"PSMA3-AS1",1.24239166316635e-22
353,"ENSG00000267632",1.25101921938159e-22
354,"ANGPTL1",1.25356790458925e-22
355,"ENSG00000269815",1.26834243228008e-22
356,"GPR199P",1.29227578057014e-22
357,"MIR23AHG",1.30092982588138e-22
358,"METTL3",1.39073862631118e-22
359,"BCL7B",1.40868197569446e-22
360,"CXXC4",1.41905606082524e-22
361,"SLC13A3",1.42489569776681e-22
362,"SPAG5-AS1",1.56766616092884e-22
363,"LINC00475",1.61984228689669e-22
364,"VAMP1",1.65984280566411e-22
365,"NFYB",1.7046039906235e-22
366,"SLC25A34",1.76151189168441e-22
367,"MC1R",1.76785483616085e-22
368,"ORAI2",1.83901610133488e-22
369,"A2M-AS1",1.85587406999066e-22
370,"TEX41",2.01837117818555e-22
371,"LENG8-AS1",2.06984757135322e-22
372,"GID4",2.1200258527168e-22
373,"ENSG00000287625",2.13580098724445e-22
374,"ZNF410",2.20209168707633e-22
375,"MAN2C1",2.2077122183702e-22
376,"PRDM8",2.28217285420923e-22
377,"FAM222B",2.45396686895421e-22
378,"DONSON",2.49556216264522e-22
379,"ZNF436-AS1",2.55406033194179e-22
380,"CXCL16",2.63524254700435e-22
381,"ZMYND15",2.88172070416465e-22
382,"ENSG00000287262",2.90113667866157e-22
383,"ENSG00000272669",3.12240681807855e-22
384,"ADAM8",3.19007959996676e-22
385,"GSTM2",3.22492350284128e-22
386,"PRR33",3.23715090328006e-22
387,"CDKN2A",3.3961951503347e-22
388,"KRT16P6",3.66761121761218e-22
389,"WDR90",3.77469813371475e-22
390,"ENSG00000260261",3.77609242925692e-22
391,"ENSG00000254165",3.84958259730859e-22
392,"LRP2BP",3.8523522464043e-22
393,"CENPT",3.88772178991023e-22
394,"OGDH",3.90611386380589e-22
395,"DCBLD1",4.13656649686241e-22
396,"IL15",4.23516292008049e-22
397,"SLC14A1",4.25117127045535e-22
398,"CFAP45",4.33815570629165e-22
399,"KRTCAP3",4.52542478044409e-22
400,"ENSG00000279488",4.54952637421083e-22
401,"ENSG00000272983",4.82363401487094e-22
402,"HIF1A-AS3",4.88466605718967e-22
403,"ZKSCAN2-DT",4.91769011040409e-22
404,"EGR1",5.00847297669794e-22
405,"DLD",5.1865852470104e-22
406,"RN7SKP23",5.28024522712413e-22
407,"MROH5",5.56261971233703e-22
408,"SLC25A45",5.82107190459706e-22
409,"HYPK",6.26560164600755e-22
410,"AZIN2",6.31760846149111e-22
411,"NAT9",6.75667822053191e-22
412,"ENSG00000259668",6.98676545378144e-22
413,"KCTD13",7.25623684762012e-22
414,"MXD3",7.34633362159587e-22
415,"ENSG00000286656",7.40012167793622e-22
416,"ST8SIA4",7.75338535643701e-22
417,"DYNC2LI1",8.26384098135048e-22
