"Rank","Gene","p_value"
1,"SLC6A15",1.90740549090029e-06
2,"ABCB5",1.05281286112408e-05
3,"PTCHD4",1.26890821926559e-05
4,"ENSG00000256712",2.21988794107531e-05
5,"ENSG00000228334",2.87653896517751e-05
6,"EMC10",3.82120987288081e-05
7,"ENSG00000279537",4.28203799875656e-05
8,"MSH5",4.58389640734903e-05
9,"OR10H5",5.43084236354076e-05
10,"SLC25A35",6.3289383966595e-05
11,"KLF7",6.55450014928742e-05
12,"NEFH",7.14255458623283e-05
13,"TAF3",7.43787982151481e-05
14,"ENSG00000259594",9.66016076208298e-05
15,"ENSG00000256116",9.92571300246449e-05
16,"Y_RNA",0.000104481744199959
17,"NAA40",0.000108076339421912
18,"PRDM11",0.000110230766391894
19,"ENSG00000279791",0.00011309016019471
20,"NGEF",0.000117785128632239
21,"ENSG00000230454",0.000121050872557382
22,"ENSG00000259195",0.00012116978751447
23,"ZNF682",0.000127010839272319
24,"ENSG00000277737",0.000133009155530213
25,"CHST13",0.000135084368450194
26,"ENSG00000275807",0.000136314707538141
27,"ENSG00000266371",0.000151841637902668
28,"ENSG00000249635",0.000154563746203147
29,"ENSG00000280424",0.000168815324736571
30,"ENSG00000286326",0.000176553192777069
31,"ZPBP2",0.000193273631700359
32,"RPS15AP34",0.000195427991293655
33,"PHLPP2",0.000200257939217429
34,"LINC01150",0.000201775939172226
35,"CCDC92B",0.000213180567494913
36,"ENSG00000285416",0.000217131880316125
37,"ENSG00000216895",0.000222419611758583
38,"ENSG00000258130",0.000246056084352274
39,"CCDC28B",0.000246518623304297
40,"ZHX3",0.000247586754416584
41,"ENSG00000289212",0.000255704033381487
42,"ENSG00000280415",0.0002557168442931
43,"ENSG00000232828",0.000258481491104114
44,"GAPDHP15",0.000267285802398987
45,"LINC02323",0.000268461756557747
46,"ENSG00000271714",0.000268519342401657
47,"SEC24B-AS1",0.000270734107593385
48,"MIR503HG",0.000273067246251462
49,"STK24-AS1",0.00028835727409357
50,"RPL36AP43",0.000288908418690271
51,"PPP1R26-AS1",0.000294092454750829
52,"ENSG00000286043",0.000296333405600911
53,"HHATL",0.00029829456718905
54,"TSPAN5-DT",0.000305699199850243
55,"ZNF106",0.000306356929911734
56,"ATP8A2",0.000310187621192638
57,"ENSG00000287613",0.000314115392444686
58,"FKBP6",0.000315838191602673
59,"LINC02875",0.000320996853098013
60,"LINC01917",0.000321043512965215
61,"ENSG00000266821",0.000326996170371885
62,"ATP1B2",0.000332146844819983
63,"ATP5IF1",0.000333140018480827
64,"ENSG00000271151",0.000333257311532487
65,"ENSG00000248050",0.000334389576964773
66,"ENSG00000270933",0.000334760982044861
