"Rank","Gene","p_value"
1,"ROPN1B",1.09292195404163e-08
2,"ENSG00000285971",5.23675637178793e-08
3,"ENSG00000270866",2.23184549933992e-07
4,"APC",2.59814597963808e-07
5,"PPP2R2C",5.08888862328233e-07
6,"NREP",5.14262811613383e-07
7,"TSPAN12",9.32793780346618e-07
8,"LINC02196",1.11697032197266e-06
9,"ENSG00000253553",1.18055313876709e-06
10,"ENSG00000286836",1.27322788228193e-06
11,"CTNNA2-AS1",1.8896359290708e-06
12,"ABCD2",1.96465883401672e-06
13,"ARSF",2.19253305218179e-06
14,"SPRY4-AS1",2.30668396767916e-06
15,"B4GALT1-AS1",2.3876915792412e-06
16,"ENSG00000289352",2.44365339068757e-06
17,"ENSG00000225472",2.75800534947102e-06
18,"ENSG00000271860",3.00674494699901e-06
19,"DIO2",3.66817104193993e-06
20,"GPR26",3.99191618538103e-06
21,"KLC2-AS2",4.22106786586182e-06
22,"BEND6",4.59149623759484e-06
23,"ENSG00000237807",4.7939765837944e-06
24,"ENSG00000249741",5.07458808248499e-06
25,"DPYS",5.70788159925088e-06
26,"PYGM",5.78075515789956e-06
27,"ITFG1-AS1",6.01398109531067e-06
28,"LRTM1",6.32865605633187e-06
29,"LINC01926",6.42196557997981e-06
30,"MN1",6.44345842955395e-06
31,"SOCS2-AS1",7.18972022674234e-06
32,"SLC35G1",7.3761686936478e-06
33,"TFDP1",8.8769783047104e-06
34,"FZD1",9.15252729715126e-06
35,"MIR4766",9.16342868252105e-06
36,"VENTX",9.5131339903658e-06
37,"LINC01351",9.75902587794315e-06
38,"WSB2",1.12041587979797e-05
39,"ENSG00000286605",1.15154028616198e-05
40,"ENSG00000241439",1.1809566494275e-05
41,"USP46",1.19108285635583e-05
42,"UQCR11",1.31123127885855e-05
43,"PPP1R9A-AS1",1.32733295243774e-05
44,"CAMK2N1",1.37101260990322e-05
45,"CCDC28B",1.41602561082623e-05
46,"ENSG00000232615",1.43255616301426e-05
47,"NDUFB2",1.44510461866556e-05
48,"GUK1",1.45378363273859e-05
49,"GRM3",1.50340713919971e-05
50,"FZD8",1.57059742958538e-05
51,"HIBCH",1.6607638000499e-05
52,"LINC01335",1.72601560530281e-05
53,"NT5E",1.77741592470298e-05
54,"CELF2-DT",1.77762103885873e-05
55,"B4GALT2",1.79026892517119e-05
56,"CNN2P7",1.87893777907524e-05
57,"BRINP3",1.90376404297167e-05
58,"NOG",2.0323312379401e-05
59,"EPHB1",2.1900570173241e-05
60,"MT-TY",2.25854431950169e-05
61,"FAM118B",2.26647986978999e-05
62,"RNVU1-7",2.29288852329982e-05
63,"BBLN",2.38728176001481e-05
64,"ASPHD1",2.4058923421977e-05
65,"PLAAT1",2.42875380402275e-05
66,"LINC00943",2.4385258791445e-05
67,"ENSG00000285966",2.49555881241204e-05
68,"CENPM",2.51604530464311e-05
69,"MMD2",2.52461534855964e-05
70,"ENSG00000167912",2.53293867538676e-05
71,"CRH",2.55817584956398e-05
72,"ALDH1A1",2.56628758984044e-05
73,"HSBP1",2.56917997741985e-05
74,"CSPG5",2.57247061140826e-05
75,"CA11",2.80296657597161e-05
76,"ENSG00000229191",2.8484372286513e-05
77,"MMD",2.89882307735381e-05
78,"CHRDL1",2.92239525002007e-05
79,"C1orf21",2.941660572826e-05
80,"CASC15",2.94251476063798e-05
81,"ADH1B",3.02372080017198e-05
82,"PANK1",3.16399043730953e-05
83,"ENSG00000278730",3.18933450150693e-05
84,"EPB41L4A-AS1",3.25406813646492e-05
85,"ENSG00000288021",3.25572059739982e-05
86,"STXBP6",3.30588592635873e-05
87,"PTN",3.30945996161476e-05
88,"PINK1",3.37514077355998e-05
89,"SMIM10L1",3.3788954822577e-05
90,"TADA3",3.41647586093367e-05
91,"SELENOW",3.4999935621661e-05
92,"GPM6A",3.60472918613645e-05
93,"BTBD17",3.61385201797048e-05
94,"UOX",3.62652857306706e-05
95,"NNT",3.63284350682802e-05
96,"TLE1P1",3.68420316265671e-05
97,"LINC02537",3.81921653763678e-05
98,"TAF13",3.83817497144605e-05
99,"ENSG00000258679",3.92532036653718e-05
100,"UQCRFS1",3.93903138374257e-05
101,"VTI1B",3.99246885882962e-05
102,"LINC02073",4.01858364318662e-05
103,"C2orf74",4.03886604569492e-05
104,"LINC00581",4.13838969578737e-05
105,"PLA2G5",4.14233366178988e-05
106,"ENSG00000232876",4.25171328316398e-05
107,"LINC01332",4.32915807355613e-05
108,"HSD17B6",4.32932414685277e-05
109,"ENSG00000286351",4.38462987261631e-05
110,"FAM171B",4.41386463536086e-05
111,"MYORG",4.43880348119607e-05
112,"POT1-AS1",4.4990792285753e-05
113,"ARPP19",4.51064870679377e-05
114,"LINC00461",4.58488866218236e-05
115,"DOK5",4.78224893562594e-05
116,"BCL2L2",4.79148917826433e-05
117,"GALNTL6",4.83518436736628e-05
118,"TTPA",4.89139118261913e-05
119,"PDE6H",4.9405615880796e-05
120,"NDUFAF8",4.97150587740301e-05
121,"NFYB",5.04326310062323e-05
122,"PEA15",5.19489185854401e-05
123,"CCNI",5.26494170651211e-05
124,"DIAPH3",5.29405224036816e-05
125,"TOM1L1",5.40013435884544e-05
126,"CTNND2",5.56473397366567e-05
127,"ENSG00000275178",5.57868829472048e-05
128,"ENSG00000285940",5.59692224925715e-05
129,"PID1",5.59947871019614e-05
130,"RAB4A",5.80338112747826e-05
131,"SLC25A5",5.81250412115255e-05
132,"FUT9",5.89491103300304e-05
133,"MS4A6A",5.89771989418097e-05
134,"MEF2C-AS2",5.95842036543349e-05
135,"EIF4A1P13",5.98487179959769e-05
136,"SATB1-AS1",5.99078496372202e-05
137,"EIF2S2P4",6.02592355726815e-05
138,"ENSG00000228210",6.08953257699716e-05
139,"GDF11",6.16560861366496e-05
140,"LINC00437",6.19102618124762e-05
141,"FGF13",6.21647388006895e-05
142,"NKAIN3",6.35628562569382e-05
143,"LINC01664",6.40119275044712e-05
144,"RNF11",6.42617442069687e-05
145,"ENSG00000279673",6.60197338632341e-05
146,"ENSG00000253300",6.65684993692381e-05
147,"HDGFL3",6.72319981942437e-05
148,"FAM229B",6.78762263746145e-05
149,"ACYP2",6.9046617547105e-05
150,"CCNY",6.93911185191752e-05
151,"BAG1",6.98100619317918e-05
152,"MIMT1",7.04396809511079e-05
153,"ENSG00000226955",7.10222656846859e-05
154,"CST3",7.11198245590256e-05
155,"LMO3",7.13089353971802e-05
156,"GPC5",7.23747204305697e-05
157,"OLFM2",7.24862466963904e-05
158,"PDE9A",7.3528064036136e-05
159,"EPHB3",7.39095289064821e-05
160,"MIR34AHG",7.47234161403763e-05
161,"MT-TC",7.52057605360327e-05
162,"SIRT4",7.54287712270597e-05
163,"SURF1",7.66801326934695e-05
164,"EDNRB",7.68876120739512e-05
165,"PCP4L1",7.696246854376e-05
166,"PREX2",7.75910746344777e-05
167,"SOX21",7.82263437163046e-05
168,"LY6E-DT",7.82697098236733e-05
169,"CASP3",7.84623570620507e-05
170,"BICC1",7.9045880847218e-05
171,"GLRX5",7.92885637048747e-05
172,"COMMD7",8.03229237949262e-05
173,"PPP1R26",8.05697935070452e-05
174,"RNU6-301P",8.10682558798224e-05
175,"ZEB1-AS1",8.16692968406105e-05
176,"SKA2",8.26528688370048e-05
177,"SLC7A15P",8.27669610735937e-05
178,"ATP5PF",8.35592260778334e-05
179,"LRRC75A",8.41908359730049e-05
180,"KLRG1",8.47757963463221e-05
181,"NRXN1",8.66236598947176e-05
182,"MAZ",8.6744718183804e-05
183,"ENSG00000229797",8.76123047203575e-05
184,"ATP5F1E",8.86231398303183e-05
185,"TIPARP-AS1",8.90052053438502e-05
186,"TMEM263",8.90251799251454e-05
187,"ENSG00000257322",8.92363292110481e-05
188,"BICD1-AS1",8.93428722161545e-05
189,"LINC01896",8.97349418299427e-05
190,"KIF15",9.08897912159188e-05
191,"ENSG00000225177",9.0932541862952e-05
192,"PRSS35",9.10845934767262e-05
193,"LYPD8",9.18893088249471e-05
194,"URI1",9.20132083872072e-05
195,"ENSG00000289146",9.33282071304894e-05
196,"BRMS1L",9.37763701276886e-05
197,"USP12",9.47842987643855e-05
198,"ENSG00000270001",9.56406171161855e-05
199,"FAM204A",9.57583676648565e-05
200,"DMAC1",9.62337296883603e-05
201,"ENSAP2",9.63258506925699e-05
202,"LINC00892",9.63484123916455e-05
203,"LINC02123",9.65248119150582e-05
204,"CMPK1",9.76976034729433e-05
205,"ITGA9-AS1",9.79792180241709e-05
206,"ENSG00000287814",9.90793812830171e-05
207,"FREM2",9.92078299174416e-05
208,"TSHR",0.000100411045810445
209,"MPP7",0.000101141555093712
210,"RNU4ATAC",0.000101439581601145
211,"LNCTAM34A",0.000102162567604527
212,"RWDD1",0.000102809251710346
213,"DLGAP1-AS4",0.000102818584020726
214,"LARS2",0.00010314499621257
215,"ENSG00000283196",0.000103388660180235
216,"ENSG00000285454",0.000103849479600535
217,"GCC2",0.000104003128704456
218,"NDUFA4",0.00010471553056566
219,"ENSG00000289483",0.000104806150206737
220,"NIPSNAP2",0.000105124623497172
221,"JAM2",0.000105230867228155
222,"OAZ2",0.00010566364735266
223,"FSTL5",0.000106021168442643
224,"FAM131B-AS1",0.00010634686724744
225,"CLEC4E",0.000107186481282173
226,"CHMP4B",0.000107588249506245
227,"FGGY",0.000109395012918356
228,"ATP6V0E2",0.000110097607933425
229,"ENSG00000286760",0.000111081106248467
230,"AADAT",0.000111689662744598
231,"KIF5C",0.000113117835204837
232,"DCUN1D1",0.000113246610699658
233,"CXCL14",0.00011328698423403
234,"PTGIS",0.00011462391144837
235,"MIR1915HG",0.000114763887616028
236,"ENSG00000279218",0.000115336384867048
237,"CRABP1",0.000115397518095262
238,"SNX24",0.000116104829294803
239,"PPP2R5A",0.000116301330669516
240,"UQCRB",0.000117165523514897
241,"VWC2",0.000117178002219332
242,"DTD2",0.000118219955647038
243,"KAZALD1",0.000119430386569375
244,"MICOS10",0.000119433234513115
245,"GMFB",0.000119915430749075
246,"ENSG00000286084",0.000120327685927736
247,"PPP2R5C",0.00012140161877349
248,"ENSG00000267771",0.0001216065402403
249,"LYPD6",0.000122453211185673
250,"NR2F1",0.000122882630831968
251,"COX8A",0.000123264503509125
252,"NDUFB3",0.000124373988228279
253,"RERG",0.00012466031225823
254,"SRD5A1",0.000125328147582717
255,"ENSA",0.000126029740612182
256,"C1orf53",0.000126041960091398
257,"ENSG00000258072",0.000126150863694743
258,"TXNL4A",0.000126813676980165
259,"NDUFS4",0.000126984009604405
260,"FBXL17",0.000127464882949757
261,"CTNNA2",0.000128619812729118
262,"ENSG00000215861",0.000128770654785317
263,"MRPS24",0.000128942604880094
264,"SOBP",0.000129892965064331
265,"ETFRF1",0.000130073514260018
266,"ENSG00000286264",0.000130879304103478
267,"COX7A2",0.00013153170581418
268,"C12orf57",0.000131624419009238
269,"PLCB1",0.000132417039763303
270,"STUB1",0.000134451944066359
271,"ENSG00000286085",0.000134815354656423
