"Rank","Gene","p_value"
1,"ENSG00000286820",1.68324001603233e-14
2,"VENTX",3.33825668464136e-13
3,"ENSG00000287636",3.23335278375293e-09
4,"CD244",8.94263953439336e-09
5,"KLHL14",2.47047616894023e-08
6,"MS4A6A",2.5744793498887e-08
7,"SERPINA11",2.67713569867204e-08
8,"ENSG00000253642",3.8741626369735e-08
9,"APC",5.25998163470622e-08
10,"LGALS14",5.33982724931289e-08
11,"EDA2R",5.6497431118823e-08
12,"KAZALD1",1.53010523293519e-07
13,"ADAMTS5",1.63667235352625e-07
14,"GMPR",1.80139207430245e-07
15,"ENSG00000286502",1.87571546168368e-07
16,"HOXB7",2.15169363798378e-07
17,"LINC02197",2.50032519784272e-07
18,"B4GALT2",2.67105198296388e-07
19,"GPR78",3.44326052175775e-07
20,"SYNGR4",3.54318756459902e-07
21,"DLGAP1-AS4",5.80328011122493e-07
22,"ENSG00000254361",8.93000718899693e-07
23,"ENSG00000270866",1.2364047856078e-06
24,"GAPT",1.34316982165019e-06
25,"NAA11",1.43170173075204e-06
26,"DGKZP1",1.59524668457388e-06
27,"APOBEC3C",1.66729713334919e-06
28,"MS4A4E",1.90453101897101e-06
29,"HLA-DRA",1.94964854115137e-06
30,"ENSG00000229855",1.95775922139931e-06
31,"RIMS1",2.08090158529194e-06
32,"ADORA3",2.43699086329191e-06
33,"ALDH1A1",2.45559631591111e-06
34,"NOG",2.58555620964691e-06
35,"NEURL1B",2.62589037997377e-06
36,"TRH",2.63318545297096e-06
37,"P2RX1",2.76775782975534e-06
38,"C1orf162",3.58721034925256e-06
39,"ENSG00000287567",3.62155883653134e-06
40,"NXF3",3.92509547840554e-06
41,"CMTM3",3.99947280152701e-06
42,"ENSG00000286831",4.12731564145011e-06
43,"GUK1",4.339870268411e-06
44,"HLA-DQA1",4.41104198026316e-06
45,"ENSG00000282828",4.44031769523881e-06
46,"TRBV5-5",4.4605496205226e-06
47,"PTHLH",4.48944082223288e-06
48,"VSIG4",4.70612434309862e-06
49,"KRT87P",5.34902179059144e-06
50,"LINC00488",5.92540375559143e-06
51,"BBLN",6.17171568566364e-06
52,"NREP",6.49366413115037e-06
53,"SATB1-AS1",7.88276215807666e-06
54,"ENSG00000278532",8.01917453611261e-06
55,"ENSG00000228162",8.25427232437667e-06
56,"PIK3C2G",8.31394651618614e-06
57,"ENSG00000266573",8.39578917539448e-06
58,"HLA-DPA1",8.60748056659977e-06
59,"LYPD8",8.88781455004492e-06
60,"CD74",8.99592079607915e-06
61,"CLEC5A",9.43687914066094e-06
62,"MS4A4A",9.99830990388354e-06
63,"LINC02134",1.01466161125733e-05
64,"GUCA1A",1.09134770317585e-05
65,"ENSG00000282024",1.11229214986931e-05
66,"ENSG00000280362",1.19562895856524e-05
67,"MIMT1",1.20423849388119e-05
68,"CHRNA2",1.2053355125457e-05
69,"CFAP299",1.24052352645868e-05
70,"RHBDF2",1.34813378997129e-05
71,"LINC01664",1.37149834988677e-05
72,"ENSG00000256306",1.37935109370334e-05
73,"ITGB4",1.38274666703383e-05
74,"ENSG00000286748",1.39463023790836e-05
75,"LINC01491",1.40138932168697e-05
76,"FPR3",1.41751292392034e-05
77,"NMU",1.48005773205708e-05
78,"NUPR1",1.48570153229926e-05
79,"CDRT15L2",1.54779958335448e-05
80,"ENSG00000262267",1.56556750232212e-05
81,"ENSG00000230699",1.58397582752366e-05
82,"ENSG00000274353",1.67837000338646e-05
83,"RNASE3",1.84792436576577e-05
84,"ENSG00000283659",1.85289985182595e-05
85,"ADRA1D",1.88100659955214e-05
86,"CPXM1",1.91668074322559e-05
87,"C16orf95",1.93494134106648e-05
88,"LINC00237",1.95187157445617e-05
89,"HAPLN1",2.00714961930071e-05
90,"ENSG00000255836",2.02582702694796e-05
91,"RPRM",2.03952995182423e-05
92,"ENSG00000256596",2.04040724705302e-05
93,"LINC02725",2.05508805341177e-05
94,"CALCR",2.16484602559246e-05
95,"HOTAIRM1",2.20988053246957e-05
96,"ENSG00000254467",2.23531987941294e-05
97,"LNCTAM34A",2.2859863456224e-05
98,"TSPOAP1",2.33255712310583e-05
99,"HCRTR1",2.34840503263916e-05
100,"GPR26",2.43272355183606e-05
101,"AZGP1",2.47395547443946e-05
102,"TRIM67",2.59632143138388e-05
103,"C4A",2.65804177903267e-05
104,"CACNA1G-AS1",2.67539485484641e-05
105,"C10orf82",2.67923454250468e-05
106,"NEUROG2-AS1",2.70277441851748e-05
107,"RS1",2.80517565082341e-05
108,"NPBWR1",2.83612339921559e-05
109,"HLA-DMA",2.88716865801276e-05
110,"PSTPIP1",2.91154639527941e-05
111,"ABCB10P1",2.9894854013054e-05
112,"AARD",3.13684609346642e-05
113,"ENSG00000235988",3.14029739519506e-05
114,"ENSG00000286264",3.15202343992321e-05
115,"GUSBP5",3.16712616283258e-05
116,"ZNF883",3.1908494410703e-05
117,"ADH1B",3.42550446454498e-05
118,"ENSG00000287064",3.46718721289219e-05
119,"ENSG00000287023",3.54781020939577e-05
120,"ZNF687-AS1",3.58881931542326e-05
121,"CHI3L1",3.60878738077797e-05
122,"SLC35G1",3.62353667393961e-05
123,"HLA-DRB1",3.66360875281715e-05
124,"LPL",3.6772758520166e-05
125,"SPRY4-AS1",3.68204479530725e-05
126,"FBLN2",3.72604961746034e-05
127,"ENSG00000230746",3.77957681281367e-05
128,"DOK6",3.80529883208229e-05
129,"ENSG00000258240",3.99003430685469e-05
130,"NR0B1",4.03060480024202e-05
131,"ENSG00000285718",4.03782717851177e-05
132,"ENSG00000279306",4.08627841234466e-05
133,"CFHR1",4.23269294941263e-05
134,"ARHGAP30",4.27285770979779e-05
135,"LINC02489",4.29619362763251e-05
136,"WSB2",4.35358725312012e-05
137,"SIM2",4.53734328813666e-05
138,"UQCRFS1",4.57068757897591e-05
139,"MMD",4.5757186028578e-05
140,"ENSG00000180458",4.62049099394412e-05
141,"ENSG00000285634",4.74153394537209e-05
142,"CA11",4.85007934517208e-05
143,"C1orf53",4.85171374031314e-05
144,"ST6GALNAC6",4.92234422983348e-05
145,"ENSG00000230051",5.07461268345114e-05
