"Rank","Gene","p_value"
1,"ENSG00000262267",4.06273900085534e-13
2,"LINP1",7.18305123381982e-13
3,"ENSG00000286953",1.72368495895978e-12
4,"LINC02133",2.19105862558515e-12
5,"ENSG00000285095",1.3222849999279e-10
6,"UOX",1.12435143443613e-09
7,"AQP1",1.69701015471549e-09
8,"LINC00707",2.13695803873707e-09
9,"ENSG00000254055",2.4480710893896e-09
10,"ENSG00000236858",7.16048454553165e-09
11,"LINC02134",9.24942105116645e-09
12,"ENSG00000234580",9.54998392427335e-09
13,"OSMR-DT",1.14335622108932e-08
14,"ENSG00000258426",1.1468226153359e-08
15,"EDA2R",2.85873057246368e-08
16,"ENSG00000251189",5.15973226295455e-08
17,"ENSG00000260412",1.22495366774375e-07
18,"VWC2",1.30691702504873e-07
19,"G2E3-AS1",1.70063647131704e-07
20,"DIO2",2.56453352594509e-07
21,"MT1H",2.91030149669556e-07
22,"LINC01470",3.46585832896654e-07
23,"CRH",3.88328707606838e-07
24,"FIBCD1",3.9952299365826e-07
25,"ITGB4",5.05168733609903e-07
26,"GFAP",5.27625435482117e-07
27,"NPHS2",6.38341889480821e-07
28,"TNFRSF17",7.82925747441393e-07
29,"ENSG00000228877",9.20838679961739e-07
30,"HAPLN1",9.22232632045496e-07
31,"ENSG00000253331",1.03368420249186e-06
32,"SERTM1",1.32710941202456e-06
33,"LINC02257",1.74362653884126e-06
34,"MT1G",1.84827181658453e-06
35,"ENSG00000259869",2.08256148992292e-06
36,"PLD5",2.20372467310004e-06
37,"OTUB2",2.25335400896795e-06
38,"GLI1",2.38196003210916e-06
39,"ENSG00000226861",3.00194297431741e-06
40,"CISTR",3.18450889070266e-06
41,"NRTN",3.89559988797405e-06
42,"CNTN5",4.1851522364747e-06
43,"ENSG00000267424",4.18971731323953e-06
44,"NTNG1",4.19305650134398e-06
45,"GPR26",4.29214422293355e-06
46,"ENSG00000272825",4.33543211466458e-06
47,"NUPR1",4.44900567914087e-06
48,"TBILA",4.69884237099619e-06
49,"ENSG00000277332",4.93232329684106e-06
50,"PLIN1",5.09111020830151e-06
51,"LECT2",5.3186384558224e-06
52,"RGS13",7.39439775390995e-06
53,"EXOC1L",9.51278712275173e-06
54,"EPHA5",9.56877729083344e-06
55,"GRIK1",9.79730598827254e-06
56,"PLA2G4F",9.86293693556916e-06
57,"PODNL1",1.03745729332413e-05
58,"WDR86",1.08100441680006e-05
59,"PTHLH",1.12144810966092e-05
60,"KCNC2",1.15286677449827e-05
61,"AARD",1.21760141835166e-05
62,"MUC15",1.32948647654517e-05
63,"LINC01738",1.40522057736998e-05
64,"PLSCR5",1.40621781789377e-05
65,"ENSG00000249000",1.4129331749862e-05
66,"ENSG00000287824",1.52793966882461e-05
67,"OLFM1",1.5665655701105e-05
68,"ENSG00000283627",1.64212772947609e-05
69,"AZU1P1",1.6498179080215e-05
70,"TAB2-AS1",1.65662486523273e-05
71,"ENSG00000286581",1.70624905522784e-05
72,"ST8SIA5-DT",1.72069335269312e-05
73,"NREP",1.97447092211262e-05
74,"ENSG00000286932",1.99607687666197e-05
75,"ENSG00000258600",2.00753069124116e-05
76,"ENSG00000225537",2.05416774121341e-05
77,"ENSG00000253642",2.07064085828521e-05
78,"AMBN",2.11161975425601e-05
79,"MDGA2",2.2121690680481e-05
80,"GLRA3",2.31807364210545e-05
81,"ENSG00000267714",2.32925264736761e-05
82,"SP5",2.3544949789202e-05
83,"RASL12",2.46039753319874e-05
84,"PLAAT4",2.49586007387705e-05
85,"UQCRFS1P1",2.52489543504801e-05
86,"MTCO2P24",2.62755834352818e-05
87,"FBXL21P",2.69340986043861e-05
88,"ENSG00000242295",2.72395351504043e-05
89,"LINC00207",2.77956718298703e-05
90,"ADCY1",2.85469361369551e-05
91,"ENSG00000235431",2.8659435920216e-05
92,"ZNF93",2.87870045915952e-05
93,"GRM3",2.89680113145248e-05
94,"HCRTR2",2.96138556199801e-05
95,"LINC01054",3.00245991038421e-05
96,"ANO7",3.01216181597706e-05
97,"NCALD",3.10461183315387e-05
98,"ETV1",3.39726859620699e-05
99,"LINC01819",3.47490339732625e-05
100,"ENSG00000259200",3.60505875904333e-05
101,"D21S2088E",3.69254445969289e-05
102,"ITPKB",3.74020865369888e-05
103,"ENSG00000286218",4.01607064273572e-05
104,"TRIM67",4.20289640466873e-05
105,"RNA5SP270",4.26305429412879e-05
106,"ENSG00000239532",4.31467006551557e-05
107,"ACP5",4.36087186279004e-05
108,"ENSG00000278552",4.61525471172327e-05
109,"VIP",4.69075827794371e-05
110,"C4A",4.72488684953651e-05
111,"RN7SKP289",4.85043793729193e-05
112,"ENTPD2",4.89290673217674e-05
113,"ENSG00000261044",4.99304555767005e-05
114,"OTOS",5.05785105784845e-05
115,"SLC39A12",5.18348566474318e-05
116,"SNORD70B",5.24593985674414e-05
117,"LINGO2",5.34487251859186e-05
118,"AEBP1",5.71954208424678e-05
119,"ENSG00000269986",5.844649844683e-05
120,"ENSG00000179066",5.99710798692443e-05
121,"ADH1B",6.08922434767135e-05
122,"ENSG00000279575",6.5467784381659e-05
123,"RN7SKP89",6.85756389415717e-05
124,"CELF2-DT",7.01564192310329e-05
125,"DLG2-AS2",7.04057408868085e-05
126,"NOG",7.2881384880657e-05
127,"LINC00457",7.74848322476273e-05
128,"FAM181A",7.75221453364197e-05
129,"CNTN6",7.77296729546449e-05
130,"LINC02458",7.85733037196829e-05
131,"PLCXD3",7.97894258185328e-05
