"Rank","Gene","p_value"
1,"PTPN3",2.21151367361925e-19
2,"EFNB3",8.31979681983906e-17
3,"KAZALD1",6.35722912485629e-16
4,"WWC2",8.451426546219e-16
5,"FRAS1",1.3057798426158e-15
6,"VGLL2",3.2696452713763e-14
7,"CYP24A1",6.32068973201301e-14
8,"SLC6A5",4.96853439437516e-13
9,"ANKRD36BP2",8.01950335172756e-13
10,"CPLX4",1.01458324002564e-12
11,"ZNF311",3.43150845354756e-12
12,"HAPLN1",5.08449367493271e-12
13,"PCYT1B",5.29051802399149e-12
14,"COL24A1",7.45690548095577e-12
15,"ENSG00000287290",8.36739727966378e-12
16,"ENSG00000286470",1.36272132491445e-11
17,"CRYBA2",1.47475548911488e-11
18,"PAPPA2",2.26958060089125e-11
19,"TMCC3",2.40287765794335e-11
20,"MARCHF4",3.05489257338895e-11
21,"SLC9A2",3.93450693693342e-11
22,"UGGT2",5.73890167803022e-11
23,"RPL39L",6.05929911329679e-11
24,"HHIP",6.099870481648e-11
25,"SLC35G1",1.40374834573131e-10
26,"THSD7B",1.70104016939728e-10
27,"GALNTL6",2.97571100088869e-10
28,"PIP4K2A",3.08772657844006e-10
29,"CACNG8",3.73848428688814e-10
30,"PPP1R26-AS1",3.99345808441211e-10
31,"FBXL21P",4.68988203672353e-10
32,"CBX2",4.69008947398744e-10
33,"AGTR1",6.06126670535243e-10
34,"PLAGL1",6.07136060392896e-10
35,"TYMSOS",6.4044161110581e-10
36,"ENSG00000258526",7.85391732983147e-10
37,"COX6B2",7.88313550989795e-10
38,"SEMA3C",8.81034508366236e-10
39,"EPHA10",9.69230849821352e-10
40,"PLPPR4",1.08209538949289e-09
41,"ENSG00000287963",1.32061940313862e-09
42,"LRRTM1",1.36111861512944e-09
43,"ENSG00000287423",1.38981750230212e-09
44,"LYPD6B",1.59454918460694e-09
45,"LINC02246",1.61795122253368e-09
46,"YBX2",1.69419080032766e-09
47,"AIF1L",1.69511095286063e-09
48,"ENSG00000287520",1.90243485959521e-09
49,"ACTN2",2.06878807810744e-09
50,"NRG1",2.27656893811216e-09
51,"PAPPA",3.4964021995809e-09
52,"EPHB2",3.58182694541029e-09
53,"RASSF2",3.92292441720679e-09
54,"LDB3",3.93175034816977e-09
55,"SUSD1",3.99756468319229e-09
56,"TBC1D32",4.37036089499581e-09
57,"CCBE1",4.54020253913544e-09
58,"SLC30A3",4.61359677644006e-09
59,"CLSTN2",5.01972321404092e-09
60,"ENSG00000272927",5.26111817082018e-09
61,"PACRG-AS3",5.50009408473669e-09
62,"AK5",6.11632306493869e-09
63,"CTHRC1",6.3330427356183e-09
64,"RTL4",6.71350746560588e-09
65,"ENSG00000237390",7.03946077462863e-09
66,"FOLH1",7.18002187669661e-09
67,"PLP1",7.43027010181865e-09
68,"MAP4",8.38811674852388e-09
69,"PRKCQ",9.23821267096801e-09
70,"PTHLH",9.46652261548226e-09
71,"CCDC158",1.09348220834487e-08
72,"DCAF12L2",1.19071178514864e-08
73,"ANO4",1.21281218593192e-08
74,"ENSG00000254973",1.228214631097e-08
75,"ERMN",1.2285072875939e-08
76,"IMPA1P1",1.24522426680549e-08
77,"FAM126A",1.29158476913214e-08
78,"ENSG00000261888",1.34068461323933e-08
79,"VIT",1.34187433393156e-08
80,"TYMS",1.42083269385643e-08
81,"GRM2",1.4461455132683e-08
82,"SPOCK3",1.6225813278566e-08
83,"GULP1",1.65151659569033e-08
84,"ENPP2",1.70697844444497e-08
85,"GRP",1.7494862513278e-08
86,"ENSG00000288067",1.76443752769889e-08
87,"PRKCQ-AS1",1.82111794687001e-08
88,"KIF3B",1.86799016615663e-08
89,"KCNQ3",1.94008466904711e-08
90,"GACAT2",1.96167630926957e-08
91,"BCAT1",2.05828541213441e-08
92,"CPPED1",2.09820424103927e-08
93,"NDN",2.13799970651317e-08
94,"ITGA9",2.13918840360994e-08
95,"PDE1C",2.1567984587287e-08
96,"LRGUK",2.27534279774211e-08
97,"TMEM235",2.36502210311275e-08
98,"C4orf3",2.44940066125826e-08
99,"B3GALT5",2.51969612207625e-08
100,"EGFEM1P",2.75285804516716e-08
101,"NREP",3.03384113982729e-08
102,"PRRG1",3.24556544916105e-08
103,"PDE6B",3.31647959717106e-08
104,"PLPPR1",3.57407061569948e-08
105,"ENSG00000266456",3.65117629000112e-08
106,"VWA1",3.73831421596674e-08
107,"IL1RAPL2",3.79023785079862e-08
108,"C4orf19",3.79501782933531e-08
109,"EDIL3-DT",3.8089606946864e-08
110,"DCLK1",3.85742143262333e-08
111,"BNIP3P30",3.9361026379107e-08
112,"CNDP1",4.04615115465014e-08
113,"TRPC5",4.09317977295086e-08
114,"ENSG00000279675",4.12609319680492e-08
115,"CDC45",4.21547593173584e-08
116,"ENSG00000279419",4.25670442764573e-08
117,"GRM3",4.2892670546357e-08
118,"RAB3B",4.33648889304061e-08
119,"STMND1",4.37521399057971e-08
120,"ENSG00000233508",4.37573172795664e-08
121,"C17orf100",4.40657950166548e-08
122,"GRID2IP",4.41489556767544e-08
123,"ENSG00000240478",4.44352936662117e-08
124,"ZWINT",4.47222013645459e-08
125,"MEIS3",4.62845945362631e-08
126,"DPY19L1P2",4.6436039450546e-08
127,"ASPA",4.64851559705171e-08
128,"LINC01544",4.83821483108192e-08
129,"TMEM88B",4.98818026309286e-08
130,"PDE3A",5.04074809507563e-08
