"Rank","Gene","p_value"
1,"WWC2",3.53445915611485e-22
2,"PTPN3",1.10130651322337e-18
3,"EFNB3",5.58589444234674e-15
4,"KAZALD1",1.06864802925189e-13
5,"COX6B2",4.36899910407858e-13
6,"ENSG00000232406",1.56945308844472e-12
7,"HAPLN1",3.61336579799525e-12
8,"CPLX4",1.63621139336059e-11
9,"PDE1C",1.79429821772589e-11
10,"SLC6A5",1.93862161791973e-11
11,"SLC35G1",1.9784800135413e-11
12,"PLAGL1",2.07015038388879e-11
13,"ENSG00000254973",2.61959641405664e-11
14,"LRRC3B",4.9953908987273e-11
15,"PAPPA2",7.19794314082107e-11
16,"EPHA10",8.52242732262185e-11
17,"PTK7",1.01851321370171e-10
18,"TMCC3",1.15123808456264e-10
19,"GACAT2",1.30729944628873e-10
20,"UBE2E3",1.95867713082142e-10
21,"VGLL2",1.97014448737017e-10
22,"SNCA",2.01574200756413e-10
23,"PLPPR1",2.327677501163e-10
24,"FRAS1",2.47198842514021e-10
25,"AIG1",2.59301779245621e-10
26,"EPB41L1",2.92645035629357e-10
27,"RPS6KA1",3.1364429506305e-10
28,"PTPRO",3.39872897562768e-10
29,"IL11",3.45476620134929e-10
30,"NRG1",3.68960267105276e-10
31,"KIAA1549L",4.28559230391616e-10
32,"ACER3",4.41953061469224e-10
33,"EPHB2",5.01533127858395e-10
34,"TBC1D32",5.41619384613328e-10
35,"NKD1",5.5909956159432e-10
36,"ENSG00000286470",5.60000232125617e-10
37,"MARCHF4",5.71268476554445e-10
38,"ENSG00000288067",6.14245153514304e-10
39,"NREP",8.81034709848519e-10
40,"HSD11B1",8.8141707038577e-10
41,"PACRG-AS3",8.87179378163744e-10
42,"LINC01544",9.1039205873663e-10
43,"LINC02246",1.06867393086649e-09
44,"REEP1",1.1115799752036e-09
45,"CRYBA2",1.12545956096146e-09
46,"PHLDB1",1.17446521619113e-09
47,"TMTC4",1.34233664221933e-09
48,"CYB561A3",1.46594952434179e-09
49,"GDPD5",1.74899828319901e-09
50,"EDIL3",1.83810210598709e-09
51,"TMEFF2",1.95440661046137e-09
52,"ELAPOR2",2.34374899666848e-09
53,"RNF152",2.34379051500094e-09
54,"ANKRD36BP2",2.37452099067335e-09
55,"ANKS1B",2.46111188638213e-09
56,"KCNK10",2.64783141121899e-09
57,"LIPA",2.77287152999203e-09
58,"RASSF7",2.87631509079114e-09
59,"MYO1D",3.06707619521584e-09
60,"KIF26B",3.26303483767757e-09
61,"WSB2",5.66649330688416e-09
62,"PHACTR1",5.66702662022413e-09
63,"SLC30A3",5.7881100776073e-09
64,"C17orf100",5.89527246798013e-09
65,"NLK",6.07939896828094e-09
66,"WNT10B",6.38012122681024e-09
67,"ENSG00000286084",6.70393591140434e-09
68,"SH3GL3",6.7843135503789e-09
69,"NDST3",6.84908304312544e-09
70,"KIF3B",6.87123087198943e-09
71,"ENSG00000287845",8.22051594267809e-09
72,"TOMM20P3",8.34981462522374e-09
73,"LRRTM1",8.39716778429269e-09
74,"TTL",8.56628205491442e-09
75,"GFAP",8.71670329050723e-09
76,"PRKCQ-AS1",8.73775133111935e-09
77,"TMTC2",8.86022553982284e-09
78,"LANCL2",9.12604982976558e-09
79,"STMP1",9.47741032974884e-09
80,"STMND1",9.72123252679794e-09
81,"GNG4",9.80296214555151e-09
82,"CDK19",1.00645317897963e-08
83,"ENSG00000287469",1.0264756627052e-08
84,"SEMA3B-AS1",1.03361150195282e-08
85,"EDDM13",1.04243463070342e-08
86,"MARCKSL1",1.06684669388881e-08
87,"ENSG00000260634",1.09029655943296e-08
88,"COL24A1",1.42885719635973e-08
89,"SH3GLB2",1.43436375096354e-08
90,"ENSG00000230454",1.4589295388481e-08
91,"PARPBP",1.47106498375711e-08
92,"C14orf132",1.47364847821941e-08
93,"UGGT2",1.49032425084252e-08
94,"PCYT1B",1.49951947355438e-08
95,"LDLRAD4",1.55143654931616e-08
96,"JADE3",1.61203736895028e-08
97,"CNTN2",1.62382833413058e-08
98,"SNX24",1.71770448364177e-08
99,"TASP1",1.73155476010089e-08
100,"IPO13",1.7807643051362e-08
101,"PLEKHA5",1.78778302234724e-08
102,"ARPC5",1.81964475936087e-08
103,"TRO",1.82487988426469e-08
104,"ZIC4",1.84966526242622e-08
105,"LRRN2",1.87923921267967e-08
106,"APLP1",1.97629329689261e-08
107,"DHDDS",2.01982007228889e-08
108,"JAM3",2.04652716840938e-08
109,"ZNF711",2.18648384352711e-08
110,"CXADR",2.2517802584259e-08
111,"ENSG00000260805",2.28000373109534e-08
112,"EXOC6",2.2832204032491e-08
113,"ATG4A",2.34016540322287e-08
114,"CACNG8",2.40649522241471e-08
115,"ENSG00000279675",2.53868680744878e-08
116,"LMNTD2-AS1",2.54905630839395e-08
117,"APBB2",2.56050219991114e-08
118,"AMOTL2",2.72038149675349e-08
119,"TBL1XR1",2.74773866822361e-08
120,"CTHRC1",2.75730522287022e-08
121,"CDH8",2.8090409216198e-08
122,"STK26",2.82029252376241e-08
123,"EDIL3-DT",2.88109235032039e-08
124,"CTXN3",2.92586951046708e-08
125,"C4orf3",3.00471783432173e-08
126,"EPB41L4B",3.04546921987842e-08
127,"TMEM229B",3.11070128328114e-08
128,"PAK1",3.28962172974525e-08
129,"CTNNBIP1",3.31478929048028e-08
130,"PRSS3",3.53501567168311e-08
131,"ZC3H11A",3.61009323018143e-08
132,"SLC22A15",3.65794670078167e-08
133,"GRIK2",3.71677572093281e-08
134,"C12orf76",3.73843563900538e-08
135,"GRK5",3.77868722561769e-08
136,"NALCN",3.8227061739071e-08
137,"LPGAT1",3.82362798189955e-08
138,"ENSG00000280254",3.88210304266536e-08
139,"MGAT5",3.91379776769235e-08
140,"SYT9",3.97256090746574e-08
141,"ENSG00000287290",3.98945281286071e-08
142,"FEZ1",4.03917294881973e-08
143,"MAP6D1",4.10234971177885e-08
144,"CLTCL1",4.14952131208131e-08
145,"HSBP1",4.23020462608593e-08
146,"TYMSOS",4.36610501243904e-08
147,"COL27A1",4.3905968583942e-08
148,"CNTNAP4",4.40379698548706e-08
149,"ENSG00000287520",4.44432446745136e-08
150,"CSPG5",4.46674841573364e-08
151,"PCBP4",4.60489964356801e-08
152,"COLGALT2",4.65842226502085e-08
153,"UBAC2",4.71394762070499e-08
154,"CBLN3",4.72540634009012e-08
155,"ENSG00000237390",4.7857522098234e-08
156,"PAPSS1",4.79175529670124e-08
157,"RAP1GDS1",5.03570481879241e-08
158,"PAM",5.06766299130801e-08
159,"SEMA4G",5.25955255368269e-08
160,"NKAIN2",5.48960263540316e-08
161,"DNAH17",5.70045601018126e-08
162,"ENSG00000233682",5.87357131123709e-08
163,"PGRMC1",5.87614804808235e-08
164,"GPR27",5.96487945022042e-08
165,"CSMD1",6.0058701892156e-08
166,"TMEM64",6.02756469077432e-08
167,"ZC4H2",6.04738414643391e-08
168,"SNTG2",6.05815591163141e-08
169,"HIP1",6.25176874472457e-08
170,"LANCL1",6.39550466531888e-08
171,"PDE6B",6.57153836680043e-08
172,"FKBP1A",6.63278413587971e-08
173,"DOK6",7.53440446091233e-08
174,"EIF4E3",7.6400694564979e-08
175,"PIGK",7.67903661962758e-08
176,"CPPED1",8.07855695241558e-08
177,"CDYL2",8.16730516589347e-08
178,"ORAI2",8.1728475337038e-08
179,"CPSF4",8.18942012817524e-08
180,"ITGA9",8.32530234727515e-08
181,"TBC1D12",8.36240496287728e-08
182,"VLDLR-AS1",8.57262562517208e-08
183,"LAMP1",8.64408866554685e-08
184,"C11orf80",8.67632133018199e-08
185,"MICU1",8.75500395682747e-08
186,"MACROD2",8.79478396438495e-08
187,"TPM4",9.18327746650019e-08
188,"ENSG00000266184",9.18400921398367e-08
189,"CCM2L",9.30600121550302e-08
190,"SH3D19",9.3839072564825e-08
191,"VOPP1",9.47276508755166e-08
192,"PAQR4",9.49787248944234e-08
193,"S1PR2",9.78798850822957e-08
194,"APOOL",9.93903641677379e-08
195,"ZWINT",1.00041146323165e-07
196,"CYP26B1",1.00629527466295e-07
197,"FAM107B",1.0079465219893e-07
198,"TMEFF1",1.03039179953406e-07
199,"NECTIN1",1.03978832854606e-07
200,"ARF5",1.04712692852922e-07
201,"ADAM23",1.07549780113312e-07
202,"TNFRSF11A",1.10624871380814e-07
203,"CNR1",1.113743655739e-07
204,"ZNF277",1.11552041130705e-07
205,"BTBD3",1.14236110560726e-07
206,"LTB4R",1.14679568878195e-07
207,"CALN1",1.15288401212576e-07
208,"ZBED3",1.16622965358062e-07
209,"ERAP1",1.19796937754145e-07
210,"ENSG00000250243",1.21464749922232e-07
211,"SNCAIP",1.21788470339071e-07
212,"SNAP29",1.28674991027793e-07
213,"GMFB",1.31074942037737e-07
214,"RCN2",1.31905500905133e-07
215,"SYT7",1.32126662002148e-07
216,"TMEM130",1.32204179826999e-07
217,"SLC44A1",1.34283428377421e-07
218,"APLNR",1.3457893938523e-07
219,"ERGIC3",1.39236559566407e-07
220,"RIMS4",1.39554878644598e-07
221,"GRM2",1.39974119739577e-07
222,"TFIP11-DT",1.40980624936497e-07
223,"MTMR2",1.44115828497513e-07
224,"STAU2",1.45127017120613e-07
225,"FNBP1",1.52763753056416e-07
