"Rank","Gene","p_value"
1,"MMD",1.22704968912117e-13
2,"AARD",5.27984888992083e-13
3,"ENSG00000278532",2.50700868274462e-12
4,"DOK6",6.71987070204163e-12
5,"LINC00996",7.10724230872426e-12
6,"GPR78",9.60672192729814e-12
7,"HCRTR1",1.31972717236304e-11
8,"ENSG00000287887",1.49814069374055e-11
9,"FAM83F",1.80258127522738e-11
10,"STUM",2.18902590524364e-11
11,"ENSG00000262267",3.21499084212681e-11
12,"APC",4.31739243669219e-11
13,"RIMS1",5.18883587679635e-11
14,"MAN1A2P1",1.96509730225228e-10
15,"ST8SIA2",2.91230643304046e-10
16,"GPR26",4.83005164182934e-10
17,"DMBT1L1",5.06014355007126e-10
18,"NREP",8.58299430551979e-10
19,"COL25A1",8.96230589443916e-10
20,"NMU",1.04636545870221e-09
21,"SYT6",1.0962273267404e-09
22,"WSB2",1.09759997373666e-09
23,"ENSG00000285966",1.15926675964758e-09
24,"USP12",1.42381788947747e-09
25,"GLRA2",2.66789658308881e-09
26,"XKR4",2.73358656749575e-09
27,"ENSG00000253553",2.79312103872741e-09
28,"RXFP3",3.25256745230658e-09
29,"ENSG00000258072",3.33336883087892e-09
30,"GMPR",4.29217900302892e-09
31,"ENSG00000286946",4.56170048157759e-09
32,"PLIN4",4.65491795732847e-09
33,"EPHA5",4.75975813964575e-09
34,"ADAMTS19-AS1",4.78827427185617e-09
35,"P2RX2",5.5824619736284e-09
36,"ENSG00000254361",5.92637673897617e-09
37,"GUCA1A",6.91645482834581e-09
38,"FAM181A",7.35030575078356e-09
39,"ENSG00000267714",8.1631210007779e-09
40,"GFAP",8.87483765313893e-09
41,"ENSG00000274718",9.58577780750097e-09
42,"EGFEM1P",9.59366584292915e-09
43,"ITGB4",9.67008481898041e-09
44,"LGR6",9.7438120760184e-09
45,"CD244",1.00481186237248e-08
46,"CFAP20DC-AS1",1.10435931687905e-08
47,"PIK3C2G",1.28899135208063e-08
48,"LUZP2",1.76465840034044e-08
49,"FGF13",1.94058395284433e-08
50,"ADRA2A",2.00831075377771e-08
51,"ENSG00000229191",2.05714649807884e-08
52,"NPBWR1",2.08844660193458e-08
53,"RAB3B",2.14859958022795e-08
54,"KAZALD1",2.14875037150737e-08
55,"SIM2",2.21201499331967e-08
56,"FIBCD1",2.22247737240703e-08
57,"MARCHF4",2.25911757163304e-08
58,"ENSG00000198580",2.66805229213821e-08
59,"ZNF385D",2.75990335218414e-08
60,"B4GALT2",2.78735363706401e-08
61,"ENSG00000255583",2.85401442313436e-08
62,"ENSG00000253642",3.12594427609793e-08
63,"LINC00488",3.1489465440949e-08
64,"PTGER3",3.21085979750346e-08
65,"SERTM2",3.6203326692497e-08
66,"CHRM2",3.96989729352647e-08
67,"UST",3.99599168265575e-08
68,"ENSG00000286605",4.14181656179062e-08
69,"KLHL14",4.23782927381522e-08
70,"CAMK4",4.4144481789996e-08
71,"TAFA4",4.49406746943231e-08
72,"PENK",4.50839323628492e-08
73,"ENSG00000287790",4.51332577118911e-08
74,"ENSG00000278962",5.40755924317177e-08
75,"FAM107A",5.50529830516118e-08
76,"PCDH11Y",5.68618938275157e-08
77,"NYAP2",5.89031103683639e-08
78,"COL19A1",6.76643500140555e-08
79,"ENSG00000264985",6.9765406073835e-08
80,"RGS7BP",7.21522265923398e-08
81,"FSTL5",7.74605250059167e-08
82,"ITPKB",8.81274878533053e-08
83,"ENSG00000255087",9.34376483728754e-08
84,"ENSG00000262668",9.54659977553485e-08
85,"RGS8",9.6671600880226e-08
86,"PRR29-AS1",9.89467834177987e-08
87,"CASC15",1.04338803217812e-07
88,"ENSG00000286483",1.0501702409456e-07
89,"CCNI",1.08046158544534e-07
90,"ZNF883",1.10240431664921e-07
91,"GRIK1",1.12843691840827e-07
92,"ENSG00000285676",1.14588477773067e-07
93,"SERTAD4",1.1768991211111e-07
94,"CAMK2N1",1.22919641409209e-07
95,"MINAR1",1.26265382910323e-07
96,"CRHBP",1.30587163156328e-07
97,"TRIM67",1.35333199830977e-07
98,"PTHLH",1.35391167540042e-07
99,"BRMS1L",1.36737418859174e-07
100,"SLC17A8",1.39687755286202e-07
101,"ARPP19",1.43701594074853e-07
102,"SYTL5",1.44533413863218e-07
103,"NKAIN2",1.47961363457636e-07
104,"CRH",1.52297468735781e-07
105,"AMN1",1.53767433537424e-07
106,"ENSG00000285918",1.61794282895533e-07
107,"ENSG00000286502",1.61800090945388e-07
108,"ENSG00000230746",1.65951746449171e-07
109,"TMEM242-DT",1.69394236722975e-07
110,"VENTXP7",1.74790860027405e-07
111,"ENSG00000223669",1.83837433214654e-07
112,"LINC01643",1.86833245754296e-07
113,"ENSG00000286198",1.9154550223516e-07
114,"PTH1R",1.96147558764478e-07
115,"CNTN6",1.96404231573597e-07
116,"NXPH2",1.98102029095787e-07
117,"SRD5A1",2.01722657117558e-07
118,"ENSG00000266573",2.03705914692536e-07
119,"PPP4R4",2.08234397520874e-07
120,"SST",2.08548056196549e-07
121,"OTOF",2.26672075899269e-07
122,"SAMD5",2.32916823672492e-07
123,"TTL",2.35199539618234e-07
124,"ENSG00000226377",2.45464746977906e-07
125,"ULK2",2.48538998068343e-07
126,"TRAPPC6B",2.58387633758317e-07
127,"LINC02454",2.58802170320554e-07
128,"RABGAP1L-DT",2.70572874664205e-07
129,"ENSG00000231754",2.77372925595449e-07
130,"PRKCB",2.7994763943908e-07
131,"C12orf42",2.8159082115238e-07
132,"NXPH1",2.89560022065204e-07
133,"FAM181B",2.91404930940174e-07
134,"DLGAP1-AS4",2.92265483253725e-07
135,"DDN",2.93422465141058e-07
136,"TMEM52B",3.10126988440084e-07
137,"GPRIN2",3.1641268116264e-07
138,"ENSG00000230051",3.20218827987022e-07
139,"LINC01664",3.25534172940308e-07
140,"TRBJ2-3",3.31257319923773e-07
141,"IL17REL",3.44104966723583e-07
142,"ENSG00000255836",3.49746465014747e-07
143,"GNG4",3.53098313586442e-07
144,"ENSG00000286084",3.87574534168302e-07
145,"YPEL1",4.17565473078571e-07
146,"CPLX3",4.40087062420139e-07
147,"PEG3",4.41369581488117e-07
148,"NEURL1B",4.43778070576109e-07
149,"HDGFL3",4.44657047695893e-07
150,"NPHS1",4.45375161133833e-07
151,"LDLRAD4",4.61750070493388e-07
152,"KCNQ5-DT",4.63537077776253e-07
153,"PCP4L1",4.8149750469397e-07
154,"EMBP1",4.82648379131468e-07
155,"PPP2R2C",5.00977810726166e-07
156,"C4A",5.0630015112299e-07
157,"CYP26A1",5.09939705204143e-07
158,"ENSG00000227579",5.14049102998857e-07
159,"FOXJ1",5.35837668209234e-07
160,"PPP2R5C",5.37404100393623e-07
161,"C6orf141",5.51350049162321e-07
162,"LINC02822",5.72031646031813e-07
163,"HDAC9",5.73189009371255e-07
164,"COLEC10",5.80775566661954e-07
165,"RFX2",5.85289477620519e-07
166,"CCNY",6.01788248655238e-07
167,"HTR7P1",6.05493677377607e-07
168,"ROBO2",6.16130074902116e-07
169,"TMEFF1",6.37023579138815e-07
170,"HIVEP2",6.37462278614224e-07
171,"KIF3B",6.40850606356208e-07
172,"SIAH3",6.56076705285084e-07
173,"NORAD",6.71537189317039e-07
174,"ENSG00000288754",6.85718577360106e-07
175,"ENSG00000261502",6.91526125839403e-07
176,"NETO2",6.93283670020365e-07
177,"RS1",7.00361552718474e-07
178,"HAPLN1",7.14194029097155e-07
179,"LINC01936",7.49956922633415e-07
180,"ENSG00000260658",7.74261668626351e-07
181,"ADRA1D",7.91550956312298e-07
182,"DPY19L2P2",7.92180941029522e-07
183,"PCDHAC1",8.51919367365877e-07
184,"KIRREL2",8.55094136426027e-07
185,"LINC02600",8.93884943205228e-07
186,"LEXM",9.1161919074775e-07
187,"PIWIL4-AS1",9.39789415883842e-07
188,"ENSG00000287251",9.40997976348955e-07
189,"ENSG00000223944",9.49978733453169e-07
190,"ENSG00000289586",9.72838690123359e-07
191,"NAV3",9.77876150925182e-07
192,"ENSG00000233936",9.81272201942062e-07
193,"ENSG00000235705",9.90253568501958e-07
194,"ENSG00000267142",9.9096296897691e-07
195,"ST6GAL2",1.00681665037547e-06
196,"TENM1",1.03336629593562e-06
197,"ELFN1",1.04621752636337e-06
198,"GRM3",1.05314853077818e-06
199,"ENSG00000283538",1.05318622474315e-06
200,"ATXN1",1.07270491387403e-06
201,"ENSG00000272779",1.07784900530873e-06
202,"LINC01534",1.08017225822807e-06
203,"CALB1",1.08773094789929e-06
204,"RASGRP1",1.09985164318174e-06
205,"SLC25A23",1.10611834443037e-06
206,"C1orf21",1.13456372160779e-06
207,"DACT3",1.13520353654127e-06
208,"CTNND2",1.1763186668505e-06
209,"ENSG00000287475",1.18748293984276e-06
210,"TCP11L1",1.21391924126397e-06
211,"ENSG00000283662",1.22051270019722e-06
212,"ENSG00000286141",1.22080265056572e-06
213,"SOBP",1.22548685778855e-06
214,"LINC01435",1.23575103033196e-06
215,"ENSG00000260947",1.24649013274697e-06
216,"MYO3B",1.25418043052606e-06
217,"KCNS3",1.27608338033415e-06
218,"ENSG00000260166",1.29994076724151e-06
219,"GRIN3A",1.30367311640985e-06
220,"ENSG00000288082",1.31426435354085e-06
221,"ST8SIA5-DT",1.31561013964552e-06
222,"CORT",1.33230092395713e-06
223,"HEBP2",1.34900632720754e-06
224,"C4B",1.35764235994047e-06
225,"KIF21B",1.39205960708317e-06
226,"SMIM43",1.40212158138721e-06
227,"MEIS3P2",1.43618110246366e-06
228,"NCAM2",1.4366976687003e-06
229,"LINC00943",1.45307246215344e-06
230,"ENSG00000255101",1.48905589831599e-06
231,"CYP1A1",1.54081262337674e-06
232,"C10orf105",1.63029383698029e-06
233,"DLG2",1.63535102658244e-06
234,"SOGA3",1.65220234631983e-06
235,"CDH13",1.65242033630713e-06
236,"RFX4",1.67925050174303e-06
237,"ENSG00000258751",1.67946364065489e-06
238,"MIMT1",1.70580667228741e-06
239,"B3GAT1",1.71712852064181e-06
240,"DTD2",1.73151958347548e-06
241,"SHISAL1",1.74337809137584e-06
242,"PLPPR1",1.77553440759404e-06
243,"PIGCP1",1.78625362516682e-06
244,"NECTIN3-AS1",1.79350523707765e-06
245,"TATDN2",1.80056676608231e-06
246,"ASB18",1.80169755348451e-06
247,"BRINP3",1.80259393075761e-06
248,"LINC00643",1.80821116297102e-06
249,"SETBP1-DT",1.81273541789757e-06
250,"PAX5",1.81274868561257e-06
251,"KLF13",1.81308351879973e-06
252,"RNF11",1.84017212002299e-06
253,"SCUBE1",1.89673719148049e-06
254,"MYO5B",1.93564424114797e-06
255,"ZNF521",1.93623046793534e-06
256,"CALML3-AS1",1.94614015573602e-06
257,"ENSG00000279069",1.98421420346265e-06
258,"ENSG00000286779",1.99187067824041e-06
259,"VAC14-AS1",1.99287486321596e-06
260,"CEP83",2.01812829984338e-06
261,"GALNTL6",2.04474900056061e-06
262,"PLCB1",2.12255225443549e-06
263,"PRAP1",2.15466245412441e-06
264,"SORBS3",2.20057672642591e-06
265,"TRPA1",2.21202482809534e-06
266,"COL24A1",2.22300687909265e-06
267,"GMFB",2.24544533173528e-06
268,"RNF150",2.30164070518906e-06
269,"LINC01857",2.30369469360786e-06
270,"TC2N",2.30889088188608e-06
271,"FBN3",2.34669101916494e-06
272,"NEK2",2.38848848138162e-06
273,"ENSG00000287985",2.39670573433107e-06
274,"AFF2",2.42164836394171e-06
275,"MYO16",2.43158618632534e-06
276,"PDGFRA",2.54854641207297e-06
277,"TTC3P1",2.57337810140825e-06
278,"ENSG00000279145",2.58177140716338e-06
279,"PCDHA6",2.58841239992669e-06
280,"STYXL2",2.59035403762164e-06
281,"SLC30A9",2.60107000998856e-06
282,"ENSG00000287672",2.64095705262054e-06
283,"ADCY1",2.66903815426908e-06
284,"SOX11",2.67012765568271e-06
285,"PCDH20",2.70790040724671e-06
286,"CALN1",2.72719799126143e-06
287,"ENSG00000284703",2.75126003711617e-06
288,"NRIP3",2.7589202709229e-06
289,"FXYD1",2.86633020571792e-06
290,"KCNH7",2.89438379141791e-06
291,"PPP1R14C",2.90495116193605e-06
292,"TMEM169",2.93504020440705e-06
293,"PPEF1",2.95708412100383e-06
294,"IDS",2.95780714350504e-06
295,"KIF26B",2.96586029979147e-06
296,"RPH3A",2.97444864804638e-06
297,"ENSG00000289378",2.97516447682258e-06
298,"ENSG00000258702",2.98373762932361e-06
299,"ADCY7",3.01561906902769e-06
300,"FXYD3",3.07492260577027e-06
301,"ENOPH1",3.09171652054159e-06
302,"LINC01977",3.09424768060769e-06
303,"SPHKAP",3.11134261537557e-06
304,"MEIOB",3.12664259341798e-06
305,"MEIS3",3.15643547393729e-06
306,"ENSG00000282936",3.17410356279441e-06
307,"LGI2",3.20871803961768e-06
308,"ASPHD1",3.27301874420462e-06
309,"CACNG4",3.2752699081234e-06
310,"USP32",3.30722815152067e-06
311,"GNB1",3.463665470303e-06
312,"NECTIN3",3.51795719856153e-06
313,"TMEM220-AS1",3.59413880788122e-06
314,"RAB11FIP4",3.62423412442334e-06
315,"SGTB",3.6813332871504e-06
316,"VTI1B",3.71371333654396e-06
317,"ARHGAP20",3.72539172484617e-06
318,"PHYHD1",3.75140266738009e-06
319,"SCRN3",3.87194228970066e-06
320,"EXOC3L4",4.0147501666881e-06
321,"SIX5",4.05085023044777e-06
322,"SGCZ",4.06462065404033e-06
323,"MYO5A",4.10040758403023e-06
324,"GNA12",4.40786636190798e-06
325,"CBX6",4.45016844557513e-06
326,"OLFM1",4.55911827579814e-06
327,"KCNA6",4.56809536403435e-06
328,"ENSG00000237250",4.58700729525601e-06
329,"SYNGR4",4.60483732655831e-06
330,"CRYZL1",4.62381160740044e-06
331,"FAM216B",4.6529501314068e-06
332,"ZNF229",4.73796985272017e-06
333,"PTPRD-AS2",4.80500229445967e-06
334,"ENSG00000283445",4.92697689919398e-06
335,"PHF14",4.97911872528433e-06
336,"EIF4E3",4.9869836074746e-06
337,"SERTM1",4.99223846775593e-06
338,"SMIM10L1",4.99703245023836e-06
339,"MIR4500HG",5.08868424137223e-06
340,"IGF1",5.14900539772384e-06
341,"ENSAP2",5.22629534532861e-06
342,"GPR149",5.24630500895197e-06
343,"TMEM200A",5.25191812929506e-06
344,"LHX6",5.2584253653871e-06
345,"MTHFD1P1",5.28330106408469e-06
346,"GSG1L",5.29125199279159e-06
347,"DACH1",5.35182203380489e-06
348,"IL1RAPL2",5.36927939196069e-06
349,"YWHAZP5",5.44013002651259e-06
350,"ENSG00000285634",5.48101812454109e-06
351,"HPCAL4",5.50295146027018e-06
352,"ENSG00000286878",5.53662994219416e-06
353,"FBXL21P",5.63113637804896e-06
354,"TSPOAP1",5.69271741082679e-06
355,"ENTPD2",5.83637713124529e-06
356,"CALM1",5.8450783351575e-06
357,"LINC02693",5.87326096640019e-06
358,"PNOC",5.94923175225541e-06
359,"BECN1",6.0237483115182e-06
360,"HSBP1",6.03959758325308e-06
361,"RAB3C",6.09529321306815e-06
362,"PTPRR",6.13882301202901e-06
363,"TMEM132D",6.14628958041681e-06
364,"RASGRF2-AS1",6.1497828803742e-06
365,"TOX3",6.16530354635429e-06
366,"EDIL3-DT",6.18515681299836e-06
367,"CHMP3",6.20298375793353e-06
368,"CLASP2",6.21823082576651e-06
369,"SMIM13",6.22021840566425e-06
370,"ATP2B1-AS1",6.22344484250984e-06
371,"MYT1L",6.2444843144451e-06
372,"CCDC85A",6.25657937447568e-06
373,"PITPNM3",6.26766257255612e-06
374,"ITFG1",6.29377750833274e-06
375,"IDO2",6.30902073257778e-06
376,"NFYB",6.33153189076877e-06
377,"LARGE1",6.44286997756606e-06
378,"PLIN5",6.44568403563556e-06
379,"CYP24A1",6.47887299990457e-06
380,"PID1",6.55929636206124e-06
381,"VAMP2",6.56013302488154e-06
382,"PCDH17",6.58152646203232e-06
383,"LINC02725",6.58352200555092e-06
384,"TMEM196",6.67053332277268e-06
385,"ENSG00000259977",6.76118330998592e-06
386,"BAG1",6.81806194396099e-06
387,"MYB",6.83153279585623e-06
388,"RPRM",6.8381163999375e-06
389,"SPRN",6.85367373380366e-06
390,"SERPINA11",6.89711755770326e-06
391,"DUSP3",6.93933961841601e-06
392,"TMEM8B",7.00036699442642e-06
393,"PCDH11X",7.01211615989263e-06
394,"HTR2C",7.0973292081222e-06
395,"SMIM10L2A",7.2049944752797e-06
396,"GNRHR",7.21553361509152e-06
397,"NFATC4",7.3740382810148e-06
398,"ENSG00000282828",7.39331157518489e-06
399,"CHRNA4",7.45665349712335e-06
400,"GRIN2B",7.45785714141503e-06
401,"GRM5",7.54481297631313e-06
402,"NUPR1",7.58183898882885e-06
403,"NWD2",7.60060552561367e-06
404,"GABRG3",7.62463644718266e-06
405,"DCUN1D5",7.63033307308738e-06
406,"STARD4-AS1",7.64358658388583e-06
