"Rank","Gene","p_value"
1,"KAZALD1",4.37205762794962e-13
2,"HCRTR1",2.72314407275606e-12
3,"B4GALT2",1.24198990927474e-11
4,"NEURL1B",2.92438664248787e-11
5,"ENSG00000230746",2.3236300037823e-10
6,"RXFP3",3.09143047794766e-10
7,"LINC02840",5.63974909725319e-10
8,"GPR26",6.16647718248346e-10
9,"FBLN2",8.61752264982936e-10
10,"SCUBE3",8.99189239800708e-10
11,"ENSG00000256732",1.61080419465873e-09
12,"STUM",1.71132923159683e-09
13,"LINC02600",1.80171453193126e-09
14,"NMU",1.93478273326188e-09
15,"KCP",1.9468681361481e-09
16,"C8orf34",2.58114633763022e-09
17,"LINC01977",3.17970782858231e-09
18,"SCUBE1",3.75160662367205e-09
19,"PTHLH",4.07988891139342e-09
20,"P2RX2",4.66412174724508e-09
21,"CALML3-AS1",4.89893777577653e-09
22,"ENSG00000287475",5.54385146546011e-09
23,"AARD",5.72689791845037e-09
24,"MEIOB",6.70601902164604e-09
25,"SLC24A3",9.7280924350848e-09
26,"ELFN1",1.09754275596882e-08
27,"ST8SIA2",1.19900633657233e-08
28,"NEK2",1.25278814670719e-08
29,"ENSG00000287567",1.26724091193718e-08
30,"ENSG00000237250",1.28441549545916e-08
31,"ENSG00000230051",1.33979150673308e-08
32,"HAPLN1",1.51847916066176e-08
33,"ENSG00000287251",1.69662839182651e-08
34,"FBN3",1.75097048537613e-08
35,"ENSG00000229203",2.16461258101434e-08
36,"GUCA1A",2.24467227961773e-08
37,"RGS8",2.29721620683406e-08
38,"CHRNA2",2.49948439454123e-08
39,"DOK6",2.50032182655566e-08
40,"ENSG00000229191",2.89583534840279e-08
41,"ENSG00000286987",2.94374466515057e-08
42,"LGR6",2.98681145683568e-08
43,"NREP",3.02642295563395e-08
44,"NAP1L4P2",3.58177328258056e-08
45,"NPNT",3.5889763201522e-08
46,"PTGFR",3.83184796419347e-08
47,"LINC00488",3.87227266832917e-08
48,"GRIK1",3.90146581116674e-08
49,"ADAMTS5",4.0407286226025e-08
50,"PTGIS",4.30825568418053e-08
51,"SLC35G1",4.78641085729018e-08
52,"ETV4",4.78812588834156e-08
53,"ENSG00000287023",5.05833141584853e-08
54,"NOG",5.07969159504132e-08
55,"TAC3",5.24150209544096e-08
56,"WDR86",6.43454176333933e-08
57,"MMD",6.96394170831746e-08
58,"FAM83F",7.1692045119242e-08
59,"IGF1",7.57655506439091e-08
60,"ENSG00000255087",7.71335943429504e-08
61,"LINC01305",7.71662879893246e-08
62,"NPBWR1",8.01036706153735e-08
63,"C8orf34-AS1",8.61070395945652e-08
64,"LINC00943",8.89267698781422e-08
65,"EXOC3L4",8.96922972221668e-08
66,"ENSG00000285918",9.06629071613656e-08
67,"GPR78",9.16986006295647e-08
68,"CAMK2N1",9.19433594057873e-08
69,"ENSG00000241439",9.38511377288993e-08
70,"PAX5",9.40116962068796e-08
71,"TOX3",1.02192482633763e-07
72,"COLEC10",1.07098899945172e-07
73,"CYP1A1",1.26519478151225e-07
74,"SCARA5",1.26732082189579e-07
