"Rank","Gene","p_value"
1,"VENTX",3.88791511771771e-12
2,"CALML3-AS1",2.85569546535881e-10
3,"AARD",3.91581936482e-10
4,"ENSG00000283648",4.5015519618118e-10
5,"ENSG00000287636",9.2741422409043e-10
6,"FBXL21P",1.23871294016318e-09
7,"MSANTD1",1.68533013264303e-09
8,"ENSG00000287475",2.1266424421872e-09
9,"ENSG00000230725",3.33190639632983e-09
10,"MARCHF4",4.05570817392123e-09
11,"ENSG00000256982",4.37912101454031e-09
12,"TPBGL",5.35018904552645e-09
13,"OTUB2",6.63158461553425e-09
14,"ENSG00000251293",8.20847631750662e-09
15,"ENSG00000224523",1.00267267008592e-08
16,"IGFBPL1",1.24046836934752e-08
17,"ENSG00000272944",1.2749145962133e-08
18,"SSTR4",1.37363596809587e-08
19,"ENSG00000286084",1.87576998363016e-08
20,"ST20-AS1",1.94875308903744e-08
21,"N4BP3",2.17347903521838e-08
22,"MYO16",2.18110953445968e-08
23,"GLYATL1",3.19229993434152e-08
24,"PAQR9-AS1",3.47493623037043e-08
25,"SAMD5",3.6219159583049e-08
26,"ENSG00000287012",3.7198772764774e-08
27,"CELF2-DT",3.76287132157171e-08
28,"ENSG00000226767",3.98074375810138e-08
29,"LINC02458",4.32034766005064e-08
30,"COLEC10",5.67439571538866e-08
31,"ENSG00000266908",5.7906353851402e-08
32,"ENSG00000286269",5.95403362487985e-08
33,"ENSG00000287985",6.42164427993529e-08
34,"LY6E-DT",6.47830666936323e-08
35,"ENSG00000287347",7.23679651626239e-08
36,"ST8SIA5-DT",7.64594993925668e-08
37,"LINC02454",7.66741648364152e-08
38,"WNT4",8.26003988456846e-08
39,"PTHLH",8.50099028993512e-08
40,"MARCHF11-DT",8.54106623182061e-08
41,"ENSG00000253535",8.68004163258095e-08
42,"LINC00239",8.72646272710444e-08
43,"ENSG00000287844",8.99966996333108e-08
44,"KRT33B",9.93010954569326e-08
45,"KHDRBS2",1.06235760655787e-07
46,"LRRC73",1.10927618208062e-07
47,"KCNK15-AS1",1.16054876745608e-07
48,"GUCA1A",1.1962875634871e-07
49,"MS4A6A",1.34310180337524e-07
50,"PNPLA5",1.42853485505356e-07
51,"ADGRA1-AS1",1.67343845942153e-07
52,"ENSG00000145063",1.92608481017285e-07
53,"ENSG00000254610",1.9322366382933e-07
54,"KIF12",1.9348962176192e-07
55,"STYK1",2.0134886544004e-07
56,"KIF21B",2.06183456236912e-07
57,"HSPBP1",2.21701970083119e-07
58,"PRKCB",2.36740762868796e-07
59,"ZNF883",2.45241973768285e-07
60,"PPP2R2C",2.46346582867073e-07
61,"ENSG00000205562",2.47340461113986e-07
62,"LINC00488",2.52119369916774e-07
63,"CHRM4",2.52822493873103e-07
64,"ENSG00000284612",2.52968126666025e-07
65,"GALNTL6",2.62099093057802e-07
66,"ENSG00000286181",2.68840510026909e-07
67,"PRKCZ",2.83410708420351e-07
68,"PPEF1",2.84088399846428e-07
69,"ENSG00000269425",2.85298394555844e-07
70,"GJD3",2.92980270153062e-07
71,"RAB3B",2.95696402237547e-07
72,"ENSG00000289095",3.01694221915345e-07
73,"PIP5KL1",3.04202940550767e-07
74,"ENSG00000227579",3.12087691461436e-07
75,"KCNF1",3.37107023768277e-07
76,"LINC01512",3.38239779384601e-07
77,"FPR3",3.40128982070996e-07
78,"XKR4",3.53503724211323e-07
79,"CLEC5A",3.54028232306033e-07
80,"CORT",3.58573430733963e-07
81,"ENSG00000286389",3.8544648650403e-07
82,"ENSG00000286342",4.05484422082935e-07
83,"LINC01140",4.47673935448748e-07
84,"JAKMIP1-DT",4.50221802533594e-07
85,"PLCH2",4.5287927522711e-07
86,"NCAPG2",4.96261943271547e-07
87,"KAZALD1",5.04207439464931e-07
88,"PTF1A",5.06430358890045e-07
89,"PRSS16",5.08507317405243e-07
90,"DOK6",5.11574733520564e-07
91,"RNF165",5.19525772141933e-07
92,"GGN",5.33994814595857e-07
93,"DPP10-AS1",5.34861378454219e-07
94,"ENSG00000286596",5.41907358855211e-07
95,"DCX",5.47557459855157e-07
96,"SMIM10L2A",5.49789586662562e-07
97,"ENSG00000241439",5.75197271031056e-07
98,"MS4A4A",5.8611389266009e-07
99,"AGMAT",6.04643931389488e-07
100,"BHLHA15",6.12044625695731e-07
101,"TRIM67",6.12622504961595e-07
102,"BCL11A",6.26103666764604e-07
103,"KRT84",6.33029951355498e-07
104,"KLHL34",6.37190082319249e-07
105,"LINC00390",6.4209535954868e-07
106,"CBX6",6.45286946517071e-07
107,"ENSG00000244239",6.68013604910582e-07
108,"ENSG00000258702",7.05589600320343e-07
109,"EPHA6",7.1875520686233e-07
110,"BEAN1",7.2928832732236e-07
111,"CAMK4",7.31420466049547e-07
112,"C3orf49",7.35026411583952e-07
113,"CCDC106",7.37253925925226e-07
114,"CA11",7.8390389349406e-07
115,"CLVS1",7.84078952226753e-07
116,"FBXL18",8.05291911283189e-07
117,"ENSG00000251602",8.05917746870786e-07
118,"LINC01586",8.22897809363884e-07
119,"TUBG2",8.2508501862375e-07
120,"PAK6",8.71635280957344e-07
121,"ENSG00000253477",9.17192052561717e-07
122,"RIIAD1",9.26196981778312e-07
123,"ST6GALNAC6",9.45204790663195e-07
124,"MOS",9.45861749476384e-07
125,"RIMS4",1.00917459053087e-06
126,"ENSG00000285966",1.02839834835726e-06
127,"UCK2",1.03424581095087e-06
128,"SYT15",1.03654607180802e-06
129,"TMEM8B",1.06986008175734e-06
130,"ASPHD1",1.10300831729623e-06
131,"IL12RB2",1.1038025612602e-06
132,"LRRC38",1.10484369510954e-06
133,"DPF1",1.11172383820846e-06
134,"ENSG00000267372",1.13941016032994e-06
135,"ENSG00000228400",1.1449060299726e-06
136,"ENSG00000229588",1.15202864569099e-06
137,"SATL1",1.1588506694261e-06
138,"TSPAN16",1.17384523996742e-06
139,"SIAH3",1.17434525054644e-06
140,"PLPPR3",1.17721784637392e-06
141,"ENSG00000230104",1.20631403332945e-06
142,"DOC2B",1.21390837439501e-06
143,"ENSG00000287787",1.2164600175347e-06
144,"DEAF1",1.22383174686256e-06
145,"SH3RF1",1.2252564744087e-06
146,"MARK4",1.2792778969725e-06
147,"AGAP2",1.30545512635011e-06
148,"LINC02600",1.31175090210721e-06
149,"F12",1.313641279977e-06
150,"RAB15",1.33193446842977e-06
151,"NETO2",1.33676964894058e-06
152,"MTUS2",1.34752765163296e-06
153,"C17orf107",1.34894130285033e-06
154,"RFX6",1.35067346057552e-06
155,"STUM",1.36294576183707e-06
156,"FBXL19",1.37191046757279e-06
157,"NDST3",1.37327709310131e-06
158,"SOBP",1.38309997772067e-06
159,"HS6ST3",1.39198698352385e-06
160,"LINC01807",1.42133502995455e-06
161,"CHRNB2",1.43256711446658e-06
162,"AKAP5",1.43280573766666e-06
163,"TMEM191A",1.44609308335488e-06
164,"TUNAR",1.49246905854646e-06
165,"PRMT8",1.51295251533618e-06
166,"ENSG00000288062",1.54982002903074e-06
167,"LINC01547",1.57231475110497e-06
168,"LINC00634",1.59230390860528e-06
169,"DLGAP4",1.60119811436141e-06
170,"SEMA6B",1.60370868762938e-06
171,"DLG2",1.60434206501133e-06
172,"STX1A",1.62754052676483e-06
173,"SPTBN2",1.63748017392349e-06
174,"GLT8D2",1.64797963620436e-06
175,"DACT3",1.66376094583991e-06
176,"AUNIP",1.67681083495319e-06
177,"LIN28B-AS1",1.70003126959794e-06
178,"MAFG-DT",1.79061230643068e-06
179,"NEK2",1.83630727810273e-06
180,"ENSG00000286496",1.85022272387155e-06
181,"B4GALT2",1.85369948564373e-06
182,"MS4A7",1.90305076834068e-06
183,"DUSP8",1.95134909390818e-06
184,"PCP4L1",1.99671154222464e-06
185,"BHLHA9",1.99755085936279e-06
186,"LRRN4",2.00229991256215e-06
187,"ENSG00000232825",2.01000372809201e-06
188,"ZNRF4",2.01224149402221e-06
