"Rank","Gene","p_value"
1,"CLEC5A",4.40496254719834e-10
2,"VENTX",5.14645078465034e-08
3,"KRT8P10",7.00115449130253e-08
4,"ENSG00000286285",7.10112988467363e-08
5,"OR10AC1",1.07874403640081e-07
6,"LINC01721",1.37085626787482e-07
7,"ENSG00000289483",1.85563872149185e-07
8,"NREP",2.56065624817672e-07
9,"ENSG00000205037",3.94104968373805e-07
10,"ENSG00000285454",4.95583819995571e-07
11,"ENSG00000285586",5.78212488047489e-07
12,"ENSG00000251511",5.86719087710401e-07
13,"HSD3BP5",6.20072757493449e-07
14,"BICDL2",7.20752752686803e-07
15,"ENSG00000241439",8.57744322259318e-07
16,"ABCB10P1",9.26698943173373e-07
17,"ENSG00000287068",1.09813071569165e-06
18,"ENSG00000279145",1.21565536521172e-06
19,"RGS7BP",1.22306948914015e-06
20,"APOL5",1.25859594632519e-06
21,"HOTAIRM1",1.38277151869367e-06
22,"ADCY1",1.46021095639426e-06
23,"ENSG00000239407",1.473978864783e-06
24,"ADORA3",1.51537335874382e-06
25,"SEL1L3",1.5234102655238e-06
26,"ENSG00000224613",1.54199515282494e-06
27,"KCNA2",1.76527996481466e-06
28,"KAZALD1",1.76619474136099e-06
29,"ENSG00000287475",1.80362377414002e-06
30,"SOWAHB",1.83143971640526e-06
31,"TCHH",1.93281042758564e-06
32,"GPR63",1.99762068122102e-06
33,"ZNF385B",2.00081283999998e-06
34,"ENSG00000285543",2.52390784113776e-06
35,"LINC01684",2.66412035491358e-06
36,"PRSS16",2.85218413267902e-06
37,"ENSG00000249453",2.88639778674057e-06
38,"ENSG00000287968",3.24281228676267e-06
39,"TAFA2",3.28714337525257e-06
40,"ENSG00000266573",3.29163596397606e-06
41,"ENSG00000286084",3.48147542846981e-06
42,"C3orf80",3.54252380369223e-06
43,"LINC01289",3.58736069007529e-06
44,"DEPDC4",4.4017349241145e-06
45,"SLC9A2",4.50055030965751e-06
46,"GRM5",4.63369897710955e-06
47,"RGS1",4.68196990234156e-06
48,"NELL1",4.85524380062102e-06
49,"TEK",5.4538880801551e-06
50,"ENSG00000285969",5.67296076551693e-06
51,"LINC01632",5.97859441608976e-06
52,"LINC02296",6.4516489599135e-06
53,"ENSG00000237720",6.71693265683228e-06
54,"VSTM2A-OT1",7.1324196144734e-06
55,"P2RX1",7.37015013368756e-06
56,"ENSG00000235852",7.72271800551166e-06
57,"ENSG00000236451",8.55335811184873e-06
58,"PCDHA8",8.62147784750855e-06
59,"INKA2-AS1",8.82774485674113e-06
60,"ENSG00000251621",8.99200091523183e-06
61,"LIPI",9.11208478686416e-06
62,"OAZ1P1",9.32407137154155e-06
63,"GPR141",9.67492960033335e-06
64,"H1-2",1.00318344529254e-05
65,"ENSG00000289586",1.0092682059924e-05
66,"GNG13",1.081341691112e-05
67,"JCAD",1.12708499811552e-05
68,"ENSG00000223930",1.14822001456965e-05
69,"ENSG00000228400",1.14914049133221e-05
70,"KCNS1",1.16678754024593e-05
71,"SOGA3",1.1700370752251e-05
72,"ESRRG",1.18686555295172e-05
73,"LSP1",1.27773252515607e-05
74,"HS6ST1P1",1.34079708521536e-05
75,"CD300LG",1.44692918415804e-05
76,"LRRC75A",1.47279758986239e-05
77,"HAPLN1",1.49490923003505e-05
78,"HECW1",1.54385762856735e-05
79,"ADGRF5P1",1.54778844212889e-05
80,"HLA-DQA1",1.58903995220061e-05
81,"ENSG00000253894",1.61586790454284e-05
82,"C11orf87",1.64490642397636e-05
83,"STK25P1",1.66657428172037e-05
84,"BEND6",1.67276654977644e-05
85,"ENSG00000269883",1.70665468184161e-05
86,"SEMA5B",1.71614166204573e-05
87,"ENSG00000262769",1.72192564237434e-05
88,"ENSG00000286472",1.80622353799442e-05
89,"GPR82",1.81366828265977e-05
90,"C3orf49",1.82841017302801e-05
91,"GABRB2",1.82968360479669e-05
92,"N4BP3",1.95105032290155e-05
93,"LINC01521",1.95960620418814e-05
94,"H4-16",1.98111543482551e-05
95,"PLCD4",2.00939307447719e-05
96,"ENSG00000276605",2.04701153341601e-05
97,"ENSG00000232063",2.11641583161478e-05
98,"GPR22",2.142522618581e-05
99,"GHET1",2.2592034186568e-05
100,"PANK1",2.29067440532807e-05
101,"PTGER4P2-CDK2AP2P2",2.44456987992173e-05
102,"CICP13",2.48058571366238e-05
103,"CDH13",2.58968016570189e-05
104,"ENSG00000224481",2.64953877389415e-05
105,"IL2RG",2.74454802961283e-05
106,"CYP1A1",2.81121470170391e-05
107,"BHLHA9",2.82854933321361e-05
108,"ENSG00000279028",2.85622497203457e-05
109,"ZSCAN23",2.88759370273805e-05
110,"ENSG00000287176",2.89235367356418e-05
111,"SP6",2.94989731804389e-05
112,"HTR3B",2.99637679559727e-05
113,"FGF9",3.04683089442292e-05
114,"SLC16A14",3.06186482452298e-05
115,"ENSG00000287743",3.09463320765347e-05
116,"CAMK4",3.1469249718046e-05
117,"SERF1B",3.19891191719376e-05
118,"ENSG00000279630",3.22509344808015e-05
119,"ENSG00000250516",3.23282637293369e-05
120,"ENSG00000265206",3.23584280389531e-05
121,"SSTR4",3.30310781488923e-05
122,"RPL37P12",3.32086412130276e-05
123,"OPN3",3.43003894808567e-05
124,"PCDHA5",3.52242129534965e-05
