"Rank","Gene","p_value"
1,"HAPLN1",1.1484042474472e-12
2,"MT1G",3.40446079099028e-10
3,"MT1H",1.21382307846898e-09
4,"WNT7B",3.17379762864377e-09
5,"LINP1",3.55863332002145e-09
6,"ENSG00000259869",4.06368354553965e-09
7,"PLD5",5.48801140982487e-09
8,"NRTN",6.04283500978242e-09
9,"UOX",4.46514025115683e-08
10,"CELF2-DT",5.28734347288036e-08
11,"ENSG00000286746",5.39876677389365e-08
12,"HS3ST4",6.32556810764841e-08
13,"ENSG00000285095",6.51927619873996e-08
14,"KRT19P3",7.30366140041816e-08
15,"ENSG00000287438",1.1082434935808e-07
16,"GRM3",1.60703177381118e-07
17,"VENTX",2.08085558275289e-07
18,"KRT18P56",2.2608478124365e-07
19,"ENSG00000272825",3.1625991276153e-07
20,"PLSCR5",3.60703059406142e-07
21,"U8",3.93203008901948e-07
22,"LINC00892",4.49280048165782e-07
23,"ENSG00000285448",4.62795879404583e-07
24,"ENSG00000236858",6.3542751929761e-07
25,"LINC00375",7.57710205729964e-07
26,"IL1RAPL2",8.99378332596152e-07
27,"RIPPLY3",1.03993122631322e-06
28,"ENSG00000234021",1.08692674158221e-06
29,"LINC02133",1.09981338056337e-06
30,"ENSG00000261722",1.13751811947305e-06
31,"LINC01694",1.21107004866925e-06
32,"ENSG00000262267",1.36051828522296e-06
33,"THPO",1.3616359105707e-06
34,"CSPG5",1.42875839269165e-06
35,"NREP",1.50990919294542e-06
36,"ENSG00000287028",1.621931579849e-06
37,"LINC01487",1.70458592730337e-06
38,"PPP1R26",1.847160052806e-06
39,"ST6GAL2",1.84812893377059e-06
40,"PLA2G4F",1.86285397189606e-06
41,"MIR6893",1.87654678425068e-06
42,"ENSG00000241439",1.92366899776719e-06
43,"MMD2",2.25118145525446e-06
44,"AR",2.41076793500562e-06
45,"ENSG00000288539",2.65090028794109e-06
46,"SATB1-AS1",2.6695592038412e-06
47,"PTPRT",2.66963565459004e-06
48,"DIO2",2.89574240448445e-06
49,"GMPR",3.02723513282857e-06
50,"ENSG00000285918",3.0941620421926e-06
51,"ZNF804B",3.29454678907679e-06
52,"ENSG00000227785",3.60760993314265e-06
53,"ENSG00000274021",4.09380951202077e-06
54,"EDN3",5.05624870196086e-06
55,"PDGFRA",5.21876243771969e-06
56,"KCNK2",5.53787807944478e-06
57,"PRPF39-DT",5.70351058793041e-06
58,"ENSG00000226199",5.92520577585391e-06
59,"LINC00943",5.98065752179984e-06
60,"ADCY1",6.00967330757828e-06
61,"ENSG00000251602",6.35717168703657e-06
62,"RXRG",6.83161141170972e-06
63,"FBLN2",7.22051690349079e-06
64,"SLC35D3",7.79387070165951e-06
65,"ENSG00000261573",8.34490223229261e-06
66,"ENSG00000271922",8.82205742169326e-06
67,"KMO",8.98053201391435e-06
68,"ENSG00000267222",9.19342902956147e-06
69,"ENSG00000285643",9.24581965942885e-06
70,"ENSG00000286439",9.96046962263962e-06
71,"ENSG00000234115",1.02708878496719e-05
72,"ZNF93",1.04198923871443e-05
73,"ENSG00000228877",1.05435697545075e-05
74,"P2RX1",1.08201454651928e-05
75,"ENSG00000286069",1.10527264869195e-05
76,"TMEM51",1.10819516174577e-05
77,"ZNF806",1.11161816559018e-05
78,"ENSG00000276538",1.17219558143181e-05
79,"ENSG00000259737",1.17265499582767e-05
80,"OTUB2",1.18113285317312e-05
81,"ENSG00000287844",1.20842038704174e-05
82,"ENSG00000286953",1.22450155621804e-05
83,"ENSG00000254558",1.22854585785766e-05
84,"RPL34-DT",1.22961953082461e-05
85,"ENSG00000289414",1.26410821343197e-05
86,"LINC-ROR",1.28688285819549e-05
87,"BCHE",1.33513628855075e-05
