"Rank","Gene","p_value"
1,"GFAP",5.3661112833627e-12
2,"AQP1",1.6172133306716e-11
3,"ENSG00000225537",1.51582669160816e-10
4,"NUPR1",2.05748997834674e-10
5,"C1orf87",2.89433512972945e-09
6,"LINC02133",6.82739448041513e-09
7,"APLNR",1.30764850008325e-08
8,"ENSG00000228408",1.53785071623861e-08
9,"ENTPD2",1.94943198132646e-08
10,"ENSG00000228999",2.14985963242923e-08
11,"FAM181A",2.73896373838168e-08
12,"SEC22B3P",5.06063752497178e-08
13,"LINC01470",1.69865820950805e-07
14,"ENSG00000285095",2.36896415307106e-07
15,"DLGAP1-AS5",3.82846701378135e-07
16,"C10orf105",4.78191517363023e-07
17,"LINP1",6.39695114955544e-07
18,"PHEX",7.0896587248312e-07
19,"PLAAT4",7.17261203960991e-07
20,"PLS1-AS1",8.45233226170685e-07
21,"ITGB4",8.64946210731214e-07
22,"C4B",8.8933974106425e-07
23,"AEBP1",1.595093813499e-06
24,"C4A",1.64306597289473e-06
25,"ENSG00000277351",1.76275496305727e-06
26,"CHI3L2",2.14648035060607e-06
27,"ENSG00000288218",2.48853075083261e-06
28,"SERPINA3",2.78775407708188e-06
29,"ENSG00000241439",2.95017417535027e-06
30,"PLAAT5",2.98209179996933e-06
31,"MS4A6A",3.35852999575758e-06
32,"ENSG00000235099",5.42827171947197e-06
33,"UTS2B",5.74154203047298e-06
34,"MT1G",6.56040487246568e-06
35,"TNFRSF17",7.06938793023522e-06
36,"RASL12",8.34998291434359e-06
37,"OTOGL",8.46968273657138e-06
38,"ENSG00000253455",1.06417756729716e-05
39,"COL9A1",1.11206718661894e-05
40,"FBN3",1.14884690305472e-05
41,"RNA5SP328",1.29404362486733e-05
42,"PLIN1",1.43842453088044e-05
43,"HAPLN1",1.5126428679539e-05
44,"ENSG00000260387",1.57881750921457e-05
45,"VSIG4",1.57903423694933e-05
46,"SNORD19",1.62643004857206e-05
47,"GRP",1.76339102797465e-05
48,"ENSG00000267714",2.42995252337674e-05
49,"LINC02134",2.57988358455825e-05
50,"ENSG00000248373",2.61982950821772e-05
51,"NRTN",2.71217864842038e-05
52,"SERPINA5",2.9845398847564e-05
53,"PODNL1",3.08522359269156e-05
54,"ENSG00000250969",3.14333352757948e-05
55,"LINC01768",3.30141163780027e-05
56,"ENSG00000179066",3.43632322180381e-05
57,"GLP1R",3.711430030223e-05
58,"ENSG00000260664",3.7327390214461e-05
59,"LINC02257",3.8490361621194e-05
60,"ENSG00000287065",4.09308733628532e-05
61,"ITPKB",4.1291065382402e-05
62,"IL2RG",4.23377633595385e-05
63,"ENSG00000229191",4.30285398278769e-05
64,"CDH23-AS1",4.46427422902189e-05
65,"LGI4",4.53857769216079e-05
66,"CD2",4.85460557646229e-05
67,"LINC01819",5.08985635733528e-05
68,"GZMA",5.1700397033981e-05
69,"PRSS12",5.21620137194302e-05
70,"TMIE",5.44961477457619e-05
71,"MT1H",5.49109120265632e-05
72,"RPS16P9",5.65788370227413e-05
73,"DIO2",6.13186512247278e-05
74,"MT1F",6.45911270808794e-05
75,"CHI3L1",6.73385589233202e-05
76,"ENSG00000264829",7.01321888610346e-05
77,"WDR86",7.03355360193387e-05
78,"PSTPIP1",7.31442222300264e-05
79,"ANO7",7.3755815631548e-05
80,"GYG2",7.41679684919462e-05
81,"ENSG00000253535",7.53827791606844e-05
82,"ENSG00000278932",7.77366819000157e-05
83,"ENSG00000286320",8.32043480995019e-05
84,"COL4A4",8.71942299976192e-05
85,"ENSG00000281655",9.0865411191813e-05
86,"CD163",9.27337559902578e-05
87,"ENSG00000253642",9.8857321139566e-05
88,"ACSL6-AS1",9.90674989925671e-05
89,"CCL5",0.000100206624631509
90,"EDA2R",0.000100927110681235
91,"WNT7B",0.000102260229229261
92,"NPHS2",0.000105483627710817
93,"FAM181A-AS1",0.000105843885541698
94,"OTOS",0.000106853951574494
95,"ENSG00000225191",0.00010715276248528
96,"RYR3-DT",0.00011091305808939
97,"MYL3",0.00011140156454332
98,"ENSG00000286525",0.000112815647896023
99,"TTC39C-AS1",0.000114664341631433
100,"CCN5",0.000116130213607759
101,"GDF11",0.000117948208437689
102,"ENSG00000223536",0.00011875851963991
103,"GZMH",0.000120230465204251
104,"ENSG00000287991",0.000123622255014431
105,"FAM107A",0.000123803655400029
106,"LINC01354",0.000128357923253491
107,"ENSG00000230621",0.000130298503401504
108,"C5orf49",0.000131461728917459
109,"OTUB2",0.000131602736031332
110,"MIR8060",0.000131803815727525
111,"ENSG00000235996",0.000134957847626754
