"Rank","Gene","p_value"
1,"ENSG00000285079",7.8816999445739e-07
2,"RNA5SP515",2.11390217463e-06
3,"RNU6-1338P",6.17929945046567e-06
4,"SGCZ",9.65548922818187e-06
5,"RN7SKP49",1.03801591720269e-05
6,"FBN3",1.52218944874364e-05
7,"ZNF385D-AS1",2.29468496255636e-05
8,"ENSG00000286612",2.4467676902563e-05
9,"ENSG00000287950",2.58143000643604e-05
10,"VENTXP4",3.08423491102959e-05
11,"ENSG00000257989",3.22654438000512e-05
12,"LYZL4",4.4101794301628e-05
13,"ENSG00000234639",4.54689322565376e-05
14,"ENSG00000234441",4.72110444410713e-05
15,"ENSG00000223410",5.16237022093319e-05
16,"ENSG00000251250",5.83620862397224e-05
17,"C16orf74",6.7574700171884e-05
18,"ENSG00000287246",6.95989549583511e-05
19,"RNU6-6P",8.10281054081669e-05
20,"ENSG00000243507",8.52622439527652e-05
21,"SEMA5B",9.68047858844566e-05
22,"ENSG00000271702",9.97442388735458e-05
23,"DEFB109A",0.000115607600646695
24,"KIF18B-DT",0.000120094821986792
25,"ENSG00000266561",0.000122015989878765
26,"ENSG00000254859",0.000139044001781349
27,"ENSG00000277024",0.000140326851701662
28,"ST6GAL2",0.000144735461569228
29,"RN7SL797P",0.000156321416487351
30,"IGHJ2P",0.000156321416487353
31,"ENSG00000258885",0.000156321416487354
32,"RNU6-1152P",0.000156321416487357
33,"RN7SKP15",0.000156321416487361
34,"DEFB122",0.000156321416487363
35,"ENSG00000224532",0.000156321416487363
36,"TSPY12P",0.000156321416487363
37,"ENSG00000254734",0.000156321416487363
38,"MIR483",0.000156321416487363
39,"CYCSP20",0.000156321416487364
40,"CYP4A26P",0.000156321416487364
41,"RNA5SP502",0.000156321416487364
42,"MIR6769B",0.000156321416487365
43,"RNA5SP428",0.000156321416487365
44,"ENSG00000232296",0.000156321416487365
45,"ENSG00000278218",0.000156321416487365
46,"RNA5SP142",0.000156321416487365
47,"IGHD4-17",0.000156321416487366
48,"RNU6-704P",0.000156321416487366
49,"ENSG00000234675",0.000156321416487366
50,"ENSG00000277426",0.000156321416487366
51,"ENSG00000232261",0.000156321416487366
52,"ENSG00000249761",0.00015632141648737
53,"ENSG00000249189",0.000156321416487372
54,"MIR4746",0.000156321416487372
55,"SNORD114-22",0.000156321416487401
56,"TRIM67",0.000156428764181362
57,"RNA5SP60",0.000161127503934196
58,"ENSG00000288330",0.000161847062907868
59,"ENSG00000250604",0.000165343439110524
60,"KRTAP9-10P",0.00017149637157323
61,"CSTA",0.000174063355301444
62,"ENSG00000288921",0.000177486142942013
63,"ENSG00000253182",0.0001803522763389
64,"BTBD6P1",0.000182401236322004
65,"LINC02668",0.000182711333389975
66,"RNU6-670P",0.000187299322493917
67,"LINC01259",0.000194933171457507
68,"NT5C1A",0.000205362017779167
69,"RN7SL341P",0.000230855229558948
70,"ENSG00000201245",0.000238023576830769
71,"ENSG00000272632",0.00024196473127035
72,"RNU6-821P",0.000254264240166355
73,"TMEM52",0.000260833717903198
74,"PTN",0.00026526853913117
75,"ENSG00000239498",0.000296475448497163
76,"ENSG00000232675",0.000339926398524573
77,"RNU6-210P",0.000340975795186958
78,"RN7SKP65",0.00034097579518697
79,"IGKV3-34",0.000340975795186974
80,"PALLD-AS1",0.000340975795186978
81,"LINC02791",0.000340975795186982
82,"LINC02403",0.000340975795186985
83,"ENSG00000214254",0.000340975795186988
84,"RNA5SP234",0.000340975795186988
85,"PPIAP88",0.000340975795186989
86,"ENSG00000223615",0.000340975795186992
87,"IGKV2OR2-1",0.000340975795186992
88,"MTND6P8",0.000340975795186995
89,"RPS20P23",0.000340975795186995
90,"ENSG00000225898",0.000340975795187001
91,"ENSG00000253840",0.000340975795187002
92,"ENSG00000267273",0.000340975795187002
93,"ENSG00000251516",0.000340975795187007
94,"MIR6070",0.000340975795187009
95,"RNU6-938P",0.000340975795187009
96,"NOTCH2P1",0.00034097579518701
97,"RNU7-107P",0.00034097579518701
98,"ENSG00000230920",0.000340975795187016
99,"PAX7",0.000361926430801876
100,"RGSL1",0.000365916284394114
101,"ENSG00000286364",0.00037863272044527
102,"RNA5SP246",0.000380278978653954
103,"LINC01447",0.000386349118523668
104,"FAM9C",0.000399632650988821
105,"OR10G5P",0.000400228839478505
106,"ENSG00000256975",0.000409724192968711
107,"RNU6-1138P",0.000429666539260216
108,"BCHE",0.000438107230825577
109,"ENSG00000270440",0.00045094790704565
110,"ENSG00000248911",0.000456301874212382
111,"SLITRK6",0.000462927120240246
112,"ENSG00000264634",0.000466496271950129
113,"SLC17A8",0.000467606622157677
114,"KRTAP4-16",0.000472974202556935
115,"ENSG00000227496",0.000480072259182138
116,"ENSG00000227705",0.000490826874898541
117,"ENSG00000287292",0.000499870933863811
118,"GRPEL2P3",0.000503742834391678
119,"ENSG00000249100",0.000510761936091928
120,"ENSG00000235185",0.000516883360232243
121,"MS4A14",0.000526325598835573
122,"LINC02864",0.000563840848760405
123,"COL11A1",0.000564038602719779
124,"ENSG00000259545",0.000567972660883513
125,"ENSG00000279717",0.000574507403088111
126,"SEPHS1P4",0.000576709966763298
127,"HLFP1",0.000587449002877593
128,"ENSG00000277206",0.000587912385481761
129,"PCOLCE2",0.0006044816728293
130,"MS4A4E",0.000615205035299087
131,"ENSG00000223859",0.000617750622087209
132,"MIR4716",0.000630651470642565
133,"ATP6V0A4",0.000632389805128435
134,"ENSG00000271495",0.000701039375260249
135,"MIR6719",0.000713757171170025
136,"ENSG00000268390",0.000735923610510553
137,"ENSG00000279697",0.000751670952763978
138,"CSPG5",0.000789698400835914
139,"RNA5SP450",0.000820093726530895
140,"RCN1P1",0.00082101082716071
141,"ENSG00000273341",0.00083947691120624
142,"ENSG00000277618",0.000857124448643962
143,"ENSG00000234448",0.000874294011286105
144,"NXF3",0.000893049843691803
145,"ENSG00000258631",0.000896288275812476
146,"CLEC4E",0.000908989437343451
147,"KPNA2P1",0.00091180488827826
148,"AIM2",0.000925444145058703
149,"MIR6767",0.000928985727247376
150,"KIF18B",0.000932199141262987
151,"ENSG00000237716",0.000934057724765344
152,"ENSG00000286528",0.000937097382946363
153,"ENSG00000261320",0.00094854836702968
154,"ENSG00000226939",0.000951144329361005
155,"H3P20",0.000962156496655381
156,"ENSG00000287893",0.00102997604644553
157,"LCE1A",0.00103535571785451
158,"SHF",0.00103584290350458
159,"PRKCIP1",0.00104125437097631
160,"IDI1P2",0.00105458214016437
161,"ENSG00000188078",0.00105840509076183
162,"ENSG00000264177",0.00105845532746457
163,"KLK9",0.00106150519274343
164,"H3P47",0.00107416999290414
165,"VENTX",0.00109871141504432
166,"PCDH15",0.00110354656244422
167,"ENSG00000250079",0.00111196748877825
168,"LINC01484",0.00113418034063202
169,"LINC01684",0.00113773675027362
170,"ENSG00000236355",0.00114754202639903
171,"GPR17",0.0011701765812217
172,"ENSG00000227301",0.00119536018567721
173,"ENSG00000253484",0.00123014938957277
174,"LOX",0.00123231730538543
175,"LINC02320",0.00124434270060927
176,"ENSG00000264880",0.00124551334860714
177,"ENSG00000236770",0.00124779588960834
178,"ENSG00000287783",0.00125364802295492
179,"ENSG00000233668",0.00125733654286066
180,"RNU1-139P",0.0012751534075766
181,"UST-AS1",0.00129482597941883
182,"ENSG00000289408",0.00131966524307087
183,"ENSG00000287554",0.00132295938055339
184,"RPL21P112",0.00132872388590698
185,"ENSG00000275103",0.0013608591462733
186,"OR4G2P",0.00136516175993122
187,"INAVA",0.001371754192456
188,"ENSG00000266521",0.00137371341004859
189,"RN7SL48P",0.00138083406425672
190,"ENSG00000283157",0.00138922611174717
191,"TRPC2",0.00138941215184518
192,"COX6B1P4",0.00139605943188412
193,"ENSG00000286519",0.00142143562728623
194,"PLPPR1",0.00142590302772397
195,"CLEC5A",0.00144219019588889
196,"TAF11L11",0.00144350430749216
197,"ENSG00000279081",0.00144926023761075
198,"SHD",0.00146337982751133
199,"ENSG00000234918",0.00146717279973206
200,"ENSG00000235181",0.00146949586064069
201,"CIB3",0.00147079419562206
202,"LINC02432",0.00149324553312602
203,"LINC01351",0.00150977078689677
204,"ENSG00000278254",0.00151431987730707
205,"ENSG00000254060",0.00151464930432759
206,"ENSG00000183308",0.00154863925901974
207,"AQP12B",0.00155276231332055
208,"ENSG00000289541",0.00157436115682766
209,"IMMTP1",0.00157469000877485
210,"MGAT2P1",0.00158889520494159
211,"LINC01154",0.00161573541121467
212,"LINC01764",0.00162907756563824
213,"LINC00620",0.00163029533151331
214,"ENSG00000283451",0.00164358319170024
215,"LINC02331",0.00171162525332582
216,"ENSG00000287084",0.00171638125609062
217,"MRPL22P1",0.00173125247023182
218,"COL20A1",0.00174711636285224
219,"ENSG00000270619",0.00175482366917881
220,"ENSG00000277747",0.00175616974722151
221,"ROPN1",0.0017675098269552
222,"ENSG00000233887",0.0017747664654977
223,"ALOX15B",0.00179493636018608
224,"ENSG00000228768",0.0017957816911572
225,"CDV3P1",0.00182382023553456
226,"MAGI2-AS1",0.00187801675866174
227,"CSN1S1",0.00192084201915835
228,"ATP13A5-AS1",0.00192177237866076
229,"APOC1",0.0019319558262731
230,"ENSG00000248613",0.00197077836513016
231,"PHBP1",0.00198287316029574
232,"VN1R53P",0.00200664544226688
233,"RPL30P1",0.00202129291174484
234,"ENSG00000267262",0.00203189698076064
235,"ENSG00000253422",0.00204820218550808
236,"SLC22A9",0.00205271231743013
237,"ENSG00000224715",0.00206945233903051
238,"PRSS21",0.00209676321407074
239,"ENSG00000280288",0.00210690359341072
240,"ENSG00000242660",0.00210722208948705
241,"ENSG00000258412",0.00212297584082476
242,"ENSG00000260577",0.0021463057668196
243,"RNU6-694P",0.00215581857820356
244,"BCAN",0.00216369267919166
245,"XRCC6P3",0.0021685346536354
246,"TAS2R7",0.00216923939266204
247,"RCCD1-AS1",0.002200935069164
248,"LRATD1",0.00221920855440859
249,"ENSG00000248978",0.00222066962398891
250,"ENSG00000231424",0.00223834735177095
251,"LINC02285",0.00225778434321282
252,"FEN1P1",0.0022581155379494
253,"PDGFRA",0.00226177117863076
254,"RNU6-732P",0.00228272601674371
255,"LINC00571",0.00231305012061926
256,"PITX3",0.00231766016297759
257,"HBQ1",0.00234606996404619
258,"ORC1P1",0.00236926053794749
259,"HNRNPCL4",0.0023748700927462
260,"LINC01850",0.00238303119009924
261,"ENSG00000285540",0.00242727882169702
262,"ENSG00000196656",0.00243440142812409
263,"LNCTAM34A",0.00246834808836251
264,"SOX30",0.00248479024420145
265,"CDKN2A",0.00251870629248906
266,"CT47B1",0.00256930038376587
267,"IGFBPL1",0.00260092413040404
268,"RN7SL81P",0.00260202479965828
269,"RSL24D1P5",0.0026092483493664
270,"RNU1-61P",0.00261603854030305
271,"SOX3",0.0027015542083162
272,"ENSG00000260651",0.00271783653248811
273,"ENSG00000231815",0.0027412166011476
274,"MTCL1P1",0.00278365728101424
275,"ALDH7A1P3",0.00278628942969794
276,"ENSG00000253728",0.00280414552014479
277,"ENSG00000233517",0.00280448554942853
278,"LINC02038",0.00281631024503957
279,"MEIS3",0.00282324557146654
280,"ENSG00000202434",0.00284010117121822
281,"ENSG00000239397",0.00285375434488318
282,"GNGT1",0.00292632342779003
283,"LINC01324",0.00301762819715084
284,"HMGB1P46",0.00301909268260834
285,"ALPK3",0.00302549027707937
286,"ENSG00000267243",0.00303082113654974
287,"AZGP1",0.00303109273492617
