"Rank","Gene","p_value"
1,"ENSG00000249738",1.8899516837592e-08
2,"CASC15",3.65646936608984e-08
3,"CYP24A1",4.44580181351069e-08
4,"PTPRT",8.41999859686573e-08
5,"MIR6746",9.02178619086833e-08
6,"BMPER",9.02819788890224e-08
7,"LINC00642",1.73415074497771e-07
8,"SAMD5",1.76936747349986e-07
9,"LINC00477",1.84949032754921e-07
10,"PCDHGC4",2.03870157744668e-07
11,"ENSG00000232767",2.5035958021101e-07
12,"RIT2",3.08094619345138e-07
13,"KCNJ3",3.55130958514733e-07
14,"UOX",4.42125230655969e-07
15,"CNTN5",4.51584351850763e-07
16,"NELL1",5.36291002668165e-07
17,"PAQR9-AS1",6.08099208669921e-07
18,"DBIL5P",6.31703970688243e-07
19,"GPC6",7.51389403868835e-07
20,"NREP",7.6222416201614e-07
21,"IGSF10",8.67779226260458e-07
22,"LINC02552",1.00746078419107e-06
23,"PANK1",1.01361923001974e-06
24,"SOWAHB",1.1169038684869e-06
25,"ENSG00000287950",1.15310781580574e-06
26,"RNA5SP139",1.20746844191651e-06
27,"RXFP3",1.23842724389499e-06
28,"MIMT1",1.31214705966006e-06
29,"PLCL2",1.43642061232731e-06
30,"ZNF521",1.44418606813995e-06
31,"SLC66A1L",1.44575839445883e-06
32,"MDGA2",1.53952262656684e-06
33,"FAM184B",1.54560860041774e-06
34,"NBAT1",1.61501148395991e-06
35,"GREM2",1.6488017248639e-06
36,"HCG11",1.75295020960193e-06
37,"LINC00996",1.7630311486438e-06
38,"PKLR",1.77188716735832e-06
39,"NLGN4X",1.95094560132713e-06
40,"RASSF10",1.97338292423221e-06
41,"ENSG00000223602",2.1543475542753e-06
42,"ENSG00000256943",2.18396685166471e-06
43,"TAFA2",2.24243500028954e-06
44,"SLC35G1",2.50561832080714e-06
45,"CAMTA2-AS1",2.55882791081306e-06
46,"ENSG00000287845",2.60677207326548e-06
47,"ENSG00000233508",2.64091867749734e-06
48,"ABHD17AP4",2.65906676138086e-06
49,"ENSG00000287798",2.70664439676606e-06
50,"UQCRBP3",2.78302860899783e-06
51,"RGS7BP",2.85316286311175e-06
52,"BEND6",3.08882888629362e-06
53,"D21S2088E",3.17333522752474e-06
54,"MAL2",3.22147426366857e-06
55,"ENSG00000286197",3.27582537937534e-06
56,"SHC3",3.2857336291706e-06
57,"ADAMTS19-AS1",3.34095511345146e-06
58,"RASGEF1C",3.34964732615851e-06
59,"ENSG00000270866",3.37407828318329e-06
60,"PRSS12",3.4015911376589e-06
61,"LINC02136",3.41223905031004e-06
62,"GUCY1A1",3.45128460725584e-06
63,"PAQR9",3.50357924419346e-06
64,"TCAF1P1",3.505358696817e-06
65,"EPHB1",3.80328005485111e-06
66,"CBLN4",3.8193386463972e-06
67,"ENSG00000260634",3.96573399284806e-06
68,"SCYGR2",4.1176498223038e-06
69,"CDRT15P9",4.12222818986516e-06
70,"MTHFD1P1",4.13780660074872e-06
71,"ENSG00000288548",4.22304570938959e-06
72,"CAMK4",4.27684303818448e-06
73,"ENSG00000258422",4.33720778681156e-06
74,"NBEAP2",4.45627316580323e-06
75,"LINC02500",4.88203017130975e-06
76,"ENSG00000248268",5.16412329867021e-06
77,"GJD2",5.20035654108242e-06
78,"LRRTM4",5.21951105605523e-06
79,"ENSG00000254040",5.30351369845076e-06
80,"CA10",5.42352828348074e-06
81,"XKR4",5.49346672497993e-06
82,"OPRL1",5.72700089931584e-06
83,"SLC17A7",5.80358457441815e-06
84,"IPCEF1",5.83657670439036e-06
85,"BICDL2",5.9254321878542e-06
86,"TAFA1",6.02167063764138e-06
87,"SOWAHCP5",6.10469603257224e-06
88,"KCNH7",6.11030517859753e-06
89,"NXPH3",6.44707333025451e-06
90,"NRXN1",6.49339856684257e-06
91,"CITED2",6.62112192591919e-06
92,"LINC01122",7.09254976971279e-06
93,"C10orf82",7.10338014696618e-06
94,"HBQ1",7.1660406798415e-06
95,"SLC17A6-DT",7.31276574083872e-06
96,"HAPLN1",7.44921411871739e-06
97,"CDH22",7.88073726625912e-06
98,"IGSF3",7.92908535816741e-06
99,"CDH13",8.22050608660405e-06
100,"LINC02368",8.30787103265781e-06
101,"CDK2AP2P2",8.34992311474889e-06
102,"ENSG00000248469",8.36230964378536e-06
103,"LINC00457",8.38370350044023e-06
104,"PLPPR5",8.47160628929236e-06
105,"STAC",8.48452858808988e-06
106,"ENSG00000248514",8.52002553621455e-06
107,"LNP1",8.5394831968869e-06
108,"DNM1P28",8.57966371321223e-06
109,"SPRN",8.70634049702422e-06
110,"CDH18",8.70651933381549e-06
111,"SOSTDC1",8.86993388889452e-06
112,"ENSG00000289414",9.04856360288896e-06
113,"GRM4",9.12596766985637e-06
114,"FGF14",9.15486062535097e-06
115,"ENSG00000286982",9.47107271058609e-06
116,"GRID2IP",9.63350011201849e-06
117,"ENSG00000254786",9.72783939482216e-06
118,"ENSG00000248482",9.73537459174763e-06
119,"RBFOX1",9.79613126993052e-06
120,"NETO1",9.95522923645715e-06
121,"ENSG00000286340",9.95774039417312e-06
122,"IGF1",1.000178841058e-05
123,"NRSN1",1.02819120734938e-05
124,"ENSG00000224016",1.03780836824868e-05
125,"FEV",1.0584602024134e-05
126,"MUC22",1.06082975596763e-05
127,"PRKCE",1.08372453410225e-05
128,"MIR133A1HG",1.09975903010451e-05
129,"C9orf129",1.11687352698695e-05
130,"NTNG1",1.12648006235227e-05
131,"ANKRD55",1.16282574749425e-05
132,"FEM1AP2",1.17046727925824e-05
133,"TRIM72",1.17339973787979e-05
134,"ENSG00000258520",1.18574687231344e-05
135,"B3GLCT",1.19229104662103e-05
136,"TRIM67",1.20359350147439e-05
137,"NXPH2",1.21960600103447e-05
138,"LINC00629",1.22231288894911e-05
139,"TRPC7",1.22949117966325e-05
140,"LRRC4",1.23185189630757e-05
141,"ENSG00000260464",1.23764119925339e-05
142,"FAM3C2P",1.23817577517858e-05
143,"GNG13",1.24315975994527e-05
144,"ENSG00000229422",1.26067296841459e-05
145,"ARHGEF5",1.2805136692409e-05
146,"NCALD",1.31650100676983e-05
147,"NDST3",1.32206541704724e-05
148,"NWD2",1.33669662584295e-05
149,"ENSG00000272115",1.3466202345256e-05
150,"KCNA2",1.36021725484423e-05
151,"DLGAP1",1.38191940737196e-05
152,"PRSS3",1.38305819690132e-05
153,"ADAMTS5",1.38685452460012e-05
154,"KCNAB3",1.39027543338923e-05
155,"CNTNAP5",1.39458178429512e-05
156,"FAM153B",1.39975027299476e-05
157,"NRIP3-DT",1.41679486625112e-05
158,"LEMD1",1.42848398588011e-05
159,"C2orf15",1.44837448349328e-05
160,"KCND2",1.45004529143267e-05
161,"ENSG00000258847",1.46897006333126e-05
162,"ENSG00000280177",1.46906349740393e-05
163,"ENSG00000286376",1.47618606725854e-05
164,"ENSG00000289586",1.48834571133871e-05
165,"ANKRD20A5P",1.50498545046631e-05
166,"GRM5",1.50903150500047e-05
167,"CRTAC1",1.51123034230632e-05
168,"ENSG00000280193",1.51981930245736e-05
169,"GRIA4",1.53317847548768e-05
170,"NT5C1A",1.55537537394944e-05
171,"SEL1L3",1.55695621931775e-05
172,"CASK",1.58427004262027e-05
173,"LINC02449",1.5903750423193e-05
174,"ENSG00000287900",1.61730853489536e-05
175,"GRM7",1.6188663296687e-05
176,"ENSG00000286300",1.63800719966078e-05
177,"DOC2B",1.65133122631242e-05
178,"MIR31HG",1.65260096046083e-05
179,"ADAM22",1.67216419411136e-05
180,"HOMER1",1.69672527505807e-05
181,"LINC01977",1.73561154793895e-05
