"Rank","Gene","p_value"
1,"HBB",1.16107208856919e-21
2,"HBA2",2.57137821948247e-21
3,"PYHIN1",3.63163763717062e-20
4,"HBA1",1.83339964212049e-18
5,"PEX5",3.5498013340793e-18
6,"SLC2A3",8.12470279877007e-18
7,"GDF15",7.38838374989027e-17
8,"APMAP",1.69192642407068e-15
9,"SPRY1",1.94665005632434e-15
10,"PPP1R15A",2.54028571292379e-15
11,"SLC25A23",3.23217518902596e-15
12,"CYB561D1",3.61018839391931e-15
13,"MIEF1",3.88397754985321e-15
14,"NEDD9",4.9497729891694e-15
15,"DLL4",4.98150854106855e-15
16,"TMEM164",6.61455552501949e-15
17,"MTHFD2P1",7.2614663305485e-15
18,"KLF7-IT1",8.67586444568804e-15
19,"MAFF",9.18396029070222e-15
20,"CPT2",2.00385394921476e-14
21,"RHOQ-AS1",2.58908037864869e-14
22,"STAT5A",2.64990160159205e-14
23,"FGFRL1",2.97382589169311e-14
24,"RNF122",3.30732717998385e-14
25,"PTPRF",3.88718962727458e-14
26,"ZNF518B",4.05022827925555e-14
27,"ENSG00000274204",4.12158271020048e-14
28,"ZFP36",4.31672310722031e-14
29,"SHMT1",6.72308907468443e-14
30,"ENSG00000270640",7.17442698783451e-14
31,"PPP1R1B",9.56182753716978e-14
32,"ITPRIP",1.18821841997432e-13
33,"ATF3",1.23384267662811e-13
34,"VAPB",1.2879184334639e-13
35,"FMO3",1.34851764142511e-13
36,"AGPAT3",1.39567135467107e-13
37,"ANKEF1",1.62669682882095e-13
38,"ENSG00000273149",1.93074346005085e-13
39,"CCN1",2.31884351358932e-13
40,"KCNIP3",2.74677955775346e-13
41,"TFPI2",3.09497826430607e-13
42,"ATP9A",3.10951872831891e-13
43,"NKAPL",3.61615187540934e-13
44,"TBC1D16",3.79691889278108e-13
45,"SLC25A3",3.88410986621581e-13
46,"PSKH1",4.10382606493376e-13
47,"LINC01963",4.71840338955449e-13
48,"SLC25A10",4.78228436062028e-13
49,"JUN",5.17711900750987e-13
50,"JAGN1",5.57770931326484e-13
51,"APCDD1",5.62293950355535e-13
52,"CDKN1A",6.24889721652707e-13
53,"TST",6.46985895013838e-13
54,"ALAS2",7.31669517805647e-13
55,"CLEC2B",7.42741228567463e-13
56,"TMEM120A",9.50019853519318e-13
57,"ZBED3",1.02965989882565e-12
58,"CLDN2",1.05712516220108e-12
59,"DUSP1",1.06227198680253e-12
60,"MPST",1.07020373207878e-12
61,"PXMP2",1.07527928877323e-12
62,"ENSG00000267082",1.29866816775823e-12
63,"HPS6",1.47784556175389e-12
64,"TEX261",1.5217524863127e-12
65,"ENSG00000237070",1.54352576812533e-12
66,"MRPL46",1.76035943153054e-12
67,"AACS",1.95213663855523e-12
68,"FAM234A",1.95760608150073e-12
69,"ORMDL3",2.63336921168187e-12
70,"STC1",2.71511323289102e-12
71,"COQ8A",2.7299528900486e-12
72,"ZNF460",2.91209177339483e-12
73,"LRRC32",2.92280311033566e-12
74,"PLK3",3.03144043595333e-12
75,"ATP1B3-AS1",3.09004464377127e-12
76,"ENSG00000253406",3.23497934649887e-12
77,"ACSS2",3.2532467223677e-12
78,"ENSG00000271553",3.51173837649576e-12
79,"PDXK",3.57587981181818e-12
80,"MOCS3",3.8714848325915e-12
81,"C2CD4B",3.98795733651269e-12
82,"GEM",4.15372545464024e-12
83,"GYS1",4.36670045005986e-12
84,"IMMP1LP1",4.62006295500244e-12
85,"RN7SKP268",4.92248516373735e-12
