"Rank","Gene","p_value"
1,"ENSG00000177788",3.94456628465516e-17
2,"ENSG00000255310",1.92699431863323e-14
3,"NFIB",5.21950176631149e-14
4,"RFPL1S",8.44260435072136e-14
5,"ZNF518B",1.42679010307985e-13
6,"MARVELD2",1.74827632677259e-13
7,"DUXAP8",3.22899033972121e-13
8,"TES",1.10894172231544e-12
9,"XKR6",2.09212135706608e-12
10,"ADAMTS3",6.12401090423703e-12
11,"NEFH",1.22867858390884e-11
12,"CADM3",1.90082002751817e-11
13,"ENSG00000269210",1.91586312919054e-11
14,"ENSG00000226816",5.70317229768466e-11
15,"ENSG00000228560",6.42246937390161e-11
16,"ENSG00000232063",1.5187439549276e-10
17,"ENSG00000269918",1.72849891169436e-10
18,"ENSG00000256779",2.01717545141345e-10
19,"ATF5",3.26322979374005e-10
20,"ENSG00000255836",6.47196266747078e-10
21,"OLFM1",7.74954920436508e-10
22,"ATF7IP2",8.04302092114594e-10
23,"CADM3-AS1",1.45894771628564e-09
24,"ZNF433-AS1",1.73492922566094e-09
25,"MAP9",2.29223263119404e-09
26,"BCL3",3.22456066209244e-09
27,"CLGN",3.66975299737704e-09
28,"ACKR1",4.02404378376678e-09
29,"EPB41",4.26767386149913e-09
30,"HOXA7",4.28013414276901e-09
31,"TSPYL5",4.54231167327232e-09
32,"DUXAP10",4.60298795467618e-09
33,"ZNF439",5.83386112859372e-09
34,"SRGAP1",7.53458909058494e-09
35,"LYPD6B",9.88514797929892e-09
36,"ZBED3",1.23516904594143e-08
37,"KRTAP1-5",1.31717422550431e-08
38,"RAB3IP",1.4381648751161e-08
39,"IL18R1",1.47652877681491e-08
40,"GCA",1.65579456576114e-08
41,"KCNS1",1.69085904703769e-08
42,"ANXA3",1.93051655874553e-08
43,"CD55",2.10786095199888e-08
44,"H1-10",2.30945694559189e-08
45,"SEMA3E",2.61330031187161e-08
46,"GALNT5",2.84512507429303e-08
47,"TBX15",2.85764082332044e-08
48,"IL20RA",3.04356238663166e-08
49,"STK33",3.70925980772808e-08
50,"NIPAL4",3.8325071468031e-08
51,"MAP10",4.17784847552811e-08
52,"CNIH3-AS1",4.23463829631086e-08
53,"ABCA7",4.56241596371214e-08
54,"CHI3L1",4.74041210634509e-08
55,"COL10A1",5.05276231736305e-08
56,"PARD3",5.13763228734604e-08
57,"DNAJB4",5.27399320215886e-08
58,"EYA2",6.0987883048849e-08
59,"LINC01006",6.47007936403439e-08
60,"PTPRH",6.53807072233951e-08
61,"KDM7A-DT",6.55981797337792e-08
62,"PODXL2",7.22328173732414e-08
63,"RCN3",8.17099418415983e-08
64,"DNPEP",8.35014272594331e-08
65,"ARHGAP17",8.67866251525301e-08
66,"DCLK1",8.9255399133272e-08
67,"CMPK1",9.00265199784466e-08
68,"UBALD1",9.1484363500016e-08
69,"BEX4",9.39835654653425e-08
70,"DOK4",1.02885298767425e-07
71,"H3C6",1.07892651224835e-07
72,"ELOVL2",1.09445585224107e-07
73,"IL1RAPL2",1.13735165600973e-07
74,"LINC01114",1.16149323922739e-07
75,"FAM124A",1.17120877231038e-07
76,"TAGLN2",1.19813136743755e-07
77,"GUCY1A2",1.27749686708691e-07
78,"LINC01106",1.29548232421954e-07
79,"CDC42EP2",1.29836411502928e-07
80,"PLCB1",1.48396566334782e-07
81,"ENSG00000253966",1.48430845091003e-07
82,"NOVA1",1.49098849151669e-07
83,"OGFOD3",1.50062683177544e-07
84,"HCG11",1.51247955413974e-07
85,"JOSD1",1.55841084616347e-07
86,"ZBED6CL",1.61473901696726e-07
87,"PNPLA8",1.70903477789701e-07
88,"ABCA1",1.73016148679481e-07
89,"PABPC1P4",1.81343288400723e-07
90,"GRB10",1.81556368121115e-07
91,"ENSG00000262198",1.88263046899399e-07
92,"INHBE",1.97135568490447e-07
93,"SERP2",1.98114258749267e-07
94,"NXPH4",2.09173546340879e-07
95,"DECR1",2.10782287028338e-07
96,"MARK1",2.12231130286225e-07
97,"RAC2",2.15567143860029e-07
98,"CATSPER1",2.19090725469738e-07
99,"LURAP1L",2.22688585410567e-07
100,"LPCAT3",2.22698850296655e-07
101,"ARHGAP42",2.239207115496e-07
102,"ST6GALNAC4",2.33254123693473e-07
103,"ZNF664",2.40100794676079e-07
104,"YIPF5",2.40178055506477e-07
105,"GLYATL2",2.46879428596405e-07
106,"ZFP64",2.48882063668738e-07
107,"TRAPPC1",2.5024349952048e-07
108,"NFIL3",2.70857894871373e-07
109,"ENSG00000275719",2.72632676972205e-07
110,"PPM1E",2.74226428046833e-07
111,"ST6GALNAC3",2.80574426981384e-07
112,"ZSCAN12",2.82943544363345e-07
113,"ZNF680",2.8694013215839e-07
114,"MID1IP1",2.88799922130272e-07
115,"B4GALNT1",2.97425636921584e-07
116,"MEG8",3.02306403099835e-07
117,"ADNP",3.06382596924153e-07
118,"LINC02454",3.07557160046132e-07
119,"VSTM2L",3.12539903110632e-07
