"Rank","Gene","p_value"
1,"COL6A2",8.95015807484455e-09
2,"OTUD7A",9.15947975774813e-09
3,"SERPING1",3.27391146818943e-07
4,"FES",8.91824138324291e-07
5,"A2M",9.83487988856261e-07
6,"ZSCAN18",1.26179970643541e-06
7,"SLC25A23",1.83537050423945e-06
8,"MANEAL",2.09413440721911e-06
9,"ENSG00000272927",2.70977926789711e-06
10,"NHLRC1",3.52836803958865e-06
11,"ZNF571-AS1",4.24959485412973e-06
12,"TIMP2",4.75342870779193e-06
13,"LINC01150",4.9190820938417e-06
14,"IGKV2D-29",5.08009736217601e-06
15,"LINC02086",6.85801455445218e-06
16,"NRIP3",7.62194980352557e-06
17,"ADAMDEC1",8.35502628407252e-06
18,"CD14",9.57320477252989e-06
19,"ZNF439",1.21562759003112e-05
20,"GAA",1.21575949563513e-05
21,"ENSG00000289359",1.23640448758112e-05
22,"TRPS1",1.39656871574775e-05
23,"SLC35F2",1.42733549648099e-05
24,"COL6A1",1.58803560977614e-05
25,"KLHDC7B",1.76257954179803e-05
26,"SCT",1.80757304977543e-05
27,"PIK3R3",1.815672765333e-05
28,"ENSG00000274104",1.94417435435779e-05
29,"PDE6B-AS1",2.08785805597672e-05
30,"ZNF251",2.14183157686877e-05
31,"NOG",2.50651913630959e-05
32,"PELI2",2.66434279681888e-05
33,"APOE",2.67004200768967e-05
34,"ZNF542P",2.69105887821397e-05
35,"OSCAR",2.84338187120258e-05
36,"ENSG00000243144",2.8707785703417e-05
37,"AMIGO2",2.9154870867273e-05
38,"CTBP2",2.92576738059914e-05
39,"CACNA1B",3.05608724198109e-05
40,"ZNF781",3.15191743455113e-05
41,"PXDN",3.16572638073655e-05
42,"MMP9",3.62147738989503e-05
43,"SYNE3",3.66076188668492e-05
44,"MARCHF3",3.66129834995024e-05
45,"RP9P",3.77666574883556e-05
46,"RAVER2",3.8815376681329e-05
47,"IGKV1D-8",3.88506194319652e-05
48,"ENSG00000258758",4.10499170602196e-05
49,"BANK1",4.21573003013134e-05
50,"FAM20C",4.31977076613307e-05
51,"PLXND1",4.64587858336517e-05
52,"CXCL12",4.82379490710255e-05
53,"MMP12",5.35819987206565e-05
54,"CERS3",5.38836785697633e-05
55,"UNC13C",5.70388995013395e-05
56,"HECW2-AS1",5.90002731938941e-05
57,"NUPR1",5.93942740140208e-05
58,"PTGES2",6.03529113387643e-05
59,"FBP1",6.34751682217129e-05
60,"ZNF610",6.41622469104412e-05
61,"LINC01679",6.46339351777917e-05
62,"ZNF69",6.55954207059334e-05
63,"SLC5A9",7.17914449485198e-05
64,"OBSL1",7.33343742328942e-05
65,"CYP27A1",7.33572960814452e-05
66,"ZNF568",7.51266009931409e-05
67,"DST-AS1",7.64234474861332e-05
68,"JAML",8.01032033300308e-05
69,"ENSG00000287104",8.13873351279532e-05
70,"ARLNC1",8.14983202661579e-05
71,"EI24",8.3050804920001e-05
72,"CTSL",8.44220453566897e-05
73,"PDE6B",8.50066388611792e-05
74,"ZNF90",8.79380057200927e-05
75,"ENSG00000268119",8.88899198650695e-05
76,"MFAP4",9.51307104081515e-05
77,"MAILR",9.61740483991803e-05
78,"RPL7L1P5",9.66569384453086e-05
79,"MAP4K1",9.95440513530774e-05
80,"DCBLD1",0.000100093015209034
81,"SPATA2",0.000100824552864136
82,"GNAT2",0.000103110570982727
83,"LYZ",0.000106254301686188
84,"ZNF334",0.000112697601032433
85,"LINC00668",0.000112927259550172
86,"TRBV12-4",0.000113823305592037
87,"IGKV1-27",0.000114889088865572
88,"ENSG00000276649",0.000114908391321338
89,"ENSG00000272763",0.000116011446309838
90,"ZNF660",0.000116217644843131
91,"IGHV3-74",0.000119413553839289
92,"ZNF662",0.000120970850204465
93,"ALDH7A1P1",0.000122595918466028
94,"ENOSF1",0.000123182577317343
95,"ST3GAL1-DT",0.000123576539300083
96,"NFIL3",0.000125425933090074
97,"UST",0.00012603078111308
98,"ZNF563",0.000126829487175079
99,"CXCL16",0.000128768517593627
100,"ZDHHC19",0.000134007545921169
101,"BNIP3P37",0.000137367478262532
102,"TMEM268",0.000139828683599015
103,"LINC01550",0.000140448966260632
104,"ASGR1",0.000141524595212849
