"Rank","Gene","p_value"
1,"DANT1",1.5937669211608e-05
2,"ENSG00000272482",2.62195031496836e-05
3,"LILRA6",2.82960418190834e-05
4,"LILRB3",5.74863746459836e-05
5,"ENSG00000288754",8.61422006718903e-05
6,"PURPL",8.92386510835681e-05
7,"COL23A1",0.00010714828947383
8,"LINC02579",0.000109690662746557
9,"OR7E89P",0.000116736318209147
10,"ENSG00000185065",0.000123540556373067
11,"KIF22",0.000153216844775891
12,"NEFH",0.00015665757914246
13,"CD1A",0.000159646675384099
14,"TIMP4",0.00016819876731087
15,"METTL21AP1",0.000181948201905971
16,"TUBB8B",0.000204865556084853
17,"MTHFD1L",0.000207138838658282
18,"ENSG00000248613",0.000219690491755938
19,"ENSG00000234869",0.000225055350777333
20,"LINC02766",0.000271723342174698
21,"ENSG00000248114",0.000274853371096441
22,"CD1E",0.000279180803633954
23,"ENSG00000287016",0.00028970951897538
24,"FA2H",0.000296236162440383
25,"ENSG00000278514",0.000297841111937728
26,"PAIP1P1",0.000303240592707327
27,"DACT2",0.000329554246004564
28,"DYRK3",0.000333244260107742
29,"HMGA1P1",0.000350358014181115
30,"BMP7",0.000351164081948017
31,"TNFRSF10B",0.000358502039940882
32,"VANGL2",0.000359000334248548
33,"ANP32C",0.000363209026749289
34,"ENSG00000273084",0.000367957269075661
35,"ABO",0.000376148414902434
36,"TLE4",0.000381566051647504
37,"ENSG00000227857",0.000381741010882044
38,"RPSAP61",0.000396193884590977
39,"NIBAN3",0.000414038224321642
40,"ENSG00000267868",0.000457607014072213
41,"POU3F4",0.000458839080252171
42,"BLCAP",0.000472332977281251
43,"TMEM266",0.00047782166529226
44,"ENSG00000287815",0.000481264953648038
45,"COL22A1",0.000486416932000956
46,"EIF4BP6",0.00048707913400871
47,"ENSG00000219951",0.000488430728024914
48,"ENSG00000288927",0.000490101478029079
49,"ANKDD1B",0.000498528474838135
50,"CD9",0.00050016984710301
51,"ENSG00000285873",0.000506211803505514
52,"CHAF1A",0.000508492978324919
53,"ENSG00000273118",0.000514381463869316
54,"ENSG00000279409",0.000533463466825525
55,"BEND4",0.000535554215248841
56,"DNAJC12",0.000543327511748214
57,"ENPP7P6",0.000562335611551514
58,"HMCES",0.000564378818047488
59,"HMGB1P19",0.000592771304589032
60,"SUCLA2-AS1",0.000606858116980504
61,"MTHFD1P1",0.000624886759879094
62,"TKFC",0.000626319876560905
63,"SERPINA3",0.000629017518940408
64,"FUT5",0.000629875439541883
65,"SRGN",0.000644966311326199
66,"ENSG00000259278",0.000654827902399903
67,"TCF19",0.000693142858768931
68,"ENSG00000238934",0.000705161372423968
69,"PTGS1",0.000736674529980156
70,"RFPL1S",0.000741055467177031
71,"LINC00467",0.00076816343731727
72,"OR7E28P",0.000777835122600416
73,"DNAJC22",0.000786592231398701
74,"ADAMTSL4",0.000790902886014031
75,"ENSG00000287439",0.000795407924879292
76,"PDIK1L",0.000798217877882201
