"Rank","Gene","p_value"
1,"ENSG00000275772",3.87061251945194e-05
2,"MIR5047",6.36036425959801e-05
3,"RTN2",0.000125035981279286
4,"UGT8",0.000127718898473494
5,"NOL4L",0.000161655396672041
6,"ZNF223",0.00023623127626753
7,"ENSG00000251330",0.000241181629432817
8,"LINC01214",0.000241349511223955
9,"OR1AB1P",0.000245052440705811
10,"ENSG00000232310",0.000274552140866021
11,"PDE4A",0.000333059550584877
12,"MTND4P30",0.000340610584597734
13,"IMPDH2",0.000341579117283363
14,"LINC00574",0.000349513866302072
15,"APOBR",0.00034952230712994
16,"SPN",0.000351442252280441
17,"MAS1LP1",0.000435902389660256
18,"RPS5",0.000525991371968654
19,"ENSG00000217130",0.000557054233242301
20,"CACNG4",0.000590692840347222
21,"BCL11A",0.000626519000893499
22,"ENSG00000286326",0.000633995324265103
23,"VCAN",0.000634407383273847
24,"ATP6V1FNB",0.000636877020749475
25,"GRN",0.000644588439077522
26,"MRPS27",0.000646037607600689
27,"CD300LF",0.000650147085252265
28,"LCNL1",0.00070699056607936
29,"MIR223HG",0.000724400447041749
30,"CD34",0.000774803603396488
31,"KTN1-AS1",0.000827441594729852
32,"TMEM127",0.000836155537406582
33,"CRYM",0.000860312391223026
34,"CXorf65",0.000870833541462189
35,"ENSG00000286939",0.000885946662010358
36,"ENSG00000223711",0.000888110196019327
37,"ENSG00000284637",0.000890681302034586
38,"EEF1B2",0.00090965243053208
39,"FAM180B",0.000909798450802604
40,"LINC00861",0.000925173944531626
41,"OR52B3P",0.000927582952331774
42,"LEFTY1",0.000927731656935701
43,"ENSG00000232978",0.000943074913905783
44,"FOXG1",0.000959601322990796
45,"FGGY",0.000964636441712305
46,"ENSG00000263301",0.00098467095461244
47,"LINC02145",0.000988316236120857
48,"ENSG00000238081",0.000994937501508414
49,"ST3GAL2",0.000997433557856652
50,"CSPG5",0.001004430338476
51,"RN7SL838P",0.0010169562850091
52,"ENSG00000259760",0.00104039951129655
53,"ENSG00000289627",0.00104589555949783
54,"CDH2",0.00108875613912064
55,"ZRANB3",0.00110017216749147
56,"RPS8",0.00112445570336825
57,"SPON1",0.0011291964782043
58,"ENSG00000261798",0.00115385268261534
59,"RPS3",0.00116970543503128
60,"PTGS1",0.00123315333075229
61,"ENSG00000283240",0.00124622502717647
62,"MIR604",0.00126225474064773
63,"ENSG00000279748",0.0012627453424645
64,"ENSG00000287594",0.00127016203400714
65,"MAGEA5P",0.00127143138188786
66,"ENSG00000260782",0.00127732638872174
67,"FABP5P7",0.00133244405664787
68,"TRIM26BP",0.00136184135805134
69,"ZNF697",0.00137472534581227
70,"HFM1",0.00137658079361211
71,"ENSG00000285895",0.00138809854389557
72,"ENSG00000272256",0.00140622379572717
73,"HLA-DPB2",0.00141148608497867
74,"RAPGEF2",0.00147053301143968
75,"PYCARD-AS1",0.00150190680812957
76,"TXK",0.0015424508618103
77,"PBLD",0.00158016134654183
78,"CCR3",0.00158900783347424
79,"ENSG00000229220",0.00159141673056819
80,"LFNG",0.00159312748072785
81,"ENSG00000277879",0.00159448310918617
82,"DRD2",0.00163488159653289
83,"RPL35",0.00166178972346545
84,"MIR1225",0.00167184783745981
85,"NAIPP1",0.00167571893012464
86,"CD37",0.00167602105102887
87,"MTX1P1",0.00168933053432982
88,"THSD1",0.00169270884657683
89,"PCOTH",0.00170394483357885
90,"ENSG00000248903",0.00170811067427453
91,"RHOH",0.00171247753444659
92,"EFNB3",0.00173847696052063
93,"FRG1EP",0.00179643605050964
94,"ENSG00000278885",0.00180938965526786
95,"ENSG00000248837",0.00183975132098489
96,"RN7SKP272",0.00184394261970048
97,"IRF5",0.00187872985018926
98,"PRPF38B",0.00188851383029285
99,"COL3A1",0.00191020574835978
100,"ZMAT3",0.00193764687670268
