"Rank","Gene","p_value"
1,"EDA2R",2.06457982515467e-34
2,"PTCHD4",5.8008450433849e-33
3,"CDKN2A",3.92445196429801e-28
4,"EYA4",2.19978746618396e-23
5,"PURPL",4.52218700562833e-21
6,"SPATA18",2.23562486656426e-19
7,"MEF2B",2.9682629038764e-18
8,"ENSG00000273203",5.1836110013741e-18
9,"ENSG00000263826",7.01658607359833e-18
10,"DDX28",8.42006795500339e-18
11,"ENSG00000280157",1.082232407231e-17
12,"LNCTAM34A",1.14652798543207e-17
13,"ENSG00000271009",1.30057380394078e-17
14,"ENSG00000244953",1.52609798503041e-17
15,"ZNNT1",1.82247167871027e-17
16,"MT-CO1",2.46546151967229e-17
17,"CHAMP1",6.62550305864204e-17
18,"TRMT10C",1.05297198782536e-16
19,"GNRH1",1.19140902955572e-16
20,"PP7080",2.03265164956138e-16
21,"ENSG00000228107",2.57630952199137e-16
22,"RCCD1-AS1",4.30681917792598e-16
23,"UTP3",7.19397148934993e-16
24,"CLP1",7.4361848933824e-16
25,"ENSG00000288880",1.01608206760177e-15
26,"VN1R85P",1.09820505735451e-15
27,"NPFF",1.25160258148915e-15
28,"ENSG00000271971",1.45812919356568e-15
29,"LINC00115",1.50246173105464e-15
30,"FBXO24",2.02345552145845e-15
31,"RFNG",2.80716841331745e-15
32,"PRSS42P",3.64189154413629e-15
33,"ST6GALNAC4P1",4.13159539714387e-15
34,"ENSG00000215493",4.64043739609178e-15
35,"ENSG00000269976",4.65099965391312e-15
36,"TBX19",6.15236723211774e-15
37,"ENSG00000269688",6.23322458674248e-15
38,"MARS2",6.47597358481675e-15
39,"ENSG00000267834",6.59161172323405e-15
40,"PPP1R32",8.58006411118966e-15
41,"ENSG00000245261",1.01959080941764e-14
42,"BMS1P23",1.34472964643054e-14
43,"ENSG00000288826",1.51879916962646e-14
44,"ANKS3",1.52402967845819e-14
45,"ENSG00000273576",1.55645243271442e-14
46,"ENSG00000280332",1.58684267810677e-14
47,"ENSG00000271788",1.65142884257908e-14
48,"CHD1-DT",1.77498928195178e-14
49,"HBA2",2.00673201210969e-14
50,"LINC00377",2.02289365181012e-14
51,"TAFAZZIN",2.19407451176023e-14
52,"HEIH",2.21782045234731e-14
53,"PP2D1",2.33716245483578e-14
54,"PLA2G4B",2.34695440065736e-14
55,"MIR34AHG",2.45049049624798e-14
56,"ENSG00000287934",2.61989133362031e-14
57,"ENSG00000273374",2.93020410344735e-14
58,"ENSG00000245869",2.99748070349781e-14
59,"ENSG00000279926",3.12846073099194e-14
60,"YTHDF2",3.58437051032522e-14
61,"ENSG00000279357",3.61441464138956e-14
62,"ENSG00000228363",3.87168239753664e-14
63,"ENSG00000272338",3.98254124292909e-14
64,"ZNF587B",4.50041732390843e-14
65,"KTI12",5.06685110503474e-14
66,"ENSG00000280758",5.37046962198458e-14
67,"FASTKD5",5.59642609514386e-14
68,"PTCH2",5.80308990526729e-14
69,"LRRC75B",5.85144268071372e-14
70,"ENSG00000273483",5.98245071354945e-14
71,"MIR17HG",6.0359959920076e-14
72,"XRCC3",6.11659690631875e-14
73,"FXYD2",6.72501108751869e-14
74,"RBM22P2",6.93710395572552e-14
75,"URB2",7.31571473011461e-14
76,"ENSG00000275180",7.38950072480885e-14
77,"ENSG00000268069",7.82662417477827e-14
78,"ANKRD13D",8.50474776790618e-14
79,"MT-ND5",9.67707656611064e-14
80,"ENSG00000224067",1.21424411813426e-13
81,"ENSG00000285106",1.38852023588473e-13
82,"PACERR",1.48969512031774e-13
83,"LAGE3P1",1.54845042172166e-13
84,"MIR22HG",1.55628512183476e-13
85,"SORBS3",1.56159584228168e-13
86,"RPH3AL-AS1",1.57501066065474e-13
87,"KCNQ1OT1",1.60264419141347e-13
88,"ENSG00000276445",1.61563071490696e-13
89,"FAM138B",1.79975928561987e-13
90,"MTHFD2P1",1.80100276186195e-13
91,"HBB",1.80113066026223e-13
92,"DRD4",1.80205950605372e-13
93,"OR13J1",2.1801238589691e-13
94,"ACAD11",2.20486434499134e-13
95,"UNC5B-AS1",2.20666328982346e-13
96,"ENSG00000275426",2.27873266830214e-13
97,"HAGHL",2.39590329326127e-13
98,"BLZF2P",2.39888547791108e-13
99,"ENSG00000284669",2.41145538927218e-13
100,"ENSG00000270000",2.48248688178923e-13
101,"ENSG00000272810",2.49878014772566e-13
102,"TUBB1",2.60520675224194e-13
103,"SUPT20HL1",2.69926789113245e-13
104,"ENSG00000289216",2.71698495488785e-13
105,"MELTF-AS1",2.73015732859531e-13
106,"KCTD13",2.88011812805433e-13
107,"ENSG00000213963",3.10608989580327e-13
108,"ENSG00000286584",3.18896686264376e-13
109,"ID1",3.19764219389834e-13
110,"MIR637",3.2169481528602e-13
111,"E2F5",3.43160601312775e-13
112,"ENSG00000275888",3.50318269056736e-13
113,"DNAJB2",3.68605465779301e-13
114,"ZGLP1",3.68866214750445e-13
115,"ENSG00000241057",3.71397482430381e-13
116,"SLC25A44",3.75232475815865e-13
117,"SAP25",3.87790457799596e-13
118,"ENSG00000272597",3.88870475328468e-13
119,"ENSG00000242861",4.05669749399666e-13
120,"ENSG00000271993",4.13742527442585e-13
121,"ENSG00000251411",4.37797362396056e-13
122,"CSP2",4.38624239718737e-13
123,"MT-ND6",4.63477592302841e-13
124,"FAM27E3",4.74555526719084e-13
125,"SHOX2",5.08322249162517e-13
126,"PEF1-AS1",5.13734688709074e-13
127,"KPNB1-DT",5.51132359984831e-13
128,"ENSG00000279838",5.69569066675344e-13
129,"COPS7B",6.40779125269269e-13
130,"ENSG00000268583",6.54899423178704e-13
131,"PSPC1-AS2",6.59591998997191e-13
132,"ENSG00000272144",6.93596333046704e-13
133,"YJEFN3",6.96520931067535e-13
134,"ENSG00000279894",7.22223348518619e-13
135,"MCOLN3",7.44029546876783e-13
136,"COMT",7.49756690106895e-13
137,"ENSG00000244151",7.76306456540614e-13
138,"ENSG00000272812",7.87835316288213e-13
139,"ENSG00000273373",7.96586440953254e-13
140,"CENPT",8.05531503270135e-13
141,"NOX4",8.23266227136539e-13
142,"MT-TE",8.28980468725755e-13
143,"RAB24",8.41585199947429e-13
144,"ENSG00000268649",8.57672943515256e-13
145,"ACTRT3",8.91169739951461e-13
146,"EXD3",9.46708248209426e-13
147,"ENSG00000279930",9.63510731964324e-13
148,"CSTF2T",9.64321606682358e-13
149,"ENSG00000277959",9.68264621595862e-13
150,"ENSG00000277152",1.01521327859542e-12
151,"MZT2B",1.04728831519728e-12
152,"ENSG00000273759",1.11123566769977e-12
