"Rank","Gene","p_value"
1,"PTCHD4",2.79712548997491e-29
2,"CDKN2A",2.6450086328847e-22
3,"EYA4",1.05973215356451e-21
4,"HENMT1",5.9174436400743e-19
5,"EDA2R",1.13015237540684e-18
6,"NHLRC1",1.6539375887265e-18
7,"DDX28",1.69807877538587e-18
8,"PKDREJ",1.76885693800879e-17
9,"MARS2",4.11480571451279e-17
10,"MIR17HG",5.97173279885596e-17
11,"ZRANB2-AS1",4.05548437520056e-16
12,"MT-CO1",1.8564117712977e-15
13,"MTHFD2P1",1.97876817520785e-15
14,"ZNF587B",3.24904984135146e-15
15,"ZNNT1",3.73108074443472e-15
16,"ENSG00000265206",3.96986251240755e-15
17,"LINC00377",4.00639367453824e-15
18,"NCR3LG1",5.06725663643885e-15
19,"ENSG00000273203",6.19523220558934e-15
20,"ABHD12B",8.41006915103881e-15
21,"ADIPOQ",1.02324697671863e-14
22,"HOXA4",1.61442672284258e-14
23,"ENSG00000271788",2.23132223795605e-14
24,"SERPINA1",2.81207153029158e-14
25,"CLP1",3.08040340718624e-14
26,"LINC00475",3.47808219499081e-14
27,"TET3",4.06451026467902e-14
28,"ENSG00000225982",4.16668294493092e-14
29,"RPH3AL-AS1",4.49786202011266e-14
30,"ENSG00000278991",5.13826877285644e-14
31,"ENSG00000269951",5.33377180878101e-14
32,"SLN",5.40373075458485e-14
33,"FUT4",5.43687427809171e-14
34,"ZNF433-AS1",6.03959724804532e-14
35,"PPP1R32",6.85846488115196e-14
36,"SERBP1P3",7.6064172826719e-14
37,"ENSG00000278986",8.03788627383474e-14
38,"BMS1P23",8.93242308131866e-14
39,"LMCD1-AS1",9.13761048284494e-14
40,"ENSG00000263826",1.10070034627263e-13
41,"HBA2",1.18539522415502e-13
42,"CIRBP-AS1",1.27032326975245e-13
43,"MAP10",1.29464120829738e-13
44,"ZMAT3",1.97814820511551e-13
45,"DPP9-AS1",2.21537253659198e-13
46,"COL8A1",2.26984472822411e-13
47,"B3GNT6",2.50410614027525e-13
48,"FCGBP",2.57426165504898e-13
49,"LRG1",2.5796428541591e-13
50,"ENSG00000287652",2.61931616157086e-13
51,"ZNF552",2.86992239860912e-13
52,"ITGB5",3.29571034925049e-13
53,"COG2",3.31906191459024e-13
54,"ENSG00000285979",3.42102974715943e-13
55,"RPL13AP12",3.72548563690064e-13
56,"ENSG00000272810",4.12977832707167e-13
57,"HK2-DT",4.16507287189344e-13
58,"RRAGD",4.21139138764851e-13
59,"ENSG00000269976",4.32352145193703e-13
60,"ENSG00000279500",4.5116397254419e-13
61,"ENSG00000223583",4.67173779748014e-13
62,"TMPPE",5.03349486315465e-13
63,"KLB",5.08225261514398e-13
64,"ALDH1L1",5.65076788270906e-13
65,"ENSG00000265205",5.69984840378442e-13
66,"FMO2",5.85939768643714e-13
67,"HEIH",5.8782067411433e-13
68,"ENSG00000272108",5.93618304797774e-13
69,"HBB",6.07538889857719e-13
70,"NOX4",6.23597582066721e-13
71,"FASTKD5",6.50000859948171e-13
72,"ENSG00000273483",6.57510255507092e-13
73,"SI",6.72260091855718e-13
74,"MAD2L1BP",7.58209251356793e-13
75,"BEND3",7.67132179184003e-13
76,"HBA1",7.73100882412775e-13
77,"ZBTB42",8.69139029265682e-13
78,"KCNV1",8.92925003392994e-13
79,"FNDC5",9.22087993795896e-13
80,"ENSG00000225649",9.29332147584763e-13
81,"LIPT2",9.72535882598505e-13
82,"FAM50A",9.75242645224962e-13
83,"TFAP2A",1.01763691525185e-12
84,"CNGA3",1.0676393798251e-12
85,"TATDN2P2",1.13547321965218e-12
86,"PDGFA",1.16513510777036e-12
87,"ADAM23",1.17453138586752e-12
88,"PYY",1.22910322157379e-12
89,"DGAT2",1.26185486979821e-12
90,"FOXD3-AS1",1.29421831098988e-12
91,"GPD1",1.32817088294398e-12
92,"ENSG00000289554",1.34900087244082e-12
93,"ITGBL1",1.36324925014246e-12
94,"HPDL",1.40427003367017e-12
95,"CLCA1",1.4234996907237e-12
96,"SAP30-DT",1.47179416886187e-12
97,"SELENOW",1.47925702375296e-12
98,"NPFF",1.49761601287368e-12
99,"LCN2",1.52674026626817e-12
100,"UBE2B",1.57379421416306e-12
101,"SHISA3",1.58166653610201e-12
102,"LINC00294",1.63401092176075e-12
103,"MFSD6L",1.66336933711117e-12
104,"IGIP",1.67617349449372e-12
105,"DKK3",1.72360178929958e-12
106,"RP9P",1.8340678549769e-12
107,"ENSG00000258168",1.88668979575971e-12
108,"SRRM2-AS1",2.03113829478454e-12
109,"ENSG00000273179",2.04075878026676e-12
110,"MIR429",2.06423255071802e-12
111,"ENSG00000231181",2.14865768281868e-12
112,"ENSG00000261103",2.16105567105843e-12
113,"MIA",2.25047037502677e-12
114,"DRD4",2.37456789314187e-12
115,"ENSG00000226426",2.38848373026683e-12
116,"NRXN1",2.65870760267509e-12
117,"RORB",2.73303165122585e-12
118,"ENSG00000279894",2.73366876454744e-12
119,"TERT",2.946639202276e-12
120,"ATP10B",2.9667368807934e-12
121,"DHDDS",2.99415018303467e-12
122,"ASPN",3.03646618856977e-12
123,"LINC02381",3.14529332924947e-12
124,"ENSG00000279118",3.1583723021541e-12
125,"FFAR4",3.19672274928509e-12
126,"CLUH",3.26270494115464e-12
127,"ENSG00000245869",3.28599076734902e-12
128,"PCDHB2",3.30633483829401e-12
129,"GABARAPL2",3.31199635617827e-12
130,"IL1R2",3.41779443110421e-12
131,"UMPS",3.48253950304081e-12
132,"FBXW4",3.60071905328866e-12
133,"ENSG00000289384",3.61187734706012e-12
134,"ENSG00000269243",3.67198802837824e-12
135,"PPP1R14BP3",4.01700560409005e-12
136,"TBX19",4.04999029148454e-12
137,"HPS6",4.11586988504995e-12
138,"MTNR1A",4.16492062040422e-12
139,"PI16",4.18974855016479e-12
140,"ANKEF1",4.23448179104606e-12
141,"ENSG00000258136",4.38201503642663e-12
142,"ENSG00000272551",4.61631921314668e-12
143,"FGF1",4.64459367718005e-12
144,"PEF1-AS1",4.68400239857545e-12
145,"GAL3ST2",4.71152908406952e-12
146,"ADSS1",4.78943961104164e-12
147,"ENSG00000280157",4.83757463546562e-12
148,"ENSG00000279838",4.92572034556634e-12
149,"FASN",4.93007420551451e-12
150,"WDFY3-AS2",5.18793172254956e-12
151,"BMS1P10",5.31414491468311e-12
152,"SPON2",5.31533803344443e-12
153,"SF3B4",5.33562512767633e-12
154,"AFG3L2",5.60431349324745e-12
155,"ENSG00000260160",5.65572881010367e-12
156,"LEPR",5.82696541332626e-12
157,"STC1",5.87392521316436e-12
158,"INSYN1",5.8807438242396e-12
159,"FAM83H",5.92547790386333e-12
160,"MT-ND5",5.93131053469609e-12
161,"SLC27A2",6.25091286030006e-12
162,"ANGPTL7",6.51551700836099e-12
163,"CYTL1",6.61806954069293e-12
164,"ENSG00000272872",6.69861247087312e-12
165,"HOMER3",6.70217283045816e-12
