"Rank","Gene","p_value"
1,"EYA4",7.9272991678832e-31
2,"MTHFD2P1",5.78307147823915e-19
3,"PTCHD4",1.08894471794872e-16
4,"ENSG00000230333",4.19358826954346e-15
5,"BTF3P3",4.81990467475917e-14
6,"ENSG00000273203",6.1970317601507e-14
7,"EDA2R",8.12574797684157e-14
8,"SPRY1",9.5156617188134e-14
9,"ITGBL1",1.6010457842483e-13
10,"FGF14",1.63505642518534e-13
11,"RAB3IL1",2.15218415224936e-13
12,"KRT8P50",2.22655858271014e-13
13,"FRRS1",4.22282690094061e-13
14,"RASSF1",4.8077153177268e-13
15,"PPFIBP2",6.63443554118236e-13
16,"LINC00475",9.45856755677435e-13
17,"ENSG00000226149",1.00487469722579e-12
18,"MESTP1",1.07019138532703e-12
19,"DNM1",2.44035162132967e-12
20,"TNXB",2.69129720646636e-12
21,"MFAP5",2.91102595946983e-12
22,"FXYD2",3.25684213918895e-12
23,"FMNL1",3.40541108668992e-12
24,"ENSG00000287299",3.50843295675192e-12
25,"DCN",3.8763834741557e-12
26,"ENSG00000279030",4.06106738761444e-12
27,"LVRN",4.46698073981388e-12
28,"CYGB",4.96565725987454e-12
29,"PCOLCE2",5.9595258824461e-12
30,"ADA",6.65690388378727e-12
31,"HBA2",7.76398191461542e-12
32,"SLC22A15",8.18496366569996e-12
33,"DISC1",8.6434323077401e-12
34,"ZNF676",8.69565427917739e-12
35,"ENSG00000278330",8.73502125384267e-12
36,"ENSG00000227253",1.05862620525764e-11
37,"SPRY2",1.13880555509168e-11
38,"LMX1A",1.49612973918186e-11
39,"PPP1R14BP3",1.57979141694265e-11
40,"SPATA18",1.79168671425225e-11
41,"TBCC",1.85829946933932e-11
42,"ENSG00000287652",2.03939702316675e-11
43,"ENSG00000229808",2.31351161702848e-11
44,"ENSG00000286584",2.54007616923423e-11
45,"HBB",2.83973360167879e-11
46,"ENSG00000275484",2.88927966106742e-11
47,"ENSG00000280332",3.17706191603116e-11
48,"ENSG00000271795",3.26654680699046e-11
49,"ENSG00000258168",3.40553864501484e-11
50,"ENSG00000272108",3.84606610351722e-11
51,"ENSG00000270640",3.94664239821187e-11
52,"TRMT10C",4.65806349190937e-11
53,"ENSG00000273483",5.06645890992407e-11
54,"RCCD1-AS1",5.14927814794517e-11
55,"DCBLD1",5.20317314094031e-11
56,"UTP3",5.78487350759479e-11
57,"MCTP2",6.22657350186985e-11
58,"ACTRT3",6.30068166058713e-11
59,"ENSG00000245261",6.48797187567613e-11
60,"ENSG00000228107",6.62303740819097e-11
61,"PYHIN1",6.82753249331327e-11
62,"ENSG00000275888",7.05726726821437e-11
63,"HPS6",7.11922270643577e-11
64,"NPFF",7.99575496560706e-11
65,"KTI12",8.60510468536892e-11
66,"ENSG00000268442",8.94082521572422e-11
67,"ZNF154",9.17756396725771e-11
68,"LRRIQ1",9.4251708399444e-11
69,"RPL23AP49",9.48957853333863e-11
70,"HSPA2",9.50567890320825e-11
71,"CRLF3",9.84014038226307e-11
72,"HMSD",1.00074645548081e-10
73,"ITPR3",1.09706066350864e-10
74,"ENSG00000288888",1.11503940551246e-10
75,"FBLN2",1.22684636447956e-10
76,"MAD2L1BP",1.28909034736732e-10
77,"ZNF671",1.34346852824086e-10
78,"DDX28",1.3699893135772e-10
79,"ENSG00000267707",1.39542303098187e-10
80,"RHOQ-AS1",1.44775524488006e-10
81,"ENSG00000272428",1.47923152119818e-10
82,"PTPRG-AS1",1.48374074866334e-10
83,"ENSG00000287134",1.48669889904542e-10
84,"ENSG00000279214",1.48679606879906e-10
85,"ENSG00000271009",1.51733990754529e-10
86,"ENSG00000260160",1.59915757310236e-10
87,"FMNL1-DT",1.67899898611633e-10
88,"PAG1",1.77218137253765e-10
89,"ASXL3",1.88969395948755e-10
90,"CLP1",1.89565628935852e-10
91,"CMTM3",1.91865129741262e-10
92,"SHISA3",1.9782376035465e-10
93,"LINC-PINT",2.01336561237722e-10
94,"SUMO4",2.07235197059024e-10
95,"ZNF134",2.0934933985827e-10
96,"KDM4A-AS1",2.14789261297338e-10
97,"ENSG00000279488",2.18921142386075e-10
98,"ENSG00000272416",2.20955108878503e-10
99,"CYP4X1",2.21947003440984e-10
100,"ENSG00000285865",2.2448922276222e-10
101,"RGS1",2.29508797958969e-10
102,"TFPI",2.30307252788676e-10
103,"ENSG00000277737",2.32013343878134e-10
104,"ST3GAL6",2.52095268515717e-10
105,"TMEM44",2.53868427219558e-10
106,"CYCSP40",2.6489452374165e-10
107,"ZNF678",2.69038813607627e-10
108,"NIBAN1",2.87506043857811e-10
109,"RPL13AP12",2.87660399769912e-10
110,"ZBTB39",2.92349013118372e-10
111,"CRNDE",3.18433461403222e-10
112,"ENSG00000289404",3.22040542936182e-10
113,"ENSG00000213963",3.24874510635069e-10
114,"ENSG00000266954",3.65604832179223e-10
115,"Y_RNA",3.6763615352048e-10
116,"SCN1B",3.67669308946034e-10
117,"MGST1",3.69721387072185e-10
118,"ENSG00000226957",3.73967713309619e-10
119,"P2RX2",3.76872009187663e-10
120,"ENSG00000280020",3.80674238363563e-10
121,"ZIK1",3.81340138599723e-10
122,"ENSG00000224945",3.91293799889768e-10
123,"PCDHB2",4.0012839879719e-10
124,"LRRN4CL",4.04882051656273e-10
125,"GDF15",4.1044745377919e-10
126,"ENSG00000260912",4.13983755591924e-10
127,"MEF2B",4.19554769562801e-10
128,"TAFAZZIN",4.19829852661566e-10
129,"ASAP3",4.39277819452624e-10
130,"IL15RA",4.41372052953419e-10
131,"RTL6",4.68924304090875e-10
132,"RAD9A",4.8548468604309e-10
133,"ENSG00000272037",4.9156076407598e-10
134,"ENSG00000271218",4.98037526095285e-10
135,"RPUSD2",4.99237012472942e-10
136,"RAB28",5.01816623794238e-10
137,"ENSG00000225216",5.28654587668356e-10
138,"FASTKD5",5.66951202832993e-10
139,"SLC25A37",5.71289520050987e-10
140,"RPS12P28",6.00020427827579e-10
141,"ENSG00000214093",6.04320929555213e-10
142,"MMP2",6.09329014557436e-10
143,"ENSG00000276564",6.38938190057187e-10
144,"ENSG00000257222",6.43031985932085e-10
145,"PURPL",6.44963035379365e-10
146,"TERF1P7",6.56365794788799e-10
147,"MIR17HG",6.61279714711956e-10
148,"CHMP4BP1",6.68699652129084e-10
149,"ZNF416",6.8244511696629e-10
150,"SPATA6",7.28702575692572e-10
151,"MOCS3",7.6147553191815e-10
152,"ENSG00000279434",7.69281542373444e-10
153,"ENSG00000234353",7.7686557790748e-10
154,"ENSG00000226252",7.78343839946184e-10
155,"TMEM71",7.94571085275826e-10
156,"ENSG00000269889",8.41053620551617e-10
157,"USP50",8.64642689318228e-10
158,"ENSG00000289523",9.19551508277508e-10
159,"ADAMTSL2",9.21753238541712e-10
160,"ENSG00000279738",9.2200002654315e-10
161,"LMCD1-AS1",9.38513225794789e-10
162,"FAM126A",1.01221991841289e-09
163,"ENSG00000226396",1.0738003213343e-09
164,"APOBEC3D",1.11565109948121e-09
165,"HNRNPA1P16",1.13736040038833e-09
166,"ENSG00000236031",1.14073393564367e-09
167,"RNA5SP122",1.14848252544635e-09
168,"ENSG00000270137",1.20521604728221e-09
169,"RIOX1",1.2621636645132e-09
170,"SMG9",1.33954767277881e-09
171,"ADD3",1.36137820403963e-09
172,"SNCA",1.39117536163037e-09
173,"ENSG00000272812",1.39696999228124e-09
174,"TCF21",1.4511827804526e-09
175,"RRAGA",1.45207636035662e-09
