"Rank","Gene","p_value"
1,"NEFH",8.12531758804966e-33
2,"EYA4",6.45436873870557e-27
3,"BCAP31P2",1.36858033417237e-25
4,"ENSG00000270640",2.09016337990711e-23
5,"LHFPL4",2.45832848763151e-23
6,"LMO3",5.60351260306153e-22
7,"PTCHD4",1.1072635377061e-21
8,"HBA2",5.0744221977526e-21
9,"ENSG00000230910",1.34151347431317e-20
10,"HBB",4.18068834257892e-20
11,"TMEM81",6.91622950831528e-20
12,"CUL3",7.96439757287086e-20
13,"Y_RNA",1.17987929794613e-19
14,"ENSG00000224945",1.68645973857733e-19
15,"SMAP1",1.80170985542803e-19
16,"ENSG00000214093",3.3562143039284e-19
17,"PCDHB14",3.49157407056212e-19
18,"CHMP4BP1",5.27786966835557e-19
19,"ENSG00000275484",5.49039648885053e-19
20,"RPL13AP12",1.31159221563646e-18
21,"ENSG00000289404",1.85258605788658e-18
22,"HBA1",2.04470657177775e-18
23,"ENSG00000269463",2.19378660621378e-18
24,"CLP1",2.51145976997817e-18
25,"ENSG00000278071",3.11072017754521e-18
26,"PCDHB2",3.72391779549155e-18
27,"ENSG00000286190",3.73805810423329e-18
28,"ENSG00000226396",3.9653171678657e-18
29,"CNOT1",6.11031983690388e-18
30,"SPRY1",7.7121173640154e-18
31,"KRT8P50",8.29372736307591e-18
32,"ENSG00000276533",1.25654524077881e-17
33,"MMP17",1.28205423744739e-17
34,"ENSG00000274341",1.39570017878474e-17
35,"CPT1B",1.45240848985646e-17
36,"ENSG00000214614",1.47047972668628e-17
37,"ENSG00000267703",1.60789337452527e-17
38,"ENSG00000263272",1.74088725068674e-17
39,"ENSG00000279357",2.37781907291305e-17
40,"LINC-PINT",2.64168864784788e-17
41,"CLEC1A",3.00069683759056e-17
42,"SCX",3.1484403900324e-17
43,"ENSG00000261474",4.33578194716459e-17
44,"PPP1R14BP3",4.44676631072854e-17
45,"GLRX5P3",4.48050535466375e-17
46,"ENSG00000273759",4.62580120377283e-17
47,"ENSG00000271833",4.88556940912508e-17
48,"ENSG00000277744",5.59304401169003e-17
49,"PSMC1",5.97368298813779e-17
50,"TDRD10",6.0629414257176e-17
51,"ENSG00000234584",7.35567905837518e-17
52,"CLTC",8.04108348989413e-17
53,"ENSG00000274297",8.05416368452623e-17
54,"ENSG00000259791",8.12061670182011e-17
55,"MAPK8IP2",8.17352930651097e-17
56,"RTCB",8.89240151203442e-17
57,"FAM27E3",9.78089306717825e-17
58,"NCOA4",9.8420832884598e-17
59,"CYFIP1",1.23995551316479e-16
60,"NOMO2",1.24311115179355e-16
61,"CDC34",1.30929127899615e-16
62,"ANKRD13D",1.4216561380035e-16
63,"TM9SF2",1.4831797792984e-16
64,"TBX19",1.50146723380313e-16
65,"TFIP11",1.51326202099928e-16
66,"GALNT5",1.52588676553678e-16
67,"ENSG00000273179",1.56945160896706e-16
68,"PRRT1",1.84965188902482e-16
69,"ENSG00000279738",1.89783979938045e-16
70,"PSMD7",1.9258694081603e-16
71,"POU2F1-DT",2.03857850496489e-16
72,"ENSG00000282951",2.11361363827741e-16
73,"PCBP1",2.20067702066739e-16
74,"ENSG00000276564",2.2595296229823e-16
75,"MEF2B",2.4605833648572e-16
76,"MRPS18C",2.49969220552615e-16
77,"COPB2",2.57477681262468e-16
78,"COX5A",2.72111520302617e-16
79,"ENSG00000286977",3.03801429342682e-16
80,"CTNNA1",3.19950641196377e-16
81,"ENSG00000260257",3.29014832736415e-16
82,"LSMEM1",4.1427107498297e-16
83,"RORB",4.59798741539889e-16
84,"ENSG00000273373",4.63923139976814e-16
85,"PCDHB16",4.75809272046639e-16
86,"ENSG00000286882",4.89189270866323e-16
87,"VAX2",4.95054877469641e-16
88,"FOXD3-AS1",5.05876262917441e-16
89,"KANTR",5.05917810910545e-16
90,"BTF3P3",5.28831616801155e-16
91,"FOXD2-AS1",5.43308928898697e-16
92,"OXER1",5.57498860394015e-16
93,"ENSG00000273203",5.75484085286689e-16
94,"TRAF3IP2-AS1",6.55865799840701e-16
95,"ENSG00000279766",8.00830228209997e-16
96,"ENSG00000272144",8.06925746693123e-16
97,"HOXD9",8.12449121001966e-16
98,"H1-10-AS1",8.84374109616111e-16
99,"Metazoa_SRP",8.9054839428581e-16
100,"SEC23B",9.21902107411061e-16
101,"TXNDC9",9.40067599969686e-16
102,"ENSG00000272416",1.05087130742486e-15
103,"SHROOM1",1.05589230696742e-15
104,"HSPA4",1.19996994363304e-15
105,"ANKRD23",1.31000355742938e-15
106,"ENSG00000238231",1.37417138610444e-15
107,"NPFF",1.43482108140578e-15
108,"ENSG00000232611",1.54458896806719e-15
109,"SLC25A2",1.5566922066051e-15
110,"ENSG00000269958",1.58649155551998e-15
111,"MELTF-AS1",1.58895769736448e-15
112,"SNORA33",1.59299877474639e-15
113,"GNRH1",1.59988263190528e-15
114,"ENSG00000226276",1.63050360331351e-15
115,"POF1B",1.77389701699383e-15
116,"ENSG00000267049",1.82585143334961e-15
117,"HOXD10",1.88685197125545e-15
118,"ENSG00000272108",1.89227620247248e-15
119,"ENSG00000289523",1.91849166665082e-15
120,"ENSG00000256116",1.91880424942765e-15
121,"ENSG00000272669",1.94547799425341e-15
122,"ENSG00000267834",1.9848928132522e-15
123,"PDIA6",2.05300215975211e-15
124,"PP7080",2.06284858145353e-15
125,"RCCD1-AS1",2.08206136211474e-15
126,"CPLX1",2.10368796500333e-15
127,"DLAT",2.10560782236166e-15
128,"RPSAP36",2.29200626240581e-15
129,"ENSG00000272356",2.43938899457869e-15
130,"UQCRFS1",2.51925229641143e-15
131,"ENSG00000251411",2.77660636764111e-15
132,"INAFM1",2.80776919278748e-15
133,"BECN1",3.05604608969169e-15
134,"HCCS",3.13093691105616e-15
135,"HMGB1P24",3.22572724722877e-15
136,"DDX28",3.30523306556248e-15
137,"CLEC2B",3.43434484174778e-15
138,"S100A13",3.44799608286662e-15
139,"ENSG00000245261",3.57201893428526e-15
140,"UBE2J1",3.96327365969353e-15
141,"ENSG00000234353",4.17083837423653e-15
142,"ENSG00000261997",4.34782411361808e-15
143,"ENSG00000277737",4.52327471937643e-15
144,"PSPC1-AS2",4.53941842089724e-15
145,"GNAI3",4.88726522202452e-15
146,"NT5C2",5.0927241599159e-15
147,"IQGAP1",5.20750397565111e-15
148,"GOLGA7",5.26040350021703e-15
149,"ENSG00000277566",5.26757950432368e-15
150,"MAD2L1BP",5.37392105814949e-15
151,"ENSG00000272100",5.53408171403394e-15
152,"COPS4",5.63771642011433e-15
153,"ENSG00000279863",6.2357167108504e-15
154,"ENSG00000270953",6.31268194122956e-15
155,"FBXL18",6.34857938048071e-15
156,"SERPINB5",6.43517618682849e-15
157,"MUC15",6.44072470424633e-15
158,"SND1",6.4592389441995e-15
159,"HEIH",6.91753070689071e-15
160,"SMG8",7.32534472976864e-15
161,"ENSG00000268938",8.03986037049282e-15
162,"GTF2I",8.10718157851369e-15
163,"MAP7",8.33178854908255e-15
164,"VDAC2",8.39909272062431e-15
165,"ENSG00000261159",8.54312813940343e-15
166,"ENSG00000279861",8.7238943159598e-15
167,"ENSG00000226471",8.72902103918108e-15
168,"PGM2",8.94748126909528e-15
169,"ENSG00000289626",9.2648129828395e-15
170,"PHLDA3",1.06590531019602e-14
171,"UTP3",1.11424916060416e-14
172,"ENSG00000261663",1.27852596758397e-14
173,"USF2",1.33751006173329e-14
174,"ENSG00000273036",1.34337814562694e-14
175,"LINC01504",1.36862532063987e-14
176,"ENSG00000260816",1.38110720441287e-14
177,"FXYD2",1.42724281608729e-14
178,"ENSG00000273449",1.45065433548056e-14
179,"YME1L1",1.45478125667285e-14
180,"ENSG00000267457",1.46895385828941e-14
181,"MYPOP",1.47433095882884e-14
182,"TBC1D14",1.48891954800979e-14
183,"ENSG00000270804",1.55547516506621e-14
184,"ENSG00000242861",1.56255215765264e-14
185,"ENSG00000287652",1.57010176101138e-14
186,"LTA4H",1.57540258492302e-14
187,"SDR16C5",1.59720873528737e-14
188,"ENSG00000261187",1.63916364741217e-14
189,"LINC01151",1.65817844744136e-14
190,"ZBTB48",1.67196850751587e-14
191,"ENSG00000279926",1.73892991388093e-14
192,"CT75",1.77013687255164e-14
193,"ENSG00000279031",1.77394045800846e-14
194,"ENSG00000274677",1.82191320028763e-14
195,"SNORA3B",1.82780489187762e-14
196,"ADCY7",1.87733670398932e-14
197,"ENSG00000277007",1.90037321956852e-14
198,"PSEN1",1.9068166063721e-14
199,"ENSG00000289250",1.97220139658423e-14
200,"ENSG00000267543",2.02495325671118e-14
