"Rank","Gene","p_value"
1,"PTCHD4",3.79382164814004e-26
2,"LINC00475",4.01836168602904e-26
3,"MTHFD2P1",4.77418832825534e-26
4,"EYA4",3.88633081232223e-25
5,"DUXAP8",8.47803961803465e-22
6,"PURPL",1.58722421819177e-19
7,"ZNF676",8.95905729992655e-19
8,"MGST1",3.15138091695779e-18
9,"SCN1B",3.56758817826824e-18
10,"LVRN",6.53138189951764e-18
11,"ENSG00000273203",7.20769743509822e-18
12,"HBA2",8.43314173656409e-18
13,"KCNK2",1.29604477827131e-17
14,"SLC22A15",1.87831979995897e-17
15,"ITGBL1",2.19322705321479e-17
16,"FRRS1",2.40953077245775e-17
17,"SPRY1",3.97070964295593e-17
18,"ANGPTL5",5.84334483947841e-17
19,"FGF14",1.06835557237662e-16
20,"CYGB",1.10614802412317e-16
21,"HBB",1.30444595196603e-16
22,"HBA1",1.68224386142624e-16
23,"Y_RNA",1.07319220294478e-15
24,"ACSS3",1.13587057226603e-15
25,"GDF15",1.30035778989341e-15
26,"TBCC",2.72324156766604e-15
27,"ENSG00000226957",2.92959084855303e-15
28,"ENSG00000230333",3.2528773512998e-15
29,"ENSG00000243004",3.50556899164371e-15
30,"CMTM3",4.09678364323925e-15
31,"ZNF416",4.97935244008501e-15
32,"TFPI",5.42705526636183e-15
33,"ENSG00000260912",8.62399681430238e-15
34,"LMX1A",9.81442301303313e-15
35,"ENSG00000272428",1.08690527052266e-14
36,"ZNF154",1.25409806560844e-14
37,"RAB3IL1",1.37721023844485e-14
38,"TOMM40P2",1.40485401519315e-14
39,"MCUB",1.52121323680971e-14
40,"EDA2R",1.52676366059949e-14
41,"ZNF134",1.53421811842448e-14
42,"PPP1R14BP3",1.69842321031802e-14
43,"ZIK1",1.9643315182153e-14
44,"CFD",2.73264842322653e-14
45,"NOX4",2.97635324036848e-14
46,"MFAP5",3.17529923980426e-14
47,"IL15RA",3.24022245963418e-14
48,"PARVA",3.33662730836045e-14
49,"ZBTB39",6.31109185930859e-14
50,"ISM1",6.7687151864958e-14
51,"PCDHB2",6.78395092235175e-14
52,"BNIP3P30",1.03447780346203e-13
53,"ZNF671",1.13283104503406e-13
54,"ENSG00000280332",1.23451106077282e-13
55,"TBX19",1.25995270880477e-13
56,"DUXAP10",1.39240992040644e-13
57,"ENSG00000271009",1.49420542642797e-13
58,"TSSC2",1.73245372473082e-13
59,"ENSG00000267707",1.79854725470082e-13
60,"SPRY2",1.91730500248928e-13
61,"AIM2",2.01472928209113e-13
62,"RSPO4",2.11130404295221e-13
63,"PCSK5",2.25074856280734e-13
64,"ENSG00000272108",2.45857192005264e-13
65,"DDX28",2.47877253149128e-13
66,"ZNF518B",2.62263217462942e-13
67,"LPAR1",2.64507245284813e-13
68,"PYHIN1",2.74033744667445e-13
69,"CORO2B",2.87806697673502e-13
70,"STON2",3.01939204126348e-13
71,"MIR17HG",3.07943415075883e-13
72,"TNXB",3.1219634437199e-13
73,"PTGS1",3.31336533088674e-13
74,"CRACR2A",3.40192187148127e-13
75,"ENSG00000289404",3.44492793849506e-13
76,"ENSG00000272416",3.49772741936993e-13
77,"ARRB1",3.60111409449889e-13
78,"TOMM40P1",3.88216068729266e-13
79,"CSF1",3.89106876157374e-13
80,"RASSF1",4.01100735685809e-13
81,"TRMT10C",4.57495488613987e-13
82,"FBLN2",4.86836184155958e-13
83,"CHMP1B2P",5.21841775985483e-13
84,"ENSG00000287839",6.07423818552091e-13
85,"LRRN4CL",6.15921562640551e-13
86,"ENSG00000266954",6.47114480469069e-13
87,"KRT8P50",6.6915000950344e-13
88,"GYG2",6.70910615572596e-13
89,"MAD2L1BP",7.10357249568342e-13
90,"GPR37",7.24632581682427e-13
91,"ZNF304",8.46536892363589e-13
92,"MCTP2",8.52253119845233e-13
93,"MRC2",9.23324646988489e-13
94,"ENSG00000287134",9.48191094507086e-13
95,"EMID1",1.00541991265458e-12
96,"TMC2",1.0091243115334e-12
97,"LINC01116",1.16986099452315e-12
98,"LINC01133",1.1946099334098e-12
99,"CYP27A1",1.23952070996338e-12
100,"VN1R85P",1.25970038347753e-12
