"Rank","Gene","p_value"
1,"POLR2B",1.78960147723761e-05
2,"NBEAP1",1.87360120967439e-05
3,"RORB",3.40735765032545e-05
4,"MAD2L1BP",5.87758389981898e-05
5,"GDF15",6.57572662965979e-05
6,"PTCHD4",8.524274772148e-05
7,"ZNF710",0.00011670216565259
8,"ENSG00000255882",0.000130491502823982
9,"GAPT",0.000171801835203448
10,"ZNF200",0.000193032269404432
11,"RIPK1",0.000207269045832008
12,"RALYL",0.000216838952568051
13,"RAB27B",0.000222042798139941
14,"TOR4A",0.000229625114930727
15,"KCTD11",0.000237137946765315
16,"SRP54",0.00025772511880521
17,"TUBA1A",0.000269038127440442
18,"NUP93",0.000300850804630291
19,"ENSG00000278356",0.000333990195826435
20,"CTR9",0.000337488123824519
21,"DDB1",0.000402956306711914
22,"VDAC3",0.000412151754567355
23,"MUL1",0.000423213236898459
24,"TFIP11",0.000459133432308416
25,"RTCB",0.000470026502338808
26,"FBN2",0.000480114518360063
27,"ENSG00000288969",0.000485807731816951
28,"NIF3L1",0.000498706213805315
29,"NAPSB",0.000505026663915262
30,"LRRC4",0.000512860245419407
31,"DOLK",0.000561341013427356
32,"HAT1",0.000563498463006998
33,"PEX3",0.000565412909739525
34,"ENSG00000280047",0.000578275199388436
35,"ZNF711",0.000584689557203752
36,"ARL4D",0.000604488958099493
37,"ERF",0.000629543386240255
38,"YWHAQP6",0.000639197313832665
39,"SF3B4",0.000658273284480926
40,"SMG8",0.000666085540863286
41,"MINAR2",0.000690617134739845
42,"PPP4C",0.00072191137794388
43,"ARID1A",0.00072238738286764
44,"C9orf131",0.000731715109137699
45,"PPP1CA",0.000736814362722041
46,"MAP1S",0.000746068819623411
47,"KLF16",0.000777904750957512
48,"DNAJC30",0.0007888718112395
49,"C6orf47",0.000788887963609972
50,"PUF60",0.000804464170424637
51,"UQCRFS1",0.000817687256225689
52,"CSTF2",0.000819894141959373
53,"C8orf58",0.000827885150207126
54,"MRPL35",0.000853937307292925
55,"DDX20",0.000857104042893045
56,"ENSG00000272148",0.000857159677608546
57,"CHD4",0.000857977248129013
58,"SCD5",0.000873508873103352
59,"TRMT61B",0.000874921096294227
60,"RHEBP1",0.000877875975481637
61,"AAR2",0.000889897962012382
62,"INTS5",0.000905718265053419
63,"KRT8P14",0.000918478585566703
64,"HNRNPA3P7",0.000949293227985044
65,"PBDC1",0.000956274549090645
66,"NCBP2AS2",0.00098592205336201
67,"LPAR5",0.00100754157667124
68,"MIR221",0.00105805852274162
69,"KRT72",0.00107754328194557
70,"ZNF629",0.00107792959395083
71,"ENSG00000274892",0.00108806878997966
72,"TMEM223",0.00114405091072812
73,"ENSG00000278212",0.00116614723035244
74,"ABT1",0.00125216946738399
75,"MACC1-AS1",0.00127758784224393
76,"KIAA0232",0.0012992337558999
77,"ENSG00000234080",0.00130955070157415
78,"CLINT1",0.00133034855418065
79,"EWSR1",0.00134082298167604
80,"SYT5",0.00136279043860905
81,"TMEM121B",0.00136643938659594
82,"ENSG00000273270",0.0013680078671091
83,"LINC01547",0.00136969621930185
84,"FADD",0.00138879695071503
85,"ASTE1",0.00143452005844147
86,"TRHDE-AS1",0.00144815790171054
87,"DDX1",0.0014559403717171
88,"GRPEL2-AS1",0.00147208555938876
89,"HBA2",0.00150330067859716
90,"PITX1-AS1",0.00151214310055629
91,"SATB2",0.00152374045207062
92,"NOVA1-DT",0.0015269863866344
93,"LINC02373",0.00153140114457121
94,"KBTBD4",0.00153263231179483
95,"LANCL2",0.00153794615607588
96,"RPUSD2",0.00153925477667598
97,"LINC01563",0.00154602964671141
98,"MED19",0.00158120212672457
99,"PATE2",0.00159336099915548
100,"MRPL20-AS1",0.00162152806964448
101,"TRIM61",0.00164035240041063
102,"UBTF",0.00164561520775508
103,"GPR68",0.00165468714032204
104,"HSPA8P19",0.00165479106089643
105,"SLC35B2",0.00165976871555635
106,"NDUFS3",0.0016716155241888
107,"TUBE1",0.00167882488353748
108,"GRK3",0.00168704312955321
109,"PRPF4",0.00169999062306611
110,"IMP3",0.00171495177884657
111,"ZNF543",0.0017249936373844
112,"ENSG00000278983",0.00174796900818187
113,"COPB2",0.00179474584931391
114,"ENSG00000266922",0.00179653251597493
115,"VANGL1",0.00181553819625786
116,"IGHV1OR15-6",0.00181943724485551
117,"ELF4",0.0018298869182898
118,"CPSF3",0.00184528157953056
119,"MRPL46",0.00186073765531556
120,"MT-RNR2",0.00187169804048813
121,"TOMM20L",0.00188979316025491
122,"RNY3P16",0.00189967544027143
123,"HNRNPA3P12",0.00190107046503556
124,"RREB1",0.00191760028680184
125,"HSPA4",0.00192545647336778
126,"LINC01544",0.00195035719238185
127,"ENSG00000284663",0.00195144024904571
