"Rank","Gene","p_value"
1,"EDA2R",4.37870980029585e-19
2,"Y_RNA",1.7527554540301e-15
3,"LNCTAM34A",7.40584537856129e-14
4,"SPATA18",8.51337621517057e-14
5,"LTBP2",1.03940765857782e-13
6,"PTCHD4",2.18717213448429e-13
7,"KCNMB2-AS1",3.00825488862532e-11
8,"PPP2R2C",3.22352072032841e-10
9,"PLCE1",4.09487477783973e-10
10,"LIPH",5.60761257658111e-10
11,"ITGBL1",1.00758193865756e-09
12,"ZMAT3",1.68733107780711e-09
13,"DDB2",3.02571891779936e-09
14,"ENSG00000286395",4.5616615548031e-09
15,"XG",5.44082524881641e-09
16,"Metazoa_SRP",5.99090681186679e-09
17,"DUXAP10",6.0054103644801e-09
18,"ETV5",1.13585135726644e-08
19,"ETNPPL",1.2026835280519e-08
20,"ETV4",1.22365869154818e-08
21,"PODNL1",1.27420054208421e-08
22,"PLEKHH2",1.36090615167002e-08
23,"COMP",1.42224720308872e-08
24,"EIF4A2P1",2.46239378855489e-08
25,"GDF15",2.95686755233636e-08
26,"ENSG00000282917",3.14820211088281e-08
27,"LINC00475",3.55760822073159e-08
28,"EPHA6",3.63849943061435e-08
29,"PURPL",3.66042389439482e-08
30,"HOMER3",4.30926265455554e-08
31,"ENSG00000254680",4.59100624986922e-08
32,"HBA2",5.60645063632617e-08
33,"HTRA1",7.47115218945635e-08
34,"CCDC185",7.53811935345402e-08
35,"CBLN1",8.1357110868434e-08
36,"HBB",8.2588622243508e-08
37,"IGFBP3",8.96247081541173e-08
38,"GTF3C2-AS1",8.96303951016542e-08
39,"REPS2",9.29845218043965e-08
40,"BTF3P3",1.12660220151847e-07
41,"ZNF676",1.1823302741857e-07
42,"ENSG00000280206",1.2081708534507e-07
43,"TOMM40P2",1.31297052867184e-07
44,"ENSG00000281920",1.39270154618954e-07
45,"LRP5L",1.5279143293791e-07
46,"HDAC1P1",1.57954687816519e-07
47,"PDIA2",1.90129721374962e-07
48,"GNB3",1.93373336493731e-07
49,"ENSG00000286447",1.94728470889911e-07
50,"MTHFD2P1",1.96341619226089e-07
51,"MYO1D",1.96499228416917e-07
52,"ENSG00000287279",2.24233094987836e-07
53,"SNORA28",2.36678312841651e-07
54,"CFAP251",2.83562107499288e-07
55,"ENSG00000267009",2.99717164105801e-07
56,"DUXAP8",3.20609876337271e-07
57,"MT-TE",3.24539921696554e-07
58,"FMO3",3.4019685947995e-07
59,"HPCAL4",3.44614028063014e-07
60,"ENSG00000225649",3.46888514395391e-07
61,"ARHGAP22",3.5813116173936e-07
