"Rank","Gene","p_value"
1,"ETNPPL",1.180776575977e-10
2,"LPAR3",3.22766537446734e-10
3,"FREM2",8.1706971746302e-10
4,"AFG1L",1.25504199665081e-09
5,"ENSG00000255085",1.59327200165444e-09
6,"SEMA6D",1.9890362304086e-09
7,"PRKAB2",2.44820092779672e-09
8,"SYT7",2.57931187531972e-09
9,"TMEM177",2.68761458146523e-09
10,"AURKA",2.79408543811522e-09
11,"FAM83F",3.16232454475146e-09
12,"ALAS1",3.27975726483787e-09
13,"CSRP2",3.29935191717146e-09
14,"HIBCH",3.70861230059052e-09
15,"COX10",3.76538190323084e-09
16,"MRPS22",4.1276339748618e-09
17,"EYA1",4.30264547394224e-09
18,"DPP3P2",4.38110427332819e-09
19,"PAQR9",4.5516104095391e-09
20,"MACROD2",5.48012205009245e-09
21,"PCCA",5.48343726256203e-09
22,"TMEM186",5.59231558855391e-09
23,"CALM3",5.66107913458503e-09
24,"SUCLA2",5.68894882692084e-09
25,"MRPS18B",5.81464826053428e-09
26,"ABCD3",5.93602698100879e-09
27,"HOOK1",5.98738055182761e-09
28,"ADAM23",6.65042674507593e-09
29,"SYPL2",6.76438630241488e-09
30,"TUSC3",6.94324429017517e-09
31,"PARP1",7.11105637668965e-09
32,"APOOL",7.76215424481642e-09
33,"PDHX",7.8389801974102e-09
34,"ABCB7",7.86938640168774e-09
35,"GSPT2",7.91982744897098e-09
36,"DPY19L2P2",7.93484936201551e-09
37,"SPRYD4",8.03019164066849e-09
38,"PLEKHH1",8.06189435061659e-09
39,"TRIM69",8.23277994041388e-09
40,"CTSLP2",8.29414787136145e-09
41,"AIMP2",8.32248228335581e-09
42,"HINT3",8.42844990785141e-09
43,"AR",8.43142928919318e-09
44,"STRIP2",8.79618040793458e-09
45,"NOC2LP1",8.83874648706641e-09
46,"ADHFE1",9.92009571853922e-09
47,"AKAP6",9.96386643837328e-09
48,"B4GALNT1",1.02536626318713e-08
49,"DLD",1.06948054599631e-08
50,"MCCC1",1.11667056645559e-08
51,"ARMCX6",1.11988453160156e-08
52,"PDSS1",1.14561935761155e-08
53,"NPY6R",1.15079522025285e-08
54,"COPG2",1.1604100261452e-08
55,"CHRNB1",1.18053211361665e-08
56,"MRPL46",1.19064318291307e-08
57,"GFM2",1.20168309328686e-08
58,"TSPAN12",1.20592291785335e-08
59,"RAB3IP",1.23686002148714e-08
60,"ENSG00000238358",1.23791751069281e-08
61,"CPNE4",1.2509361829452e-08
62,"MRPL35",1.26728101070627e-08
63,"C2orf88",1.31049134609155e-08
64,"VDAC2P5",1.37140497094448e-08
65,"FASTKD2",1.37754083494163e-08
66,"ENSG00000279878",1.3811607588211e-08
67,"PTGR2",1.38642873406525e-08
68,"LARGE1",1.39278258136393e-08
69,"MRPS30",1.39365854567446e-08
70,"TRAK1",1.39511652573755e-08
71,"PAQR9-AS1",1.42601237973978e-08
72,"UQCRHL",1.48982020115355e-08
73,"MRPS9",1.51033433927649e-08
74,"UQCRFS1",1.54897822233721e-08
75,"PAM",1.5908838063037e-08
76,"KIFBP",1.60257442024045e-08
77,"MACROH2A2",1.63642511530258e-08
78,"NIPAL3",1.6409704323484e-08
79,"PFN2",1.65001629047311e-08
80,"PSD3",1.70695905331e-08
81,"RNF5",1.71386800709369e-08
82,"PMS2P5",1.75830283098331e-08
83,"PUDP",1.77389299897378e-08
84,"KCNN2",1.78274797640303e-08
85,"PTGES3L",1.82138473029273e-08
86,"NDUFAF1",1.84590928101888e-08
87,"AIFM1",1.84932822915731e-08
88,"TIMM21",1.85579666515175e-08
89,"PHACTR1",1.8598769233723e-08
90,"EGF",1.86126108540804e-08
91,"ZNF407-AS1",1.86553976039702e-08
92,"MAD2L1BP",1.88557697131677e-08
93,"CXADR",1.89723500631315e-08
94,"CHCHD7",1.91930347330664e-08
95,"ENSG00000228363",2.09397732857317e-08
96,"PKIA",2.12797700751416e-08
97,"PLGRKT",2.14910864584838e-08
98,"RANBP6",2.14947374860637e-08
99,"NDUFS1",2.18245724303105e-08
100,"LPCAT3",2.18471885807965e-08
101,"PANK4",2.18865850131234e-08
102,"EDARADD",2.23584081160557e-08
103,"CPVL",2.24186212418084e-08
104,"RALGPS2",2.29048985032936e-08
105,"TMEM117",2.31352544216272e-08
106,"TIGD2",2.3286096619794e-08
107,"ENSG00000288659",2.33054573073472e-08
108,"CADM1",2.33147431235556e-08
109,"THNSL1",2.38273836348111e-08
110,"SUOX",2.41384898946052e-08
111,"DLAT",2.43790716827815e-08
112,"NNT",2.48996199059214e-08
113,"NKILA",2.51805248126086e-08
114,"MRPL30",2.5378259350781e-08
115,"CD36",2.54114673943423e-08
116,"LIAS",2.55056544880703e-08
117,"OXCT1",2.55858533651095e-08
118,"PGM5",2.57031272842516e-08
119,"MARS2",2.5909258188465e-08
120,"NDUFS2",2.63065921694654e-08
121,"ADA2",2.63789054635516e-08
122,"DNAJC28",2.65251022695329e-08
123,"SDHD",2.66984054284567e-08
124,"H1-0",2.72257561446257e-08
125,"SUCLG2",2.74539725523838e-08
126,"LPAR5",2.74852776698732e-08
127,"STAU2",2.78427004204732e-08
128,"TOMM40L",2.83049474548631e-08
129,"GTPBP8",2.84655135062365e-08
130,"MRPL1",2.84847037008464e-08
131,"OXSM",2.85061650230134e-08
132,"RNF150",2.85347840161697e-08
133,"HCCS",2.96923955527575e-08
134,"BVES",2.98337511876204e-08
135,"TMEM164",2.9955943613806e-08
136,"DUS4L",3.01461776149806e-08
137,"MAIP1",3.03102886798994e-08
138,"TNIK",3.03503712191539e-08
139,"PLCL1",3.0352704881864e-08
140,"ENSG00000197815",3.03917343436918e-08
141,"MRPS18A",3.09117741932811e-08
142,"MAN1A2P1",3.0956361266367e-08
143,"GCDH",3.1390173409869e-08
144,"HARS2",3.23127053212398e-08
145,"LRPPRC",3.23255202296686e-08
146,"ATP5PB",3.2363432084252e-08
147,"OPA1",3.35437194614088e-08
148,"EARS2",3.39623051352292e-08
149,"CAVIN4",3.42903070408548e-08
150,"HLTF",3.45074781254192e-08
151,"COPS7A",3.50907865865169e-08
152,"PCDHGB3",3.57729361520351e-08
153,"LAPTM4B",3.58650954650687e-08
154,"IDH3A",3.64047283371131e-08
155,"ETFDH",3.68837061181297e-08
156,"SDHC",3.73167118494221e-08
157,"PDHB",3.77603004371e-08
158,"IMMT",3.79351419125689e-08
159,"ANK3",3.82481509017336e-08
160,"NDUFA9",3.82699526614175e-08
161,"PPA2",3.82977542146501e-08
162,"LYRM7",3.86237551219084e-08
163,"ISOC1",3.92806827919902e-08
164,"CLIC5",3.94848145132767e-08
165,"PTDSS1",3.95167672325138e-08
166,"DLST",3.9603131616394e-08
167,"DDX1",3.99314171232099e-08
168,"ZNF697",4.00031995631591e-08
169,"TIMM8A",4.00506646177786e-08
170,"C17orf75",4.01872278366871e-08
171,"MED20",4.02816726356321e-08
172,"CBWD2",4.03950017906507e-08
173,"GJA3",4.13816851760953e-08
174,"RHOF",4.16346464721957e-08
175,"IARS2",4.16853722308025e-08
176,"DMAC2",4.17372020258163e-08
177,"AMD1P3",4.18483188926438e-08
178,"PDHA1",4.1903256580833e-08
179,"SHROOM3",4.2250347416433e-08
180,"IDH3B",4.22633428746753e-08
181,"HIF1AN",4.25525567761868e-08
182,"DDX28",4.25538185804878e-08
183,"NARS2",4.27978202286018e-08
184,"ALDH7A1",4.28496153986337e-08
185,"CLCN3",4.31484115561491e-08
186,"ACOT13",4.316340718734e-08
187,"MRPL45",4.32946646321684e-08
188,"ANK2",4.35270640687212e-08
189,"THTPA",4.37781402673528e-08
190,"HDHD2",4.44025970613723e-08
191,"PHKB",4.47252655445031e-08
192,"NDUFV2P1",4.50369380849302e-08
193,"PFKM",4.5352925333056e-08
194,"TMLHE",4.57059088541954e-08
195,"DNAJC11",4.57128525424576e-08
196,"CLCN4",4.58015020490992e-08
197,"GFM1",4.58186824527603e-08
198,"FARS2",4.73014784237793e-08
199,"PALS1",4.74924315117945e-08
200,"MICU2",4.79093849172145e-08
201,"SDHAF3",4.80272416835814e-08
202,"PIP5K1B",4.83632171391816e-08
203,"FECH",4.89575939768922e-08
204,"ASB8",4.90024215810932e-08
205,"FHIT",4.91424570393986e-08
206,"MICU1",4.94296849397695e-08
207,"BCL11A",4.95265505038389e-08
208,"SNHG14",4.97628537094593e-08
209,"BEX5",4.9819401863128e-08
210,"TSPYL1",4.98907473494837e-08
211,"ANKMY2",5.04693056387695e-08
212,"TSPYL4",5.08958324264345e-08
213,"TSLP",5.1147439368688e-08
214,"GYG1",5.12763004898857e-08
215,"FH",5.19540148871323e-08
216,"RPRD1B",5.1973941006608e-08
217,"PCCB",5.22004352255433e-08
218,"COG5",5.26472259238756e-08
219,"MYPN",5.27000550343077e-08
220,"CS",5.29120792160338e-08
221,"POLR3B",5.29681458601773e-08
222,"ERMP1",5.29715397096946e-08
223,"FGF9",5.3039990425249e-08
224,"NIPSNAP3A",5.31538512483414e-08
225,"LYPLA1",5.35246828802883e-08
226,"NDRG2",5.38713558470735e-08
227,"HIBADH",5.44608843766991e-08
228,"PIGU",5.45504546083159e-08
229,"COQ2",5.55017815651826e-08
230,"ZADH2",5.55670343213814e-08
231,"KLHL31",5.59920235708277e-08
232,"LINC00654",5.67710358902804e-08
233,"UQCRC2",5.72547094350948e-08
234,"DTWD2",5.7476180328974e-08
235,"SIAE",5.78958977936833e-08
236,"SYNJ2BP",5.79887711936187e-08
237,"ACADSB",5.82910288533941e-08
238,"MFN2",5.86478860779909e-08
239,"MRPS31",5.86965484353533e-08
240,"HOMER1",5.86991875881019e-08
241,"METAP1",5.89179136084382e-08
242,"COPS4",5.89387760038545e-08
243,"HMGN3-AS1",5.90593238903752e-08
244,"NIF3L1",5.90682924809184e-08
245,"NNT-AS1",5.9100911070646e-08
246,"FGF1",5.92362588539949e-08
247,"RNLS",5.92465371756998e-08
248,"STAG3L4",5.96172176471584e-08
249,"DMAC2L",5.98518173470977e-08
250,"PKD2L2-DT",6.03168108882365e-08
251,"NDN",6.08301713690735e-08
252,"ACO1",6.08614738627901e-08
253,"TRAP1",6.10084844789874e-08
254,"PLA2G12A",6.12640087876565e-08
