"Rank","Gene","p_value"
1,"RACK1P3",2.10418017335676e-05
2,"CYCSP49",3.46378895467802e-05
3,"ENSG00000271582",5.32257932135831e-05
4,"ENSG00000251545",7.20739188880227e-05
5,"RNU6ATAC35P",9.30808106672701e-05
6,"ENSG00000283638",9.47584300743099e-05
7,"ENSG00000223911",0.000105945525985905
8,"RN7SL392P",0.000123446434957804
9,"LINC01785",0.000134561356179103
10,"ENSG00000225923",0.000138295481067814
11,"FAF2P1",0.000149547557750451
12,"ENSG00000248586",0.000157104377405475
13,"ENSG00000286403",0.000263560956742082
14,"ENSG00000238007",0.000286685756146026
15,"LINC02751",0.000338800796192779
16,"OR4X1",0.000352151307532001
17,"RNU6-724P",0.000372934663817256
18,"RNU5F-4P",0.000399056794166543
19,"RN7SL5P",0.000415794105770041
20,"MRRFP1",0.000496451450812481
21,"ENSG00000213690",0.000509352597423704
22,"SEPTIN14P17",0.00051483688194264
23,"LPL",0.000542993447119226
24,"LINC00698",0.000625140972179725
25,"COX5AP2",0.00063211806763225
26,"ENSG00000269931",0.000640556978513762
27,"EIF4A2P2",0.000690415870322378
28,"ENSG00000288069",0.000691333565786917
29,"ENSG00000271367",0.000691604348320738
30,"ENSG00000250611",0.000708444524409086
31,"ENSG00000285746",0.000716599297828308
32,"TMEM255A",0.000775349541030154
33,"RN7SL716P",0.000783197842990557
34,"ENSG00000267215",0.00082903132438768
35,"SCARNA7",0.000941400530473002
36,"ENSG00000264765",0.000960574204553748
37,"ENSG00000230197",0.000962923241243954
38,"MTND4LP17",0.000978921677568524
39,"RN7SL552P",0.00101481682836313
40,"ZNF775-AS1",0.0010219454155331
41,"ENSG00000287235",0.00102585822344347
42,"SMU1P1",0.00102941154227997
43,"ENSG00000288978",0.00105350533075808
44,"SCDP1",0.00105588341687482
45,"ENSG00000180015",0.00106474317635028
46,"ENSG00000279652",0.00109028323224652
47,"ENSG00000254222",0.00110628203249555
48,"ENSG00000275647",0.00116328261051164
49,"ENSG00000231703",0.00120160979171359
50,"ENSG00000285615",0.00121118369568164
51,"ENSG00000286146",0.00121742872960494
52,"RPL31P35",0.00123547538470077
53,"NELL1",0.00126334978441046
54,"ENSG00000232454",0.00127737571224755
55,"DACT2",0.0012805693956157
56,"ENSG00000256609",0.00128788653795047
57,"SSX9P",0.00130290984081677
58,"RHPN2P1",0.00131795250489492
59,"RN7SL698P",0.00132017901941484
60,"RN7SL78P",0.0013265673983745
61,"RN7SKP39",0.00132921880900728
62,"FEZF1-AS1",0.00134836724421676
63,"MTND2P23",0.00135146537814409
64,"RPL21P65",0.00136474499510801
65,"MIR4443",0.00139377685425488
66,"MIR656",0.00140017281975562
67,"ENSG00000289422",0.00140435784767254
68,"ENSG00000254057",0.00145628564637592
69,"ENSG00000267703",0.00149239710022816
70,"PANCR",0.00158478920116339
71,"ENSG00000267428",0.00161017600060504
72,"ELOCP18",0.00161017600060504
73,"ENSG00000228210",0.00161017600060504
74,"ENSG00000286477",0.00161017600060504
75,"BCRP9",0.00161017600060505
76,"LINC01256",0.00161017600060505
77,"RN7SL616P",0.00161017600060505
78,"RNU1-7P",0.00161017600060505
79,"ENSG00000223469",0.00161017600060505
80,"ENSG00000226716",0.00161017600060505
81,"ENSG00000255127",0.00161017600060505
82,"ENSG00000235756",0.00161017600060505
83,"ENSG00000253834",0.00161017600060505
84,"ENSG00000238694",0.00161017600060506
85,"ENSG00000264689",0.00161017600060506
86,"ENSG00000277408",0.00161017600060506
87,"MIR29A",0.00161017600060506
88,"RN7SL366P",0.00161017600060506
89,"RNU6-425P",0.00161017600060506
90,"ANKRD11P1",0.00161017600060506
91,"ENSG00000232161",0.00161017600060506
92,"ENSG00000256813",0.00161017600060506
93,"LINC01683",0.00161017600060506
94,"MIR548AW",0.00161017600060506
95,"SLC35G4",0.00161017600060506
96,"ENSG00000214254",0.00161017600060506
97,"ENSG00000286936",0.00161017600060506
98,"TYRL",0.00161017600060506
99,"CASP3P1",0.00161017600060506
100,"RNU6-1128P",0.00161017600060506
101,"LPCAT2BP",0.00161017600060507
102,"ENSG00000279798",0.00161172566004956
103,"GOLGA2P4",0.0016301879436173
104,"LGSN",0.00167229682018411
105,"HSPE1P11",0.00175634830836842
106,"TNRC18P1",0.00176108162925265
107,"ENSG00000239705",0.0017933970750479
108,"ENSG00000260487",0.00181539960482502
109,"ENSG00000115934",0.00187831387915081
110,"TMEM132D-AS2",0.00187840691374851
111,"LMX1A-AS1",0.00187881108049067
112,"ENSG00000232638",0.00191602353772641
113,"TTBK1",0.00194862677748616
114,"ENSG00000285608",0.00196623631901865
115,"COX7A2P1",0.00197133063229839
116,"KRT125P",0.0019808456856182
117,"MTND5P31",0.00201188278816393
118,"ENSG00000279432",0.00205007357836703
119,"ENSAP2",0.00211052902779655
120,"ENSG00000204814",0.00211650451701747
121,"ENSG00000248286",0.00212342142386075
122,"ENSG00000201245",0.00217377637386615
123,"ENSG00000285165",0.0021774406621859
124,"ENSG00000227291",0.00218337333123594
125,"ENSG00000253858",0.00219488052107661
126,"TMEM207",0.0022003781532
127,"LINC02500",0.00222388299870139
128,"ENSG00000286466",0.00224850244395382
129,"ENSG00000254397",0.00225428687946602
130,"OR10W1",0.00228658891131102
131,"TMCO5B",0.00230807358394317
132,"ENSG00000250659",0.00235102780772008
133,"RNU6-790P",0.00240362062278322
134,"VTRNA1-3",0.00240449764765385
135,"HNRNPA1P61",0.0024231571180406
136,"CCDC185",0.00244073459599755
137,"ENSG00000253286",0.00245502012869987
