"Rank","Gene","p_value"
1,"Y_RNA",4.06208366407463e-11
2,"MTCO2P2",2.74383782566897e-05
3,"MIR9-3HG",4.70261674651097e-05
4,"ENSG00000267026",6.06638758171114e-05
5,"CIPC",7.63477816179001e-05
6,"RPRD1B",9.93654498655032e-05
7,"SSTR5-AS1",0.000115304153345531
8,"DUSP16",0.000126949916753094
9,"LINC01001",0.000128495090692569
10,"ENSG00000269889",0.000146696640392609
11,"BLOC1S4",0.000166408882577918
12,"DLK2",0.000167831894768923
13,"RRP1B",0.000171709114822897
14,"PTPRH",0.000176389091251116
15,"SKA3",0.000203609159292578
16,"ASB1",0.000214299794154605
17,"RPL35AP9",0.000229101493096915
18,"EXOC3L4",0.000241626865193691
19,"STK32C",0.000246502834152325
20,"RBM4",0.000268569614502791
21,"DPH2",0.000288673140964104
22,"FBXO45",0.000291077164526543
23,"ENSG00000259727",0.000302659971524558
24,"SNX25P1",0.000302690660998466
25,"PCDHGA11",0.00030594432093315
26,"RBM14",0.000316196586654507
27,"ENSG00000289189",0.000318494689630185
28,"LINC00624",0.000325839120361446
29,"C14orf180",0.000329891049506333
30,"PCDHGA12",0.000339368044190422
31,"ENSG00000288234",0.000341027828623971
32,"RRP7A",0.000355954616586911
33,"ENSG00000287951",0.000365002417870499
34,"DPEP1",0.000371060477297641
35,"VPS37B",0.000409430302330568
36,"IGF2",0.000430658059266491
37,"UBQLN2",0.000448788441592576
38,"RUVBL1",0.000450081822569549
39,"DDX59-AS1",0.000455547051960309
40,"TTLL13P",0.000455990708556147
41,"PCOLCE-AS1",0.000458268648712208
42,"ZNF525",0.00046555128235937
43,"ENSG00000266677",0.000468255874196954
44,"ENSG00000274414",0.000468266731236595
45,"BRAP",0.00049209023965261
46,"EN2",0.000494714266550833
47,"HTR6",0.00050057365501768
48,"ZNF556",0.000500782157836123
49,"WDR74",0.000505026294330836
50,"KLHL8",0.000551951269673704
51,"NOL10",0.000575663864965544
52,"STAM",0.000575744011046433
