"Rank","Gene","p_value"
1,"ZNF518B",5.74585489614589e-12
2,"NEFH",6.86947094530368e-10
3,"ZIC1",1.08777206409883e-09
4,"PODXL2",3.47005147841837e-09
5,"FZD9",1.20154055623016e-08
6,"CCNE1",1.66407803301455e-08
7,"SOX17",2.02483294490069e-08
8,"ENSG00000265206",2.57993667554812e-08
9,"BMF",4.93005016305469e-08
10,"CEACAM21",5.68951718198399e-08
11,"PTAFR",8.98954739249758e-08
12,"RGS19",1.05213541602653e-07
13,"PPM1F",1.12570046858331e-07
14,"PROB1",1.49200011148e-07
15,"HPSE",1.63921305733181e-07
16,"LINC01678",1.64735089768426e-07
17,"ELF4",1.66942831904181e-07
18,"BLM",2.28928233532912e-07
19,"SLC43A2",2.46749015318443e-07
20,"LINC02908",2.58911912628537e-07
21,"P2RY6",2.62899727808376e-07
22,"MIR223HG",2.78180861750251e-07
23,"CCR2",2.84355910527635e-07
24,"RN7SL650P",2.85685560288406e-07
25,"MPEG1",2.88345761313785e-07
26,"CSF2RB",2.98336093012351e-07
27,"ACE",2.99548187357567e-07
28,"CD300C",3.28854854993672e-07
29,"PCDH17",3.33958940512004e-07
30,"CRYBB1",3.77123838190575e-07
31,"GIMAP6",3.99460630648963e-07
32,"ARRB1",4.14169549605898e-07
33,"ENSG00000256399",4.29890799145382e-07
34,"SNN",4.57400933650484e-07
35,"DOK1",4.61969547090548e-07
36,"ACVRL1",4.64912896071504e-07
37,"FREM2",4.89994961663969e-07
38,"ENSG00000279520",5.13209458268365e-07
39,"CPVL",5.72351128779429e-07
40,"APOBR",6.37131003690604e-07
41,"RTL6",6.46096098687362e-07
42,"ENSG00000250899",7.01506204384342e-07
43,"TMEM229B",7.95612391067127e-07
44,"RFLNB",8.10686641130375e-07
45,"LILRA1",8.2316102558055e-07
46,"ENSG00000287872",8.50324454858811e-07
47,"ARRB2",8.73761590253007e-07
48,"AIFM3",8.87660457728636e-07
49,"ARHGAP30",1.04133593721014e-06
50,"DUSP7",1.06126588933649e-06
51,"TMEM121B",1.09325472833904e-06
52,"HJURP",1.12590098469131e-06
53,"HK2-DT",1.12912099246912e-06
54,"GIT1",1.14632796807482e-06
55,"ENSG00000254873",1.21203400083553e-06
56,"GPR84",1.21483421094129e-06
57,"LST1",1.26265529080402e-06
58,"LMO2",1.28057558010815e-06
59,"ZNF319",1.2923730473619e-06
60,"STK32C",1.33609258217884e-06
61,"FERMT3",1.3574285595388e-06
62,"EFR3B",1.38532312337426e-06
63,"LILRA2",1.3916080205916e-06
64,"ARC",1.39789415402905e-06
65,"TROAP",1.41343660872518e-06
66,"PTPRO",1.4252879861799e-06
67,"LPAR5",1.45351633272015e-06
68,"CCR1",1.49270753823842e-06
69,"ENSG00000288393",1.51063053790402e-06
70,"ARHGAP31",1.5593421523017e-06
71,"HEG1",1.60150344751551e-06
72,"UCP2",1.62791734915335e-06
73,"CCR5",1.64038946309409e-06
74,"CYBB",1.66155738794146e-06
75,"NRROS",1.69707601502113e-06
76,"MKI67",1.73710342810251e-06
77,"ZNF574",1.77934998776557e-06
78,"FSCN1",1.79645217694733e-06
79,"LGALS4",1.80290428995453e-06
80,"SIRPB2",1.81661601255329e-06
81,"B3GALT4",1.86775769733094e-06
82,"KREMEN1",1.893573670156e-06
83,"DCHS1",1.95687482533765e-06
84,"ASF1B",1.98144706564313e-06
85,"LGMN",2.01506120090169e-06
86,"PCDH12",2.05303281099269e-06
87,"SYK",2.07639358602005e-06
88,"GTSE1",2.13873336732088e-06
89,"SELPLG",2.18331187592016e-06
90,"RNASE2",2.31327218011318e-06
91,"RACGAP1",2.32397841976949e-06
92,"CD86",2.37054893986057e-06
93,"KIF18B",2.38791629564798e-06
94,"S1PR4",2.47066099372762e-06
95,"SNX20",2.51079338973137e-06
96,"CYP2S1",2.5294839827473e-06
97,"ENSG00000279019",2.58065048068643e-06
98,"KIFC1",2.64081759980188e-06
99,"SYNPO",2.65905827563339e-06
100,"C3orf14",2.7146265495178e-06
101,"TIE1",2.83179315100329e-06
102,"GIMAP7",2.83496688225506e-06
103,"LILRB2",2.84094557060425e-06
104,"HCK",2.96120402363397e-06
105,"FCHO1",2.96140446565034e-06
106,"SALL2",3.00160486086847e-06
107,"EPB41L3",3.05425613995055e-06
108,"ATXN1L",3.07736927925216e-06
109,"C16orf54",3.10714625949428e-06
110,"CPNE2",3.11858524534397e-06
111,"LILRB4",3.33634073965939e-06
112,"FEZ1",3.3940247799473e-06
113,"ENSG00000255197",3.46628755953949e-06
114,"RAD54L",3.60937676823595e-06
115,"UHRF1",3.63352744508978e-06
116,"ULBP2",3.67188093535539e-06
117,"ENSG00000286171",3.67190679520801e-06
118,"PTK6",3.74015040448407e-06
119,"E2F2",3.80478093834397e-06
120,"ENSG00000287623",3.81412763437338e-06
