"Rank","Gene","p_value"
1,"ITGBL1",2.2099993630445e-29
2,"FRZB",4.72919737121369e-26
3,"CDKN2A",2.97455460096446e-25
4,"EDA2R",3.87254462921252e-24
5,"NEFH",6.33443639442935e-21
6,"DPT",1.33733671617979e-20
7,"PTCHD4",4.85506522396234e-20
8,"RAMP1",2.87027913211861e-19
9,"ZMAT3",4.21672169916291e-19
10,"NALCN",4.662840749713e-19
11,"AEBP1",2.17996573840463e-18
12,"XAGE2",2.31781046219295e-18
13,"TMEM130",2.92563877747441e-18
14,"HHIP-AS1",5.63163348484038e-18
15,"SMOC2",6.65271703531357e-18
16,"GALE",6.90440965163821e-18
17,"ACP3",2.06052934968834e-17
18,"FUT3",2.51976461574451e-17
19,"GSTO2",2.9404281836299e-17
20,"SERPING1",2.99879641663267e-17
21,"GOLT1A",3.3707275618448e-17
22,"PTGDS",3.67610371977953e-17
23,"FAM241B",5.6198162911395e-17
24,"CBLB",7.9303419784847e-17
25,"FXYD1",8.39734372249975e-17
26,"PAK6",1.08599955032217e-16
27,"ENSG00000167912",1.20050753697888e-16
28,"TTC39A",1.65653245429229e-16
29,"LINC00924",1.70789902730255e-16
30,"SFXN2",1.72971994676703e-16
31,"PEG10",2.07441604759271e-16
32,"PDE1A",2.30715545647892e-16
33,"FGF14",2.64188498829955e-16
34,"DEPP1",2.88734823656936e-16
35,"HOXB4",3.65145528976983e-16
36,"ENSG00000244593",3.66811470477078e-16
37,"PCDHB2",3.98550823890419e-16
38,"PRKAA2",4.05404763191047e-16
39,"HKDC1",4.09124814952022e-16
40,"ENSG00000263612",4.37128601702519e-16
41,"IRX1",5.44863781332381e-16
42,"SLC29A2",7.27757632209815e-16
43,"NBL1",7.51247674979393e-16
44,"KLF17",7.92394342941643e-16
45,"HHIP",9.30117879144434e-16
46,"MCM2",1.08180929876422e-15
47,"TST",1.16626989188967e-15
48,"HSPB6",1.2825467175766e-15
49,"ENOSF1",1.46118567276856e-15
50,"MAD2L1BP",1.56270114485019e-15
51,"LOX",1.65670883130655e-15
