"Rank","Gene","p_value"
1,"TNN",3.60866059865583e-15
2,"PRSS12",8.27405463491655e-15
3,"COLCA2",3.30654449906366e-14
4,"KCNK5",2.02048370730373e-13
5,"CNTNAP3",4.89790972620803e-13
6,"HES1",2.55887656317818e-12
7,"ENSG00000237530",2.74760739810109e-12
8,"ATP6V0A4",3.26984980426201e-12
9,"HAPLN1",1.0308764755728e-11
10,"BMS1P3",1.89585852441126e-11
11,"ZNF793",2.24139348676676e-11
12,"AGAP11",2.24580080251608e-11
13,"PICART1",2.25896878902497e-11
14,"LINC01436",6.51501401642796e-11
15,"SLC38A3",1.06352246064357e-10
16,"PLAAT2",1.41885689952973e-10
17,"CGB7",1.59098514856075e-10
18,"DUSP2",1.63441390946259e-10
19,"TRPV6",1.700457383791e-10
20,"SPTSSB",1.95197861396122e-10
21,"BHLHE40-AS1",2.03421751819398e-10
22,"GPM6A",2.04688376493055e-10
23,"LGR5",2.22354277680028e-10
24,"GREM2",2.46165654846309e-10
25,"LRP4",3.04648123916651e-10
26,"STX1B",4.22312097159071e-10
27,"DLX6",4.24316034815941e-10
28,"TMEM213",4.24620237413362e-10
29,"MIR222HG",5.80827016323273e-10
30,"RORB",5.85468589943694e-10
31,"GIPC2",7.28462034171096e-10
32,"ODC1-DT",1.00701307654345e-09
33,"SFRP2",1.11285285939985e-09
34,"PBX4",1.16393030310098e-09
35,"RNF165",1.17139940449117e-09
36,"SEZ6L",1.40532870449371e-09
37,"RERG",1.48163229158709e-09
38,"NTRK3",1.52175774272006e-09
39,"FLVCR2",1.55196779144756e-09
40,"MCC",1.63532811326071e-09
41,"LRRC10B",1.74451639806621e-09
42,"SLC2A4RG",1.88764295194519e-09
43,"WNT3A",2.03612799488829e-09
44,"FGF9",2.24851221601082e-09
45,"ENSG00000205325",2.31252564911337e-09
46,"SLC25A25-AS1",2.3411382104417e-09
47,"ENSG00000276517",2.51859274266804e-09
48,"C11orf16",2.68102637955395e-09
49,"DMRT2",2.93581276268686e-09
50,"RIMS4",2.96418361336559e-09
51,"ENSG00000282855",3.15289427566635e-09
52,"ERBB3",3.18998810267137e-09
53,"DLX6-AS1",3.521257853728e-09
54,"ZSCAN1",3.81939586851777e-09
55,"ENSG00000230747",3.83006880663475e-09
56,"SLC9B1",4.25657293082753e-09
57,"CA13",4.44564201090807e-09
58,"RUNX3",4.5711047732536e-09
59,"NTN5",4.6234881565697e-09
60,"RSPH14",4.75207338439321e-09
61,"MPC1",4.84070923010002e-09
62,"SLC7A14-AS1",5.07836797848941e-09
63,"MFAP4",5.16510631073621e-09
64,"PLLP",5.35970524645158e-09
65,"LEPR",5.66681185690125e-09
66,"CXCL14",5.77024902608676e-09
67,"ITPKA",5.80463240020496e-09
68,"ALOX12P2",6.11182556903798e-09
69,"PRDM5",6.97975786661746e-09
70,"SLC4A4",7.16088840648125e-09
71,"CA12",7.16418632984349e-09
72,"ENSG00000286389",7.24726217456308e-09
73,"IL33",7.31502988462009e-09
74,"SEC1P",7.91092601785427e-09
75,"BCO2",7.98635958350312e-09
76,"ERVK9-11",8.12206101747719e-09
77,"TSPAN5",8.51324380354342e-09
78,"CERS4",9.62403314013546e-09
79,"ENSG00000279713",9.73654696832472e-09
80,"FOXJ1",1.06260413958649e-08
81,"FBXO17",1.16526969125771e-08
82,"NTF4",1.19680694187509e-08
83,"LTBP4",1.2282852960534e-08
