"Rank","Gene","p_value"
1,"RADX",3.56045078409761e-38
2,"EPB41L3",6.82504201671117e-37
3,"ENSG00000289615",2.86405185807688e-34
4,"MYH8",1.84040901282248e-32
5,"ENSG00000262855",2.26249859264037e-32
6,"USP6",4.81679094474452e-32
7,"CYP26B1",4.5578836249205e-31
8,"EDA2R",1.23087706479044e-29
9,"CLIC6",5.22928773738929e-29
10,"ENSG00000287263",1.59295846993229e-28
11,"SKAP2",5.19781818191427e-28
12,"H3C6",7.95098478558515e-28
13,"UNC13C",8.24185071198946e-28
14,"Y_RNA",5.79188919769336e-27
15,"ENSG00000287047",8.62095718076548e-27
16,"MYO5C",2.01439533479855e-26
17,"OPRD1",4.73206469627273e-26
18,"BEX2",1.1676174096449e-25
19,"Metazoa_SRP",1.18032714905088e-25
20,"MIR34AHG",1.43336642069344e-25
21,"GALNTL6",1.57960850373108e-25
22,"NOTUM",2.92076251519348e-25
23,"H2BC11",3.82034046835982e-25
24,"SRRM1",6.16099242272501e-25
25,"IGF2",1.00407910801333e-24
26,"PPDPF",1.04291751734601e-24
27,"GUCD1",1.17150009489172e-24
28,"NOXA1",1.20500582869212e-24
29,"RTTN",3.22173930846605e-24
30,"TTLL3",3.60400531917343e-24
31,"SLC4A5",4.85249172502933e-24
32,"SDR39U1",5.13104889680126e-24
33,"PLAT",5.29228694238986e-24
34,"SPATA18",6.08464385115616e-24
35,"OBSL1",6.50093679417816e-24
36,"PRKACB-DT",7.51655969854081e-24
37,"CYP11A1",1.35941831466802e-23
38,"MAGED1",1.36383992072681e-23
39,"PCDHB14",1.84529423572273e-23
40,"VWCE",2.22232522197466e-23
41,"FAM171A1",2.50541131915421e-23
42,"CCR10",3.16300938190358e-23
43,"TARBP1",3.33107004046369e-23
44,"ENSG00000249679",3.84837660590454e-23
45,"UBAP1L",4.51031282182531e-23
46,"ENSG00000280323",5.37045999047109e-23
47,"RTL8C",6.64112079447047e-23
48,"PER3",6.90874696525563e-23
49,"PPIEL",1.06450477020817e-22
50,"SCARF1",1.0954863497164e-22
51,"WBP1",1.14225664614637e-22
52,"ARMCX4",1.38720643251834e-22
53,"GAS6-AS1",2.05299327257999e-22
54,"DUXAP10",2.41388240588964e-22
55,"STRADB",3.06290005028515e-22
56,"CCDC171",3.42150040439869e-22
57,"STIM2",3.43462448294263e-22
58,"IL15",4.68837735426584e-22
59,"ENSG00000289288",4.99043493051183e-22
60,"APOM",5.24570825521402e-22
61,"GOLGA8B",5.4000684396212e-22
62,"DRD4",5.42824240520462e-22
63,"ACBD4",5.53422666114953e-22
64,"FST",5.55008867519546e-22
65,"NRN1",6.48539071254024e-22
66,"CD74",8.09102331591224e-22
67,"DIP2A",8.46401246819919e-22
68,"ZNF385C",9.1673564678726e-22
69,"ATP1A4",1.27872909480119e-21
70,"TMEM178A",1.34195421394702e-21
71,"GLOD4",1.41020048030496e-21
72,"BMP8A",1.56160081375327e-21
73,"HLA-DPA1",1.78656760586556e-21
74,"PPIH",1.82190885772648e-21
75,"DUXAP8",2.1557360625097e-21
76,"CDKN2A",2.34885278394085e-21
77,"BCAM",2.53765357600567e-21
78,"MST1",2.62951824962834e-21
79,"POLE",2.64399355232182e-21
80,"ACAD11",3.93418162160361e-21
81,"ENSG00000232926",4.50049213804013e-21
82,"CHAD",4.92107168781917e-21
83,"ARHGAP36",5.05158203023813e-21
84,"L3MBTL2-AS1",5.52364371643972e-21
85,"TMEM240",5.6611408346813e-21
86,"LIMCH1",6.70433667915701e-21
87,"CPS1",7.84264788724861e-21
88,"ENSG00000280010",7.92278617533837e-21
89,"ANKRD10-IT1",1.07354120619535e-20
90,"SPAG16",1.29471831641958e-20
91,"TPCN2",1.59083273510724e-20
92,"MYLK4",1.83065249690263e-20
93,"ENSG00000248514",1.88110308926605e-20
94,"ZNF418",1.92099986636805e-20
95,"PLA2G4B",1.92442791459321e-20
96,"N4BP2L1",1.97930844591908e-20
97,"DDX39B",2.02320946705834e-20
98,"PRKAR1B",2.14175101471388e-20
99,"ENSG00000259351",2.33138631375151e-20
100,"CLK4",2.58001383312193e-20
101,"ENSG00000187186",2.61153818292244e-20
102,"PCDHGB2",2.80402645708778e-20
103,"ENSG00000271959",2.81061222416598e-20
104,"PRMT7",2.83215811974754e-20
105,"PLXNB2",2.87293058435202e-20
106,"DLL1",2.9576969656031e-20
107,"PCDHB4",2.97174267662735e-20
108,"SRSF5",2.9759273367731e-20
109,"RBM5",2.98497770447502e-20
110,"FAM98C",3.24080009906681e-20
111,"HLA-DRB1",3.28916923652519e-20
112,"FGGY",3.39794702159592e-20
113,"ZFYVE21",3.86051014792194e-20
114,"RRAGB",4.08899342321276e-20
115,"ZNF428",4.11296285884582e-20
116,"ZNF426-DT",4.11841502988586e-20
117,"ITGA9",4.78397730347068e-20
118,"PGM5P2",5.81575238169139e-20
119,"LINC00893",5.95665180727731e-20
120,"CYP4X1",6.61864287311872e-20
121,"EMC10",7.07099925762721e-20
122,"PURPL",7.13031993910005e-20
123,"CFAP70",7.23633043452756e-20
124,"SGSM2",1.00913538291248e-19
125,"ENSG00000267082",1.04675946155665e-19
126,"ZSCAN18",1.28590368647803e-19
127,"CNTF",1.44201441037513e-19
128,"SOX7",1.51359006008844e-19
129,"ENSG00000272872",1.53724596235333e-19
130,"MFSD14C",1.54364731951638e-19
131,"PCDHB13",1.58596296408398e-19
132,"WDR97",1.73017035012156e-19
133,"LINC02660",1.74744734819927e-19
134,"LARP4B",1.7995395630225e-19
135,"ZNF662",1.88443185386902e-19
136,"RNF10",1.94309214475936e-19
137,"SPDYE18",1.9738792032845e-19
138,"LRRK2",2.0480491878931e-19
139,"HOXA3",2.11153930804291e-19
140,"TPPP3",2.33878015114678e-19
141,"TNXB",2.35719366224332e-19
142,"ENSG00000285524",2.54095408616371e-19
143,"CZIB",2.59420901593887e-19
144,"NCAPH2",2.75852341815803e-19
145,"LTB4R",3.11649831833838e-19
146,"HMGN2",3.32219006705334e-19
147,"CENPV",3.3331493131266e-19
148,"ZNF789",3.49516437949167e-19
149,"ENSG00000260948",3.80440595480497e-19
150,"GDNF-AS1",3.83622018751727e-19
151,"KHDC1-AS1",4.07502941476915e-19
152,"PCDHB2",4.25855572902055e-19
153,"PCDHGA7",4.36670262193247e-19
154,"CCDC8",4.46651177786096e-19
155,"AKR7A2",5.53602506713374e-19
156,"DECR2",5.86566864390152e-19
157,"PTP4A1",5.93008738859776e-19
158,"PRDM5",6.21464617594925e-19
159,"UCKL1",6.40737872395565e-19
160,"TAGLN2",6.68379251290511e-19
161,"ENSG00000279159",7.53580705846834e-19
162,"FAM13A-AS1",7.5424384830773e-19
163,"CACNA2D2",7.86766667155718e-19
164,"PLSCR4",8.22673704393206e-19
165,"CHCHD7",8.97421044142348e-19
166,"TEX52",9.10282438719506e-19
167,"RASIP1",9.21902504687472e-19
168,"ZKSCAN8P1",9.83777292199304e-19
169,"KLRA1P",9.85576729326675e-19
170,"ZNF571-AS1",1.00273109238805e-18
171,"TMED4",1.0394045475476e-18
172,"AMT",1.07383083805793e-18
173,"VSTM4",1.09797952088006e-18
174,"CRYL1",1.26479258109375e-18
175,"SOX15",1.28640286362154e-18
176,"MAILR",1.31805870726784e-18
177,"ENSG00000237094",1.33712465782841e-18
178,"PCDHB5",1.37068996048095e-18
179,"ENSG00000230084",1.37444587981686e-18
180,"PHKA2",1.47841637031955e-18
181,"ENSG00000215068",1.53160227677846e-18
182,"DAAM2",1.60005784398127e-18
183,"SEMA3F",1.64531869503197e-18
184,"RN7SKP70",1.65113760758612e-18
185,"MCAM",1.66946452190047e-18
186,"MAU2",2.06859579962397e-18
187,"SPATA20",2.12888545575224e-18
188,"MAPK8IP3",2.14662605774977e-18
189,"PCDHGB3",2.21820233240354e-18
190,"ALDH1A2",2.27410312388398e-18
191,"ENSG00000260404",2.27707950230237e-18
192,"AKAP12",2.56897566709236e-18
193,"C19orf18",2.63307689069893e-18
194,"HTRA1",2.7672830741731e-18
195,"IRF2BP2",2.78467040231325e-18
