"Rank","Gene","p_value"
1,"EDA2R",3.79096342784042e-61
2,"HOXD10",6.21235887993129e-47
3,"CDKN2A",7.59790044419729e-43
4,"TFAP2B",8.80664164345667e-43
5,"ENSG00000287263",1.07940699778214e-41
6,"HAND2",1.06261675445776e-37
7,"HOXD9",2.98400234027722e-37
8,"HOXD11",9.9234129992003e-37
9,"ZMAT3",2.99772266112667e-35
10,"NTNG1",6.4388741503148e-35
11,"MIR34AHG",7.07171920276811e-35
12,"RASEF",1.15297492174874e-34
13,"RASGEF1C",3.32103014057555e-34
14,"PTCHD4",7.4178088951094e-34
15,"RAP1GAP2",5.33386448353549e-33
16,"PARP8",7.61410245853266e-33
17,"SHH",1.66627224719267e-32
18,"CNTN2",1.70363513973631e-32
19,"CORO2B",5.85044187265157e-32
20,"CYFIP2",1.05399909478453e-31
21,"HAND2-AS1",1.3091135031723e-31
22,"NTM",1.61265035727222e-31
23,"ENSG00000286451",2.27787971355213e-31
24,"ATP2B2",2.49131538718115e-31
25,"MYO5A",1.11733900945256e-30
26,"L3MBTL4",2.44635575797116e-30
27,"ARAP2",2.57977983493801e-30
28,"COBL",2.92404583090063e-30
29,"C2orf88",9.6539513032869e-30
30,"HNF4G",1.83511743606675e-29
31,"GRIK2",2.44751804671339e-29
32,"KIF5A",2.95978459012584e-29
33,"SPAG6",3.13577547421636e-29
34,"L1CAM",3.34887941754696e-29
35,"GSAP",3.38283727236955e-29
36,"OPCML",4.73956371532756e-29
37,"PAPPA",1.24959827571256e-28
38,"PLEKHH1",1.88540152958644e-28
39,"ENSG00000289612",4.47270454375025e-28
40,"TMOD2",7.76744165242011e-28
41,"EPHA6",1.25642851875312e-27
42,"KCNMB4",1.54378943141925e-27
43,"ENSG00000289056",1.63454122971013e-27
44,"DDB2",1.91134219635302e-27
45,"TMEM132C",1.95042864530716e-27
46,"RARRES2",3.27973598397573e-27
47,"SH3BP2",3.55353477474253e-27
48,"ZNF518B",4.05817864237698e-27
49,"MTSS2",7.78834275656288e-27
50,"LSAMP",8.62026298634061e-27
51,"ME3",1.03109756078858e-26
52,"PEA15",1.04038150955938e-26
53,"PPFIBP2",1.29831905790271e-26
54,"WSB2",2.40040342504159e-26
55,"EPS8L2",2.40875837152725e-26
56,"FRMD5",3.93624847628775e-26
57,"ENSG00000286656",4.48113844402513e-26
58,"NIM1K",5.75049634404506e-26
59,"AQP11",9.94726284935614e-26
60,"TGFA",1.0531197560132e-25
61,"CDH10",1.15901528795314e-25
62,"PCDHA10",1.181017770847e-25
63,"MTHFD2P1",1.64051005811738e-25
64,"MGAT4C",1.87489055257333e-25
65,"MYRF",1.92463253744526e-25
66,"Y_RNA",2.67985003189597e-25
67,"TFAP2E",3.41952723220726e-25
68,"MGAT5B",3.70861246120392e-25
69,"BEX1",4.65843163645026e-25
70,"DAB1",4.96146154252191e-25
71,"SLC6A15",1.54078680606916e-24
72,"KIFC3",1.84965036640021e-24
73,"INSC",2.07181000113156e-24
74,"COL7A1",2.18273374999529e-24
75,"S100A1",2.24465385973857e-24
76,"HLA-DOA",2.24672978545296e-24
77,"TP53INP2",2.37055678280071e-24
78,"GSTO2",2.81680646560379e-24
79,"BHLHE22",3.38932403232678e-24
80,"ESPN",3.71251921387154e-24
81,"PYHIN1",3.80308486983651e-24
82,"PAH",3.88944704176027e-24
83,"NEDD4L",4.45337606493077e-24
84,"ITPRID1",4.75920367386874e-24
85,"APOBEC3H",4.82600300872731e-24
86,"B4GALNT4",4.87425577613043e-24
87,"PTPRZ1",4.98142803520163e-24
88,"RALYL",7.71644661177483e-24
89,"TLE1",8.05873828227258e-24
90,"TMEM176B",8.79375626023204e-24
91,"BRSK1",8.97483530526397e-24
92,"SLC35F3",9.48944345753624e-24
93,"ENSG00000286282",1.15279382455869e-23
94,"ITGB5",1.23901279877114e-23
95,"MIR3142HG",1.46240971810176e-23
96,"MLIP",1.48267171737654e-23
97,"MAP4K5",1.58137656539444e-23
98,"STARD4",1.77852179564236e-23
99,"NR2F1-AS1",2.36286534894859e-23
100,"ETNPPL",2.6661306722824e-23
101,"LNCTAM34A",2.76312999534346e-23
102,"FLRT1",2.81258057077528e-23
103,"FAM181B",2.99669613990975e-23
104,"GOLGA8VP",3.66317834504997e-23
105,"BCL2L11",4.09818059272717e-23
106,"GEMIN8",4.5676385649408e-23
107,"FDXR",4.94892540413652e-23
108,"REC8",4.97708642166455e-23
109,"TRIM9",5.36065324490722e-23
110,"SPIB",6.01749335798277e-23
111,"UNC13D",6.97816603425895e-23
112,"PLAG1",7.72625896770368e-23
113,"PALD1",7.79500982816932e-23
114,"SLC2A4",7.82701425798208e-23
115,"ACP6",8.23981811378773e-23
116,"STK32A",8.64581641249749e-23
117,"CCDC149",9.2982334653617e-23
118,"TNFRSF19",1.09836549545136e-22
119,"SMIM5",1.55753621192768e-22
120,"DMTN",2.19139015932368e-22
121,"FAM135B",2.38912186342978e-22
122,"WDR97",2.82829343974594e-22
123,"LINC00327",3.26476385442584e-22
124,"ENSG00000253878",3.31734098078405e-22
125,"LMF2",3.57976485000596e-22
126,"ADGRB3",4.04276802232042e-22
127,"ZDHHC14",4.11215771339156e-22
128,"ABCG1",4.94410241063027e-22
129,"C3orf33",5.38497906330925e-22
130,"TBC1D32",6.09614421525794e-22
131,"GRIK3",6.61549335608614e-22
132,"ENSG00000287642",7.03363077867784e-22
133,"PI15",7.21272909805012e-22
134,"LINC01006",7.57921222861081e-22
135,"CDKN2B-AS1",8.7266594522161e-22
136,"PDE1C",8.81248718190983e-22
137,"NRXN1",9.08070739110714e-22
138,"IL17RE",9.19961203540005e-22
139,"SYT10",1.00025186336955e-21
140,"ENSG00000259038",1.11603636333609e-21
141,"ENSG00000236028",1.3669898149255e-21
142,"LRRCC1",1.61864896729761e-21
143,"HLA-DPB1",1.91651387262078e-21
144,"PCDHB6",2.09933894854868e-21
145,"HLA-DMA",2.14957933263418e-21
146,"MROH7",2.35366856889424e-21
147,"GAP43",2.444345312246e-21
148,"CD74",2.5096787499556e-21
149,"GPR155",2.593420559731e-21
150,"PARP10",2.78420845254459e-21
151,"CIITA",3.03075583847216e-21
152,"C1orf198",3.11586982131794e-21
