"Rank","Gene","p_value"
1,"PLAG1",1.13292194963441e-23
2,"TRPC6",5.16237576831443e-21
3,"LINC00954",1.55332540925085e-20
4,"PAG1",3.12561080098653e-20
5,"ENSG00000289456",6.16417661717323e-20
6,"LMO3",3.32468312019929e-19
7,"DCDC2C",4.32243599079044e-19
8,"PADI6",1.68530938061799e-18
9,"ACADL",1.77366634943034e-18
10,"RNF43",1.91181446997628e-18
11,"GPIHBP1",2.7609184410914e-18
12,"POLE3",6.86082934989771e-18
13,"GLI1",1.34124556382729e-17
14,"ENSG00000224661",1.59999370545637e-17
15,"ENSG00000288106",2.32290704379252e-17
16,"PTPRK",2.48970555065402e-17
17,"BMP3",4.7329344757376e-17
18,"LHFPL6",1.5029728218712e-16
19,"TSPAN33",2.89409604302836e-16
20,"PIEZO1",3.36403436342959e-16
21,"CCNI2",3.66058168478981e-16
22,"GPC6",5.89521188936359e-16
23,"CA4",7.37029997666308e-16
24,"STRIP2",7.61430401788774e-16
25,"RAPGEF2",7.89762312732317e-16
26,"HR",1.11424134135126e-15
27,"GRPEL2",1.23559340817676e-15
28,"FOXP2",1.24821330560204e-15
29,"FIGLA",1.57372543110281e-15
30,"MAGI1",1.72674522839907e-15
31,"PHEX",1.76084468655277e-15
32,"NKX3-2",1.9891820652655e-15
33,"ENSG00000260121",2.08399891738881e-15
34,"PTCH1",2.77442208543544e-15
35,"NLRP5",2.90355272900336e-15
36,"KCNIP4",3.21095179962232e-15
37,"OAS2",4.57676177459906e-15
38,"ENSG00000235209",9.41626953511425e-15
39,"ZNFX1",1.44063429422536e-14
40,"MCOLN3",1.51306724598752e-14
41,"SMIM1",1.91315536370351e-14
42,"GPC3",2.09083829373794e-14
43,"FRMD8",2.25047155248682e-14
44,"YTHDF2",2.5773954761711e-14
45,"QRICH1",2.81217207322521e-14
46,"GPR162",2.97726437696657e-14
47,"FN1",3.69015475824827e-14
48,"CPEB1",5.58472700879311e-14
49,"CPEB1-AS1",6.10530578209359e-14
50,"L3MBTL4",6.71291448526874e-14
51,"ABHD17B",7.00497929219162e-14
52,"IGLON5",7.63612503060238e-14
53,"ZNF12",8.34783554649996e-14
54,"CCNB2",8.89962312379377e-14
55,"GSK3B",9.15962822198401e-14
56,"ENPP2",9.18542990997386e-14
57,"LRRIQ1",9.39391838950162e-14
58,"ENSG00000255310",9.71593302678762e-14
59,"LGMN",1.22928348170183e-13
60,"CLEC14A",1.26996317726855e-13
61,"RETREG1",1.55942747085921e-13
62,"ENSG00000287200",1.70606288727703e-13
63,"ZP2",1.94930485978271e-13
64,"DHX8",2.03093710427486e-13
65,"MAD2L1BP",2.30580721497878e-13
66,"TET3",2.36641105731821e-13
67,"DPYSL3",2.62144488045562e-13
68,"FAM78A",2.6803281976145e-13
