"Rank","Gene","p_value"
1,"SHC3",1.66817957390385e-15
2,"ENSG00000224945",2.09532158452514e-14
3,"SMIM38",4.1031559649978e-14
4,"SPATA18",1.01632068202448e-13
5,"DUXAP8",2.5842959163942e-11
6,"EDA2R",1.53447772250453e-09
7,"PRLHR",1.82564089540905e-09
8,"PTCHD4",2.54100134486965e-09
9,"F8",4.39391933089787e-09
10,"ZNF518B",5.86309713327384e-09
11,"SATB2-AS1",2.66906303431717e-08
12,"NEFM",8.51795971072395e-08
13,"ENSG00000286448",1.14847703007962e-07
14,"CLIC6",1.48319340269281e-07
15,"NUPR1",1.65078362885808e-07
16,"PIFO",2.23116045992435e-07
17,"CPXM1",2.51925987801601e-07
18,"FAM227B",2.54228778383559e-07
19,"SATB2",2.61325373526948e-07
20,"ENSG00000260015",3.34778831721476e-07
21,"RYR2",3.44143430469056e-07
22,"ENSG00000287286",3.95787591974833e-07
23,"RAB39B",4.63977921646538e-07
24,"TMEM47",4.66120582805662e-07
25,"GAS6-AS1",5.80425768336713e-07
26,"SYT15",8.30702662681275e-07
27,"ENSG00000286050",8.56206820685539e-07
28,"CDKN2A",9.72349035252872e-07
29,"FOXCUT",1.3116202434722e-06
30,"PFKFB1",1.40605297251007e-06
31,"ENSG00000272872",1.41410903790583e-06
32,"ENSG00000240401",2.37096725250423e-06
33,"CCL28",2.52108362805295e-06
34,"CAVIN2",2.59922982237887e-06
35,"DRD4",2.66436914339151e-06
36,"FTCD",2.94096314347922e-06
37,"CRNDE",3.14108131621599e-06
38,"MT-CO1",3.16176651303372e-06
39,"HTR3A",3.596949817774e-06
40,"ENSG00000214754",4.29450491244994e-06
41,"ENSG00000237643",4.3610576539985e-06
42,"ALDH1L1-AS1",4.97357347784931e-06
43,"DUXAP10",5.40723463154951e-06
44,"DINOL",6.02692427261718e-06
45,"ENSG00000289216",6.43713374589949e-06
46,"SLC2A11",6.5820955427843e-06
47,"ENSG00000267193",6.88859333978008e-06
48,"AMH",7.39064812400896e-06
49,"CLDN6",7.47418426703732e-06
50,"ENSG00000280099",7.98979164675011e-06
51,"ENSG00000236833",8.29239169288686e-06
52,"SCN2A",8.31235142667487e-06
53,"KDELR3",8.60958266305308e-06
54,"ENSG00000251188",9.1165554176721e-06
55,"ENSG00000285884",9.60722044598998e-06
56,"FOXL2",9.88250458636e-06
57,"PHLDA3",1.07167702649018e-05
58,"ENSG00000226530",1.10857069339879e-05
59,"RHOV",1.12160916051718e-05
60,"ACTRT3",1.13948533709351e-05
61,"KRT8",1.28571502947621e-05
62,"RORB",1.29567194818321e-05
63,"NOC2LP1",1.3891667123087e-05
64,"MIR17HG",1.40020476039941e-05
65,"CFAP91",1.45146625579114e-05
66,"ZNF385B",1.4658600612292e-05
67,"GSDMB",1.55187900677748e-05
68,"FOXC1",1.58636111777421e-05
