"Rank","Gene","p_value"
1,"AIPL1",4.88788027720425e-10
2,"TSPOAP1-AS1",2.80457393276824e-09
3,"LINC00867",5.99439418058329e-09
4,"PRLH",6.94313085060114e-09
5,"NREP",1.05409174702273e-08
6,"SCT",1.29457722007036e-08
7,"MPPED1",5.13377478538852e-08
8,"ENSG00000286907",1.42014421954391e-07
9,"OBP2A",2.26095851195737e-07
10,"UGT2A1",2.99118313714735e-07
11,"SELENOV",3.28542513630091e-07
12,"ENSG00000256783",3.3957778298853e-07
13,"LINC01639",4.84651946844254e-07
14,"ENSG00000281365",5.25077080024985e-07
15,"OBP2B",5.41434553994411e-07
16,"ENSG00000230615",7.12190043589218e-07
17,"ORMDL3",9.81401066315041e-07
18,"NLGN3",1.07190420249982e-06
19,"ENSG00000241449",1.13999799220908e-06
20,"EPHB1",1.16932935481432e-06
21,"COL13A1",1.46578399793742e-06
22,"ENSG00000289074",1.73268570528066e-06
23,"SLC15A1",1.75586782755906e-06
24,"DENND2A",1.86936165406741e-06
25,"TNFRSF10C",1.97927208593238e-06
26,"ADH1A",2.0100370727976e-06
27,"MYCN",2.3611454803271e-06
28,"GPC3",2.44207524519433e-06
29,"ENSG00000287714",2.96577773255436e-06
30,"EDA2R",3.05874911157439e-06
31,"GATA4",3.65867227144547e-06
32,"ENSG00000256875",4.11182224069491e-06
33,"AMZ1",4.45536210215621e-06
34,"CLSTN1",4.70428348908515e-06
35,"ENSG00000226644",5.10141509567102e-06
36,"SDR42E2",5.38120282910038e-06
37,"ENSG00000287561",5.77054550067075e-06
38,"NASPP1",5.89252633118526e-06
39,"S1PR5",6.19462177292088e-06
40,"CDHR5",6.25620968574725e-06
41,"ENSG00000288102",6.27238328222672e-06
42,"HP",6.34376151228089e-06
43,"FGD1",6.53499062612055e-06
44,"FNDC5",6.83773133196719e-06
45,"PIN1-DT",6.95753482175598e-06
46,"PGR",7.17347074807953e-06
47,"DNASE1L3",7.44316855084823e-06
48,"SOX15",7.44447406184811e-06
49,"TIE1",8.25013753383025e-06
50,"VSTM2B-DT",8.38404200338e-06
51,"ENSG00000280254",8.88089524327924e-06
52,"LINC02249",9.2256964208602e-06
53,"TMEM74",9.25224555761743e-06
54,"SEMA5B",9.5545905947312e-06
55,"CDKN1A",9.63968091379119e-06
56,"ENSG00000286873",9.67613913784374e-06
57,"OR7E110P",9.75420466017248e-06
58,"ENSG00000285969",1.01951386220488e-05
59,"ALOX15B",1.29489568920501e-05
60,"LINC00705",1.31517284320494e-05
61,"STARD4-AS1",1.34145634037942e-05
62,"TMEM235",1.39227415398606e-05
63,"CACNG8",1.40229964229821e-05
64,"COLEC11",1.43076626650665e-05
65,"TMEM132D",1.43154481066998e-05
66,"ENSG00000260542",1.46220619315737e-05
67,"HDAC11",1.47692448072882e-05
68,"ENSG00000251177",1.50702290240945e-05
69,"CNN2P4",1.51218675541046e-05
70,"ISM2",1.59196051530404e-05
71,"ALAS2",1.64808657941351e-05
72,"TMEM119",1.66385217685429e-05
73,"ENSG00000278698",1.72699514595308e-05
74,"ENSG00000268866",1.76902231175933e-05
75,"VEGFD",1.79143544574564e-05
76,"TUBA3GP",1.90052985607992e-05
77,"KLK6",2.0255810997053e-05
78,"SOWAHA",2.10305802287276e-05
79,"PIPOX",2.10666875819918e-05
80,"NECTIN1",2.1205394753785e-05
81,"GDF15",2.15790933179759e-05
82,"MANCR",2.1833805109757e-05
83,"ENSG00000203900",2.28407884060432e-05
84,"GLTPD2",2.41636707734623e-05
85,"ENSG00000252719",2.48548842568038e-05
86,"SPARC",2.58413885121942e-05
87,"NNMT",2.62842415564245e-05
88,"ENSG00000260701",2.68735044276266e-05
89,"EFNA2",2.73611087223929e-05
90,"LINC00636",2.74685329142639e-05
91,"PBX1",2.75412560215144e-05
92,"ENSG00000232939",2.82732607596346e-05
93,"KLHDC9",2.83504870825169e-05
94,"PKD1L1",2.91108745026981e-05
95,"NEUROD1",2.91564731853788e-05
96,"NENF",2.93752732961053e-05
97,"LINC02148",3.04030898930562e-05
98,"CPXM1",3.16075380626345e-05
99,"ENSG00000236886",3.387102104066e-05
100,"TNFAIP8L1",3.47729977134211e-05
101,"THAP2",3.47984235389747e-05
102,"ZDHHC1",3.53011275835488e-05
103,"PKIA",3.6874130528646e-05
104,"LINC01126",3.71471064873659e-05
105,"CTSF",3.77191601305791e-05
106,"ENSG00000287475",3.77746321154925e-05
107,"HHATL",3.82366235687574e-05
108,"ENSG00000234913",3.91834786480214e-05
109,"DACH2",3.94560821552855e-05
110,"GRM3",4.04519257668325e-05
111,"RAB30",4.05234211796005e-05
112,"DCX",4.05244862306675e-05
113,"CACNG6",4.19145484105543e-05
114,"SERGEF",4.21194783949536e-05
115,"LINC01971",4.29194336060243e-05
116,"SLC13A5",4.4053437409311e-05
117,"ASTN1",4.47883151244495e-05
118,"ARL15",4.48193220158928e-05
119,"WNT3",4.53584993203661e-05
120,"LRRC4C",4.64755600473147e-05
121,"ITIH2",4.81293554431741e-05
122,"ENSG00000284748",4.87769002861684e-05
123,"ENSG00000279255",4.91744988677147e-05
124,"HEPACAM2",5.06803146450389e-05
125,"NPPB",5.14006517973422e-05
126,"CA1",5.20111415204419e-05
127,"NXPH1",5.2714950210944e-05
128,"ENSG00000272203",5.32453775540979e-05
129,"CA4",5.4734075249506e-05
130,"RPS27L",5.49506867426838e-05
131,"SIGLEC17P",5.76294430918046e-05
132,"CRB2",5.95171434879746e-05
133,"AHSP",6.05437934638719e-05
134,"SLC4A1",6.13233133212633e-05
135,"ENSG00000286330",6.19597855179396e-05
136,"LINC01521",6.51681861051101e-05
137,"ENSG00000272157",6.70898733284415e-05
138,"CACNA1I",6.72075248180893e-05
139,"FOXS1",6.76004868890407e-05
140,"KHK",6.85286656366457e-05
141,"F13A1",7.14873784059237e-05
142,"TRIL",7.25725280209734e-05
143,"ENSG00000279673",7.47938645473189e-05
144,"DCLK2",7.55956320880414e-05
145,"ELANE",7.58217628329048e-05
146,"MIR34AHG",7.72062562838936e-05
147,"EPHB6",7.82980888137544e-05
148,"LSP1",7.86220139510825e-05
149,"GALR1",8.04512741609197e-05
150,"TMCO3",8.45054592571787e-05
151,"NTF3",8.4673038984667e-05
152,"ENSG00000289398",8.57465114645143e-05
153,"ENSG00000261671",8.58084444868474e-05
154,"STKLD1",8.7623662461827e-05
155,"HPCA",8.82395446325543e-05
156,"ENSG00000289217",8.90392479293049e-05
157,"ATP6V1G2",8.94290305614225e-05
158,"TCF21",8.9502789311519e-05
159,"PPP2R2B",8.95932199436047e-05
160,"ENSG00000285729",8.98516664339202e-05
161,"GOLM1",9.05615069418466e-05
162,"C1orf21-DT",9.14499019178707e-05
163,"ENSG00000225582",9.35816909526178e-05
164,"SNHG30",9.39874635859741e-05
165,"BANF2",9.99705878086423e-05
166,"DEFB124",0.000100183521143113
167,"RNA5SP174",0.000100389404919601
168,"GNA14",0.000100439013829216
169,"LINC00235",0.00010082722439983
170,"TRAV39",0.000103137933640633
171,"MDK",0.000103808251956481
172,"ENSG00000255489",0.000104816508531245
173,"ENSG00000275897",0.000107896043385035
174,"ENSG00000234595",0.000108233354239891
175,"ANKRD26P2",0.000109094464880141
176,"LIPE",0.000111080466697456
177,"ENSG00000260649",0.000118468413544935
178,"HDAC4-AS1",0.000120580485021017
179,"WSCD2",0.000125814794477686
180,"ACSL6",0.00012699375286961
181,"GJD3",0.000128931742992803
182,"LINC01224",0.000129682849995374
183,"ENSG00000280122",0.000130090571581834
184,"SLC41A3",0.000131407147429066
185,"HEMGN",0.000132524795785078
186,"STMND1",0.000134191888640992
187,"TSPAN5",0.000135007406723634
188,"SOX4",0.000135220787832659
189,"ENSG00000213587",0.000135727051611173
190,"LZTS1",0.000136159072707211
191,"ANO1",0.000137495054585653
192,"ACER2P1",0.000138593172288946
193,"CYGB",0.000138701197662908
194,"LRRC20",0.000139896139146932
195,"SLC17A8",0.000140447346928764
196,"ENSG00000259013",0.000141073472303228
197,"TICAM2-AS1",0.000141123442894933
198,"LINC01151",0.000142753865044182
199,"LINC00629",0.000145481003611335
200,"SLC7A3",0.000146356279668776
201,"ENSG00000289455",0.000148436893585935
202,"FRMPD2",0.000149118452771265
203,"TSPAN15",0.000151509120939078
204,"ENC1",0.000152322106000898
205,"HLA-DOB",0.000152346156363947
206,"KDR",0.000153454383339434
207,"ADGRF5",0.000153520668051305
208,"LRRTM2",0.000156456621135127
209,"ENSG00000245025",0.000157254640415468
210,"GPR173",0.000161185107292791
211,"MAGI1",0.000162570349783115
212,"ENSG00000259508",0.000164768053286969
213,"CYP4F60P",0.000165150889934774
214,"EPB42",0.000165910233561324
215,"ENSG00000251259",0.000166364312995615
216,"WNT8B",0.000169157073632715
217,"F11",0.000169426788403794
218,"TEKT2",0.000175499850717361
219,"ENSG00000203335",0.000175556850757798
220,"KISS1R",0.000175804472959477
221,"AGT",0.000176708976179363
222,"ENSG00000250609",0.000177489812868974
223,"SHISA2",0.000178979072442972
224,"HMGB1P48",0.000184542657694917
225,"ITPKB-AS1",0.000184672922548701
226,"MPPED2",0.000185228113280699
227,"ENSG00000280422",0.000185446618170506
228,"HBD",0.000187351136650517
229,"ROR2",0.000187615301523927
230,"PLPPR5",0.000195915810385837
231,"UICLM",0.00019789116574854
232,"SEMA3A",0.000198527136569744
233,"ENSG00000279954",0.000198766095346637
234,"OVOL2",0.000199773170055691
235,"OPCML",0.000200430089334359
236,"SLC34A3",0.000203848913700594
237,"ENSG00000231652",0.000206091848866572
238,"RARRES1",0.000206200548156942
239,"ENSG00000259869",0.000210978344263032
240,"HID1-AS1",0.000211495513084876
241,"NAV3",0.000212777182951867
242,"CBLN2",0.00021681594401864
243,"ADARB2",0.000219031862603226
244,"SKIDA1",0.00022062530772322
245,"HTR1D",0.000221545301834824
246,"CHST14",0.000222291860919822
247,"ENSG00000272927",0.000229420569577275
248,"ANKRD20A19P",0.000229759856560464
249,"NEFL",0.000231352902966276
250,"LAMP5",0.00023647542144001
251,"CC2D2A",0.000238463686498454
252,"LNCTAM34A",0.000240724068764587
253,"ENSG00000280436",0.000241465912784129
254,"TENM4",0.000241511836002612
255,"RNU6-615P",0.000243430191582328
256,"LY6H",0.000244251278699148
257,"ENSG00000276128",0.000246970325009173
258,"CRLF1",0.00024769564260029
259,"HERC2P10",0.000248762896881192
260,"ATP2B1-AS1",0.000250152730285747
261,"ITM2A",0.000253846938675182
262,"SYT9",0.000255501763247081
263,"ENSG00000261840",0.000256397885023295
264,"OR2AD1P",0.000257029143899846
265,"ZPLD2P",0.000257820374902683
266,"RNF224",0.000264031566930284
267,"IHH",0.000266938341842556
268,"ENSG00000259675",0.000271057020062346
269,"SERPINA3",0.000271347035919383
270,"IGLON5",0.000271784964267195
271,"CHID1",0.00027230141803295
272,"EMC10",0.000272872307787939
273,"ENSG00000240401",0.00027680274204297
274,"ENSG00000217801",0.000277714220339404
275,"APOOP3",0.000290404393087328
276,"TOX",0.000302648435864432
277,"HTR3C",0.000304041603090387
278,"ANKRD20A7P",0.000308649093531761
279,"DLL3",0.000308866645568235
280,"GPLD1",0.000309448206419582
281,"ENSG00000253177",0.000310669096470961
282,"HEXIM2",0.000312366368542736
283,"KL",0.000314865640724191
284,"HCLS1",0.000317657646146747
285,"UQCRBP3",0.000323235849684715
286,"CETP",0.000332443439287124
287,"ENSG00000231447",0.000333888614989045
288,"FAM236B",0.000334984641049458
289,"MATN2",0.000336062266724759
290,"ABCG2",0.00033839455734672
291,"SLC12A8",0.000346434190888506
292,"ENSG00000261447",0.000346472608417332
293,"ITPR1",0.000349918213932342
294,"SCN4B",0.000352766738402639
295,"FSCN2",0.000354784494564925
296,"PCDHGB6",0.000355370691944311
297,"SHANK2-AS1",0.000361684348334982
298,"TOLLIP-DT",0.000361853346949355
