"Rank","Gene","p_value"
1,"NOC2LP1",3.72408894193143e-16
2,"EDIL3",2.33584713385945e-14
3,"PTPRJ",3.1315617466251e-14
4,"LIN7A",1.85039403998635e-13
5,"ENSG00000226087",3.72655174409941e-13
6,"ENSG00000278022",8.85999689961163e-13
7,"ENSG00000261120",1.30040721712006e-12
8,"ATP2C1",1.6407355312051e-12
9,"RARRES2",1.76850968605501e-12
10,"RFPL1",3.58594178628813e-12
11,"PAGE4",4.51366168350673e-12
12,"ATP2A3",6.30550670800125e-12
13,"SLC27A2",6.58166731506625e-12
14,"LINC00877",8.77832714964831e-12
15,"MSC-AS1",9.79199398690316e-12
16,"IGF1R",1.02092031382047e-11
17,"EDIL3-DT",1.02741636138889e-11
18,"ENSG00000219159",1.29438855562483e-11
19,"C9orf92",1.36199766764835e-11
20,"UNC13B",1.38238356628428e-11
21,"CDKN2A",1.42546833384394e-11
22,"FLNB",1.88687189878885e-11
23,"CYP4F2",2.37273734064081e-11
24,"SYT14",2.39078471825383e-11
25,"ZBTB42",3.0229369966355e-11
26,"ZMAT3",3.79430148350296e-11
27,"P3H2",4.05930786828143e-11
28,"ENSG00000233928",4.08427560367676e-11
29,"ZNF229",4.09860501371717e-11
30,"GPC6",4.63962554405839e-11
31,"ZNF671",4.94216465339738e-11
32,"DNALI1",4.94260682873806e-11
33,"CADM4",5.30824880182008e-11
34,"CDK15",5.46713950025448e-11
35,"GPR65",5.5303756547648e-11
36,"NEDD4L",6.84264112273928e-11
37,"LINC01276",7.05870632765757e-11
38,"ENSG00000287692",7.76306329516618e-11
39,"SLC52A3",7.91710171910699e-11
40,"LINC02147",9.35578036320495e-11
41,"ZNF587B",1.02742288165178e-10
42,"IHH",1.09155428834704e-10
43,"FHDC1",1.12131068909617e-10
44,"ENSG00000279717",1.13317900079138e-10
45,"NRK",1.14671172172622e-10
46,"PCDHB9",1.1672822541579e-10
47,"KDM4E",1.47457029602357e-10
48,"SPAG6",1.64467532064782e-10
49,"UBTFL9",1.71713286439906e-10
50,"GNMT",1.75066478241555e-10
51,"SAMSN1",1.75933255507501e-10
52,"ENSG00000180458",1.79793327212723e-10
53,"CORO1B",1.95128251191484e-10
54,"ENSG00000287477",1.9791214610518e-10
55,"TST",2.02506616935463e-10
56,"SLC2A3",2.08607654977567e-10
57,"SYT13",2.12500298140992e-10
58,"GXYLT2",2.21148710474733e-10
59,"CENPBD1",2.39426027235546e-10
60,"ENSG00000267886",2.52063433632747e-10
61,"CNIH3",2.57239878086089e-10
62,"KSR2",2.65899841770038e-10
63,"PACSIN2",2.65943914459691e-10
64,"SLC22A17",2.8271939072897e-10
65,"SLFN11",2.95459197822843e-10
66,"ENSG00000267218",3.33362139574403e-10
67,"RRS1-DT",3.33627711611255e-10
68,"TACC2",3.33762989711453e-10
69,"TMEM167B-DT",3.37841595343169e-10
70,"PERCC1",3.47948093140483e-10
71,"KLRG1",3.57996688963229e-10
72,"OSM",3.60339120589511e-10
73,"CD22",4.07749346216682e-10
74,"LINC01426",4.64947663057382e-10
75,"ENSG00000286598",4.67521986846847e-10
76,"TEX14",4.79361433145555e-10
77,"PCDH10-DT",4.96643898503373e-10
78,"CD69",5.07603310695568e-10
79,"SPIB",5.59895537876755e-10
80,"SHISA9",5.84289848158331e-10
81,"IL1RL2",5.88305492344514e-10
82,"SLC7A8",5.9181541893662e-10
83,"ENSG00000287826",6.15395058529501e-10
84,"LINC00475",6.89520358774651e-10
85,"RWDD2A",7.12345083581578e-10
86,"IER5L",7.15425747847229e-10
87,"PTCHD4",7.1935267627687e-10
88,"PPP1R13B",7.89298755847311e-10
89,"CASZ1",7.97648276460619e-10
90,"PID1",8.22106494730343e-10
91,"MPPED2-AS1",8.74342660263981e-10
92,"RTL10",8.82341265110972e-10
93,"ZNF697",9.35624080775846e-10
94,"CARTPT",9.89405560816513e-10
95,"GOT2",1.01315567873866e-09
96,"ATP2C2",1.01452666777496e-09
97,"ACSS3",1.03933342179952e-09
98,"C3orf80",1.06306285679482e-09
99,"SNX22",1.07182668528461e-09
100,"ALDH7A1",1.07298248858931e-09
101,"MTAPP2",1.07724013155605e-09
102,"ENSG00000287094",1.22909742671944e-09
103,"BTK",1.31044121894689e-09
104,"ATP2C2-AS1",1.34525802746183e-09
105,"ENSG00000235713",1.40084271635221e-09
106,"DUX4L27",1.4470487529983e-09
107,"DHRS7",1.58079575537756e-09
108,"SLC38A5",1.58491271184217e-09
109,"BICC1",1.74158211435062e-09
110,"PGLYRP2",1.74962300897345e-09
111,"RAB37",1.77048081072895e-09
112,"RNF225",1.85998085758154e-09
113,"ENSG00000263257",1.87947243217415e-09
114,"RFPL4AP6",1.88008995471033e-09
115,"HS6ST2",1.89912237750837e-09
116,"DOP1B",1.96571234765789e-09
117,"CXCR4",2.00093546252799e-09
118,"CST7",2.02683089610185e-09
119,"CHD7",2.03393041430629e-09
120,"SIGLEC17P",2.08303979543807e-09
121,"KIF1A",2.09266850526109e-09
122,"ENSG00000257989",2.28254266945761e-09
123,"CLGN",2.28308514115671e-09
124,"GFRA1",2.30032231536141e-09
125,"TESPA1",2.30766971163959e-09
126,"SETBP1-DT",2.34372600917975e-09
127,"PCCA-DT",2.47332651726578e-09
128,"GALNT13",2.49047507401137e-09
129,"ARFGEF3",2.6759857917411e-09
130,"GHRHR",2.70295286336216e-09
131,"LINC02609",2.71892696657142e-09
132,"FLRT2",2.80299272483213e-09
133,"REG4",2.85558637814433e-09
134,"RCN3",2.91325763781084e-09
135,"CA4",2.91588484319221e-09
136,"CNRIP1",2.97175057904421e-09
137,"FAS",3.18304333765204e-09
138,"CCN1",3.22189097970411e-09
139,"FAM237B",3.31897114434233e-09
140,"ATRNL1",3.44193268146763e-09
141,"C7",3.46370998254358e-09
142,"GEM",3.49144670489598e-09
143,"PLPP1",3.55526407705443e-09
144,"ZDHHC12",3.60431017023159e-09
145,"HAPLN1",3.6526086939204e-09
146,"WNK2",3.67176574568095e-09
147,"ENSG00000286615",3.71712707682753e-09
148,"LGI3",3.73667171112419e-09
149,"SLC1A7",3.80708005765565e-09
150,"ENSG00000267466",3.86092659063546e-09
151,"SLC25A16",3.92995499095045e-09
152,"DOLK",3.94927291320136e-09
153,"ENSG00000225498",4.02590810917244e-09
154,"ENSG00000287642",4.08469937445552e-09
155,"CALB2",4.1475478477169e-09
156,"ENSG00000286710",4.22053854324282e-09
157,"KLK15",4.24346410143448e-09
158,"PODN",4.33102016456325e-09
159,"OR2W3",4.44040761803202e-09
160,"OR2C3",4.45854306441272e-09
161,"AP1B1",4.49644782777322e-09
162,"ALAD",4.50397791203843e-09
163,"RNF138P1",4.65581772682221e-09
164,"S1PR2",4.70576871677959e-09
165,"EPHA7",4.82162670869699e-09
166,"ENSG00000266579",4.91997902616966e-09
167,"ENSG00000283982",4.99313588495569e-09
168,"ENSG00000232110",5.11794744564421e-09
169,"PLXDC2",5.19993040391182e-09
170,"TRIM13",5.44393113806325e-09
171,"THBS1-IT1",5.52346881397672e-09
172,"MS4A2",5.65942741898699e-09
173,"TBC1D8",5.81622942546659e-09
174,"GAS8-AS1",5.95934561402877e-09
175,"PCDH1",6.12699469444544e-09
176,"ADA",6.19027722291757e-09
177,"COL13A1",6.31524928438693e-09
178,"C4orf36",6.31912951719539e-09
179,"EOMES",6.36094182318265e-09
180,"TMEM198B",6.46817556808038e-09
181,"GRIK1",6.49729112164104e-09
182,"UNC5D",6.59733980587712e-09
183,"NWD1",6.79976742508686e-09
184,"SORCS2",7.09527832614688e-09
185,"KIF13B",7.14763882104172e-09
186,"LTBP4",7.62767271158127e-09
187,"ZNF778",7.81940970074174e-09
188,"PSTPIP1",7.94185243404209e-09
189,"SALL3",8.02445620126989e-09
190,"OR7A5",8.12402018132163e-09
191,"PLA2G4F",8.2546656297236e-09
192,"HDC",8.38156604432673e-09
193,"ACOX1",8.3920071197263e-09
194,"TRAT1",8.4917702524982e-09
195,"ENSG00000213514",9.14900447511687e-09
196,"LINC01668",9.18852941033453e-09
197,"ENSG00000234884",9.21110076742188e-09
198,"MAGI1-IT1",9.65923645816232e-09
199,"ENSG00000286207",9.70247614505115e-09
200,"NOX4",9.89375474300518e-09
