"Rank","Gene","p_value"
1,"Y_RNA",3.94165614098088e-34
2,"SNAPC1",7.30437570496863e-24
3,"ENSG00000286555",9.67246821199204e-23
4,"UCK2",1.38264659418485e-22
5,"PPP2R2A",2.708636315729e-21
6,"ANKRD37",3.08056443514619e-21
7,"ENSG00000279744",6.5886188616543e-21
8,"BHLHE40",6.63048448048844e-21
9,"ENSG00000289523",9.20515173025195e-21
10,"LHFPL4",9.65078720389073e-21
11,"ENSG00000271862",9.85179952057138e-21
12,"CHTOP",1.22538343792639e-20
13,"HES1",1.62037412816125e-20
14,"VEZT",1.96137402059771e-20
15,"LINC01963",3.91599654165888e-20
16,"GLOD4",4.3274653235505e-20
17,"NDST1",4.50677919996146e-20
18,"RN7SL566P",8.11298014915282e-20
19,"AP5B1",8.84593991422618e-20
20,"POLR3H",1.0629188142751e-19
21,"YTHDC1",1.09692132898205e-19
22,"RLF",1.50353350180662e-19
23,"DDIT3",2.51091728140998e-19
24,"RGS1",2.52080443825019e-19
25,"ENSG00000261669",3.10190540369756e-19
26,"RNF111",3.18085691251371e-19
27,"ENSG00000255442",3.33678821828296e-19
28,"HINFP",3.77082774197858e-19
29,"PDRG1",4.564989504266e-19
30,"PSKH1",5.22845765021111e-19
31,"RTL6",5.41263954408264e-19
32,"ENSG00000232043",6.02080583755272e-19
33,"ADPRM",6.03683122723179e-19
34,"EXTL3",6.31730714690113e-19
35,"ENSG00000227782",6.47626683883868e-19
36,"KLF13",6.84486724638224e-19
37,"TMEM68",1.28527118728505e-18
38,"ORC5",1.43663125656925e-18
39,"ENSG00000232611",1.67583233910069e-18
40,"CLK3",1.83236714148582e-18
41,"KPNB1-DT",2.29968491772043e-18
42,"MTF2",2.82801325870798e-18
43,"ZNF563",3.35018457755647e-18
44,"XYLT1",3.39516604082739e-18
45,"ARAP1-AS2",4.12167510711811e-18
46,"SPATA5L1",4.54121097703117e-18
47,"ENSG00000272913",4.81075739440242e-18
48,"IMMP1LP1",5.80025661503848e-18
49,"MLEC",5.91385530458852e-18
50,"P4HA1",6.07603368162961e-18
51,"C12orf76",6.22201374587795e-18
52,"PPP1R3B",6.58044999297056e-18
53,"ENSG00000228107",6.78803677815147e-18
54,"RBM15B",7.20098454544378e-18
55,"ZNF654",8.17474438901532e-18
56,"ENSG00000279807",8.72324971910193e-18
57,"R3HCC1L",9.22754569776418e-18
58,"NF2",9.46739266789008e-18
59,"WNT3",1.02935686563096e-17
60,"ARL4A",1.21920905770592e-17
61,"CLK1",1.25308320754143e-17
62,"PEF1-AS1",1.28413092140004e-17
63,"CAPZB",1.3994278474295e-17
64,"UNC119B",1.41977938390012e-17
65,"ATAD2B",1.55089359737033e-17
66,"RSRC2",1.57065809499966e-17
67,"BTN2A2",2.1443889970347e-17
68,"SPOPL",2.53184866026666e-17
69,"BTN2A1",2.53809446368138e-17
70,"ENSG00000278867",2.73038710406701e-17
71,"BAG4",3.22267584258904e-17
72,"ENSG00000236710",3.27145649623879e-17
73,"ENSG00000287538",3.42315194598855e-17
74,"ENSG00000272402",3.59610730078969e-17
75,"LYSMD1",4.08420524941473e-17
76,"ZMYM5",4.23444464946148e-17
77,"ENSG00000287299",4.33366107028459e-17
78,"USP31",4.63619855986196e-17
79,"ENSG00000272842",4.77585967814442e-17
80,"ALKBH1",4.81736360985191e-17
81,"FAM200A",4.89059997533281e-17
82,"DCAF15",5.25649763960856e-17
83,"ZNF160",5.45482142113095e-17
84,"ZNF564",5.46432746121756e-17
85,"TAMM41",5.75093014833077e-17
86,"HLA-F",7.1618538926269e-17
87,"PCBP2-OT1",7.94304265805196e-17
88,"ENSG00000271218",9.22790365597737e-17
89,"RAB21",9.43660055000492e-17
90,"PABPN1P1",9.82082507230217e-17
91,"AEBP2",9.86288816865573e-17
92,"CYB561D1",1.13319418644025e-16
93,"TBC1D16",1.24656791664904e-16
94,"COG7",1.32356983621412e-16
95,"HMGB2",1.42284925388434e-16
96,"ENSG00000288855",1.47941745842385e-16
97,"BTBD10",1.55292746720815e-16
98,"NCK1",1.90864638134463e-16
99,"GBP1",2.01446027368437e-16
100,"PANK4",2.04340000844067e-16
101,"LINC00852",2.11057641296776e-16
102,"ARRDC3",2.31880729928686e-16
103,"ZNF227",2.36543058776082e-16
104,"ZHX3",2.42076282732e-16
105,"ADGRL1",2.42531634019627e-16
106,"ENSG00000250899",2.48467923939955e-16
107,"TBX19",2.71408008406454e-16
108,"CDKN1B",2.76615904734054e-16
109,"BHLHE40-AS1",2.97637868790753e-16
110,"ATXN2",3.21240576223022e-16
111,"NAPB",3.24170462480353e-16
112,"ABHD10",3.37512002097982e-16
113,"KCTD13",3.42292052620673e-16
114,"ENSG00000279089",3.71771124939817e-16
115,"KTI12",3.745941240122e-16
116,"FAM53B",3.75713673774155e-16
117,"BLOC1S5",3.86438521240641e-16
118,"CCDC28A",3.9408188298031e-16
119,"ENSG00000165121",3.99618504120888e-16
120,"RAB14",4.14857301315494e-16
121,"ENSG00000277595",4.37599016543494e-16
122,"GNAI1",4.8643964159913e-16
123,"ENSG00000285933",4.9083713915287e-16
124,"GTF2E2",4.91847655983999e-16
125,"SARNP",5.2846566506518e-16
126,"UFSP2",5.33114034299459e-16
127,"ZNF627",5.41343459129297e-16
128,"BTG3",5.42341167523146e-16
129,"CASTOR2",5.60812830336539e-16
130,"ZNF250",5.61830587025433e-16
131,"SEC24B",5.78612938927914e-16
132,"SRSF3",5.80761014666051e-16
133,"CHASERR",5.82514069311749e-16
134,"GPBP1L1",6.00351063224293e-16
135,"EMC9",6.92813229070385e-16
136,"DDX50P1",7.09375344187883e-16
137,"FBXW7",7.38400200674503e-16
138,"HEIH",7.5166639476912e-16
139,"RASGEF1B",7.73752540369105e-16
140,"E2F5",7.80905998191634e-16
141,"INTS4",8.19310909440566e-16
142,"ENSG00000255843",8.41448427050047e-16
143,"UIMC1",8.52645425714892e-16
144,"TSNAX",9.18526733557026e-16
145,"ENSG00000255139",1.01882800978629e-15
146,"CFAP20",1.04601811700657e-15
147,"ZNF766",1.06014671390338e-15
148,"BOD1",1.06796535700074e-15
149,"ZFP36L1",1.12371315912231e-15
150,"C5orf34",1.15735228675022e-15
151,"ARMC5",1.20455735596316e-15
152,"TLK2",1.23955961332982e-15
153,"CNN2P1",1.38573282898872e-15
154,"PAAF1",1.6220581114189e-15
155,"VPS37A",1.67346116264052e-15
156,"SLC25A30",1.69001764273182e-15
157,"MIR6883",1.69738680044356e-15
158,"RRP8",1.87333347147172e-15
159,"YKT6",1.98969891805404e-15
160,"ENSG00000272037",2.17782832936676e-15
161,"RAB28P5",2.20367458670077e-15
162,"KDM4C",2.27547991863522e-15
163,"ENSG00000267082",2.29317670789116e-15
164,"SMG1P2",2.45829534074692e-15
165,"STAU2",2.70193498700663e-15
166,"JMJD6",2.71477691230194e-15
167,"RAB3A",2.82631371644022e-15
168,"ZNF184",2.86814650842335e-15
169,"SLC6A17",2.87216139101726e-15
170,"TTC9C",2.9691797918937e-15
171,"MAGOHB",3.01862250971232e-15
172,"OPA3",3.0500032236619e-15
173,"ENSG00000273284",3.12732812401875e-15
174,"TRAF2",3.25272233359878e-15
175,"C14orf132",3.26658044039716e-15
176,"B2M",3.27997391448153e-15
177,"PHLDA3",3.32681581052017e-15
178,"CNOT2",3.68112973387881e-15
179,"PHF3",3.82817101394486e-15
180,"LNX2",3.94169318609659e-15
181,"ENSG00000259933",3.96473456269698e-15
182,"LRP5L",3.9690839295895e-15
183,"SNAPC3",4.11153874788301e-15
184,"ENSG00000259712",4.45587145389089e-15
185,"PPIL4",4.45830294472557e-15
186,"SNORA1",4.63438694355476e-15
187,"ENSG00000260558",4.7407338088889e-15
188,"CHMP4A",4.75496991365483e-15
189,"ENSG00000234160",4.77858214445094e-15
190,"PPP1R14BP3",5.13300056044233e-15
191,"BCAN",5.15006592011659e-15
192,"NIBAN2",5.23339505342277e-15
193,"PDPR2P",5.37389181266628e-15
194,"HCFC2",5.40297566918235e-15
195,"CCSER1",5.66791784420793e-15
196,"ATXN7",5.88207508191055e-15
197,"BCAP31P2",5.89856322294771e-15
198,"ENSG00000266708",6.10200290015207e-15
199,"GEMIN2",6.18543758817252e-15
200,"C3orf36",6.24455633126061e-15
201,"PRR3",6.44983872891291e-15
202,"GPATCH2",6.54563094449002e-15
203,"ENSG00000273576",6.72810614340187e-15
204,"ENSG00000277423",6.74561361690912e-15
205,"NKRF",7.14676459357571e-15
206,"FBXO48",7.17644742709392e-15
207,"SART3",7.35945934345024e-15
208,"CDK5R1",7.58552083782348e-15
209,"ZNF230",7.84986771646843e-15
210,"WDR47",7.92696997354483e-15
211,"MICA",8.14255219652208e-15
212,"SCAPER",8.49493566220013e-15
213,"ENSG00000261123",8.94422008333014e-15
214,"MATN1-AS1",9.02316664926988e-15
215,"FLJ20021",9.2139221104179e-15
216,"MT-ND5",9.33166891349964e-15
217,"RALA",9.56259814856529e-15
218,"PSMB9",9.57825670285301e-15
219,"ENSG00000279838",9.6010459845598e-15
220,"VEGFA",9.62274990760106e-15
221,"NUP35",1.00886319592495e-14
222,"HOXD10",1.00926858301425e-14
223,"INTS2",1.05481869225007e-14
224,"FAM220A",1.06686464591193e-14
225,"FBXO8",1.11505483838632e-14
226,"PEX13",1.12825865494051e-14
