"Rank","Gene","p_value"
1,"LHFPL4",1.15673145263162e-32
2,"SLC52A1",1.95789189754474e-24
3,"BCAP31P2",2.03825399844808e-24
4,"C2",2.98970223161888e-24
5,"ENSG00000255442",6.24319894702288e-22
6,"ENSG00000286983",7.57195426617802e-22
7,"RNU6-140P",1.4224831566619e-21
8,"C5orf34-AS1",1.50791005722354e-21
9,"ENSG00000259882",1.6112198715917e-20
10,"SATB2-AS1",4.14012444006766e-20
11,"ENSG00000287538",1.14265583258321e-19
12,"RFX8",1.38499413662612e-19
13,"MLF1",2.3902241340641e-19
14,"SFRP2",3.32079763197519e-19
15,"CDKN2A",4.74910290496704e-19
16,"CLIC2",9.05144173767913e-19
17,"PLAC9",1.91383030340593e-18
18,"ANXA2R",2.81573768876118e-18
19,"PEF1-AS1",2.86617822326006e-18
20,"COLCA2",3.2849828862848e-18
21,"PLAAT4",5.27981921034532e-18
22,"HHATL",8.17560209172644e-18
23,"TRIM22",1.24794713706911e-17
24,"EYA4",1.62587904615755e-17
25,"SATB2",1.6276194087433e-17
26,"NKD2",3.00674716570692e-17
27,"SLC25A48",3.51551033490946e-17
28,"SMOC2",3.60382867230507e-17
29,"VTA1P1",4.20168557929358e-17
30,"UCHL1",6.01271898705461e-17
31,"GUCY2C",6.64338585425088e-17
32,"PYHIN1",7.64712497557448e-17
33,"ENSG00000289384",9.18647742607259e-17
34,"UBA7",1.04323871529901e-16
35,"COPZ2",1.11558619062608e-16
36,"AADACL2-AS1",1.12859983305795e-16
37,"ENSG00000248240",2.01168441700248e-16
38,"ENSG00000250971",2.29111797388236e-16
39,"CFAP251",2.33321724327466e-16
40,"SCN2A",2.52426280421786e-16
41,"DUXAP10",2.6288738715882e-16
42,"PHKG1",2.75528007897727e-16
43,"ARHGDIB",3.36522649889376e-16
44,"LINC00963",5.99109658551154e-16
45,"GPX2",6.18570864325814e-16
46,"CTHRC1",6.73573520344057e-16
47,"SLC39A13",8.36472426137735e-16
48,"GALNT12",1.08492182954324e-15
49,"MFAP4",1.18035422318579e-15
50,"B2M",1.63501869948855e-15
51,"SHCBP1",1.85704594988729e-15
52,"RCN3",2.14433042406799e-15
53,"ADAMTS7",2.39045599643215e-15
54,"BHMT2",2.45503687192706e-15
55,"PITX2",2.54724321634371e-15
56,"TNFAIP2",3.18318749419213e-15
57,"PCDHB2",3.43216071781645e-15
58,"PRKG2",3.93052824726468e-15
59,"ENSG00000286403",4.18771593558283e-15
60,"PSMB10",4.21645015809159e-15
61,"CASP8",4.36489080810297e-15
62,"ALG1L",4.72397371329413e-15
63,"TICAM2-AS1",5.4476662677148e-15
64,"ENSG00000214614",6.26360570384877e-15
65,"EDA2R",6.45873891074144e-15
66,"ALPK2",6.55942043528708e-15
67,"RTP4",6.76308388689891e-15
68,"GTF2H5",7.03891282756156e-15
69,"TRIM58",7.49176221104852e-15
70,"ENSG00000250697",7.83065145710483e-15
71,"IRF1-AS1",8.07375941339589e-15
72,"ZMAT3",8.65478638533607e-15
73,"ENSG00000286802",8.90278572058447e-15
74,"SLC43A3",9.81846991120842e-15
75,"ENSG00000267733",1.15464657612897e-14
76,"COL13A1",1.22900602307724e-14
77,"RABEPK",1.24230277579802e-14
78,"LUM",1.25128706476304e-14
79,"TOMM40P2",1.43481427092695e-14
80,"FAS",1.55212400108813e-14
81,"GXYLT2",1.74004843071471e-14
82,"CMTM3",1.90563686433243e-14
83,"MEF2A",2.1992997401297e-14
84,"ENSG00000225889",2.27245742852938e-14
85,"PCDHB10",2.35003706886995e-14
