"Rank","Gene","p_value"
1,"MAD2L1BP",9.8017864537168e-10
2,"RIOX1",2.27268236699061e-09
3,"DDX28",4.40301071783158e-09
4,"CLP1",1.03427973251073e-08
5,"HPS6",1.03962396012779e-08
6,"SMG8",3.7948509837631e-08
7,"MOCS3",3.86990286221073e-08
8,"KTI12",6.93749846671393e-08
9,"TWNK",1.2162003972324e-07
10,"ENSG00000260874",1.30709591169148e-07
11,"EIF4A2P1",1.87663453276629e-07
12,"BTBD11",1.96748072705052e-07
13,"HK2-DT",2.4173394898928e-07
14,"UMPS",2.645785773843e-07
15,"ENSG00000250771",3.60320189372619e-07
16,"ENSG00000229519",4.46090961829665e-07
17,"ZNF469",4.5878119612072e-07
18,"RPUSD2",5.26674738950925e-07
19,"VPS18",6.00541529920622e-07
20,"PTCHD4",6.04049611339345e-07
21,"CHTF8",7.07241138519489e-07
22,"MFSD5",7.1873543801689e-07
23,"ENSG00000272829",8.28363672897993e-07
24,"DBR1",8.42855399066083e-07
25,"CTR9",9.22318953372241e-07
26,"STK25P1",9.48689777202787e-07
27,"EYA4",1.0806730316735e-06
28,"CSTF1",1.19728875808254e-06
29,"ZBTB9",1.25650408589945e-06
30,"ENSG00000273669",1.26580699905731e-06
31,"SLCO1B3",1.60709132670225e-06
32,"KIR3DL1",1.61074735375098e-06
33,"PRPF19",2.00985486636948e-06
34,"ZNF200",2.11125764206032e-06
35,"ZIC1",2.11800567410628e-06
36,"LCMT2",2.23370778456352e-06
37,"ZIK1",2.39871762278904e-06
38,"FASTKD5",2.50486987940501e-06
39,"TMEM186",2.56065705609985e-06
40,"DDB1",2.59598997194841e-06
41,"TFIP11",2.72896104186786e-06
42,"ZNF557",2.8285448935949e-06
43,"RAMAC",2.85934191353885e-06
44,"ZNF408",3.03033102009719e-06
45,"POP1",3.20020593338039e-06
46,"TRDV1",3.79368361968258e-06
47,"TRAJ4",3.84652202959206e-06
48,"INTS5",4.10022579463283e-06
49,"GCC1",4.1632097102151e-06
50,"TRAJ45",4.40374923384665e-06
51,"SUV39H1",4.87370178024693e-06
52,"NAIF1",4.97658856620955e-06
53,"TFB2M",5.12770200721333e-06
54,"ENSG00000267744",5.20389948872792e-06
55,"DOLK",5.2552881609572e-06
56,"LINGO4",5.74836279634521e-06
57,"ENSG00000179253",5.90996319125139e-06
58,"GPATCH3",6.11695762937953e-06
