"Rank","Gene","p_value"
1,"PURPL",6.07742142804435e-19
2,"EDA2R",2.74957768771416e-17
3,"MIR34AHG",7.4114887207927e-16
4,"CDKN2A",6.85238350202469e-14
5,"PTCHD4",1.2470402078224e-12
6,"LNCTAM34A",2.21124867802606e-12
7,"MTHFD2P1",4.50311618504305e-12
8,"ASXL3",8.02940225541591e-12
9,"LINC00944",2.18461599915966e-11
10,"ZMAT3",4.21476903405077e-11
11,"KCNJ16",1.15627879219411e-10
12,"Y_RNA",1.52648551541696e-10
13,"ENSG00000242021",2.05081694170909e-10
14,"LINC00943",4.27473835124116e-10
15,"TPRG1",5.55777725427982e-10
16,"SPATA18",6.14668690773867e-10
17,"CDKN2B-AS1",2.27537572232646e-09
18,"PODXL2",2.6625674368394e-09
19,"NEFH",2.76353638729509e-09
20,"GPR158",3.30838208318115e-09
21,"EIF4A2P1",6.54494357411428e-09
22,"TOMM40P2",7.00407137363012e-09
23,"NCKIPSD",8.63758975316842e-09
24,"BMS1P23",1.45697726827884e-08
25,"PXDNL",1.508762166961e-08
26,"JAKMIP1",2.12318815470732e-08
27,"PLEKHG7",2.15227372187978e-08
28,"DUXAP8",2.91999845096535e-08
29,"SMYD4",3.42220551517588e-08
30,"DTHD1",4.57252920655902e-08
31,"ENSG00000272341",6.91288350906214e-08
32,"ABCA9-AS1",7.89287407012174e-08
33,"PYHIN1",1.12429416147704e-07
34,"LINC02609",1.14871209325101e-07
35,"RGS1",1.15903527977523e-07
36,"TXLNB",1.21757525682721e-07
37,"MEI4",1.84478057367177e-07
38,"PHF2P2",2.57541616344673e-07
39,"LINC01203",2.69974486150325e-07
40,"NOVA1",3.06136883295199e-07
41,"FMO2",3.68819072786886e-07
42,"ARLNC1",3.76774282635599e-07
43,"ATXN1-AS1",4.82177662715466e-07
44,"CLEC4G",5.98541860524255e-07
45,"SETBP1",5.99154739845897e-07
46,"HSPA12A",6.32408149693603e-07
47,"CEP104",6.62938733435997e-07
48,"LINC02541",7.05152013509771e-07
49,"DUXAP10",7.19502392707781e-07
50,"GNAO1",7.30310867311494e-07
51,"DDB2",7.41231614176482e-07
52,"UST",8.5972107885302e-07
53,"RHOQ-AS1",9.02318611602728e-07
54,"ATXN1",9.92588567908272e-07
55,"DYNLT5",1.15875883105654e-06
56,"KIAA1549L",1.20752920422335e-06
57,"TUBB4B",1.3129313981432e-06
58,"SIDT1-AS1",1.35489588996463e-06
59,"SLC2A13",1.38419902840578e-06
60,"MIR4500HG",1.52782237105612e-06
61,"HTRA4",1.66656677088939e-06
62,"B3GAT2",1.7156619347565e-06
63,"ENSG00000279149",1.77437383563428e-06
64,"DPPA4",1.79263621540662e-06
65,"ENSG00000228933",1.8145224719084e-06
66,"MIR17HG",1.85873757522741e-06
67,"ENSG00000250990",2.10919827729849e-06
68,"ENSG00000229533",2.15292343782443e-06
69,"UMAD1",2.21809059308807e-06
70,"BMP8A",2.3732115032286e-06
71,"ENSG00000287158",2.48460588065869e-06
72,"L3MBTL4",2.53082625505716e-06
73,"LINC00377",2.54321988173393e-06
74,"LINC01278",2.58195379190926e-06
75,"EPS15-AS1",2.82849584885818e-06
76,"C6orf120",3.90095153590504e-06
77,"KDM2B-DT",4.08797976147314e-06
78,"CELF2-AS1",4.31968531428237e-06
79,"ENSG00000272872",4.53835681191309e-06
80,"NAPB",4.59630604024455e-06
81,"GZMK",4.66175766261475e-06
82,"ELANE",4.68163734278242e-06
83,"ZDHHC20-IT1",5.10892816766389e-06
84,"TFDP1P2",5.2711109820491e-06
85,"FRG1DP",5.6131144876476e-06
86,"TMOD2",6.04448881780179e-06
87,"ENSG00000261158",6.1377626794667e-06
88,"NOG",6.38062395649985e-06
89,"TNIP3",6.48841735560242e-06
90,"ENSG00000273203",6.6706834456327e-06
91,"ENSG00000253782",6.86456636347711e-06
92,"NEXMIF",6.90158548667147e-06
