"Rank","Gene","p_value"
1,"CDKN2A",6.46502849408314e-15
2,"MIR17HG",2.76086934389395e-14
3,"UTP3",9.3979893259197e-14
4,"DDX28",6.9445093972534e-13
5,"EYA4",1.96132877625201e-12
6,"CLP1",3.80845312862417e-12
7,"TRMT10C",2.38341801774121e-11
8,"KTI12",2.52790559746068e-11
9,"POLR1C",4.49583488685862e-11
10,"ENSG00000278986",5.82311507031679e-11
11,"ENSG00000275880",6.18391518552944e-11
12,"CHAMP1",6.2054683165175e-11
13,"LCMT2",8.75210547361181e-11
14,"PLAGL2",9.09872567698912e-11
15,"LANCL2",1.22924897289224e-10
16,"ENSG00000275202",1.54511258881477e-10
17,"NCBP2AS2",2.30943550712447e-10
18,"MAD2L1BP",2.54077348677429e-10
19,"NIP7",4.60996241677552e-10
20,"ZNF587B",1.10886947909433e-09
21,"C16orf91",1.16675945833887e-09
22,"RIPK1",1.24030232905216e-09
23,"ENSG00000286964",1.25169058391318e-09
24,"MARS2",1.40105541041488e-09
25,"ENSG00000280173",1.80273692447639e-09
26,"LINC01311",1.94384910129412e-09
27,"MOCS3",2.07314268788285e-09
28,"CCNJ",2.63554744452208e-09
29,"RRS1",3.08106964523668e-09
30,"POP1",3.16199559225703e-09
31,"PPAN",3.73594654237646e-09
32,"YJU2",4.07768942353887e-09
33,"TOE1",4.33986532320686e-09
34,"DUS3L",4.51542241469346e-09
35,"FASTKD2",4.63953997404e-09
36,"SPATA2L",5.51801123358144e-09
37,"UMPS",5.58869032867634e-09
38,"EIF1AD",6.45736305324892e-09
39,"URB2",6.84708967957665e-09
40,"ABT1",6.88415800280958e-09
41,"RPUSD2",7.69297915664485e-09
42,"TWNK",9.24188433983244e-09
43,"YTHDF2",9.54410683883126e-09
44,"COA7",9.93288879885113e-09
45,"MIR22HG",1.00861826790116e-08
46,"PTRH2",1.26499400472639e-08
47,"PRR22",1.4150885251498e-08
48,"TFIP11",1.510914973302e-08
49,"IPO4",1.64501836611683e-08
50,"WDR77",1.85633266788599e-08
51,"ENSG00000260558",1.85919328794355e-08
52,"KLF16",1.88443517206786e-08
53,"CIRBP-AS1",1.91030047393038e-08
54,"HPS6",1.97065293597266e-08
55,"BYSL",2.06550101381783e-08
56,"ZBTB9",2.19481862802796e-08
57,"ENSG00000271862",2.32564908683383e-08
58,"PIGW",2.38004535384468e-08
59,"PRMT6",2.50603249968485e-08
60,"POLR1B",2.52803784368776e-08
61,"PDE12",2.65918765878954e-08
62,"ZNHIT2",2.67078154616888e-08
63,"ZFPM2-AS1",2.93894621648808e-08
64,"TBCC",2.95071716525795e-08
65,"TRMT6",3.23233194070578e-08
66,"CSTF2T",3.24636627411035e-08
67,"DPH2",3.91647881649153e-08
68,"UCK2",4.04899379147973e-08
69,"CHCHD7",4.26727300584655e-08
70,"SH3BP4",4.35468311190258e-08
71,"MPHOSPH10",4.36719162537637e-08
72,"GRWD1",4.77323604531272e-08
73,"INTS5",4.97294102373963e-08
74,"SLC25A44",5.10918181423985e-08
75,"ENSG00000271754",5.46445593408437e-08
76,"QTRT2",5.56391901084375e-08
77,"PLEKHG4",5.59544951119491e-08
78,"ZNF275",5.95758531263585e-08
79,"ENSG00000263731",6.30002158180951e-08
80,"PSME3",6.74397452346094e-08
81,"ZBTB39",7.00557342673417e-08
82,"RIOX1",7.15394968822807e-08
83,"AIMP2",7.48250316905754e-08
84,"MIRLET7A1HG",8.52536848144147e-08
85,"TUBB1",8.61029090527706e-08
86,"AAR2",9.06402338720327e-08
87,"ENSG00000274104",9.3752096959767e-08
88,"EPOP",1.19702202021908e-07
89,"GAS8-AS1",1.23075203417219e-07
90,"FASTKD5",1.27055676971571e-07
91,"PES1",1.28849195503539e-07
92,"ENSG00000288945",1.37772766645656e-07
93,"MRTO4",1.44575037568348e-07
94,"NOP56",1.46845291543097e-07
95,"SMIM12",1.47079585110252e-07
96,"ZBTB24",1.4827070661797e-07
97,"ENSG00000288826",1.49808130952973e-07
98,"CHD7",1.58604529644487e-07
99,"ZNF629",1.60224650574154e-07
100,"ZNF551",1.60835288389173e-07
101,"NOP16",1.63398190240745e-07
102,"FADD",1.66358097362004e-07
103,"DNALI1",1.72851170691636e-07
104,"DNAJC30",1.73308177125204e-07
105,"NSUN2",1.81943569632633e-07
106,"TRMO",1.86787227717119e-07
107,"ENSG00000289149",1.93961310292836e-07
108,"HNRNPAB",2.17140796596134e-07
109,"ZCCHC3",2.2521883594567e-07
110,"ENSG00000285704",2.29905044850877e-07
111,"CHRNA10",2.62270241501845e-07
112,"SMG8",2.67229897349659e-07
113,"DCAF13",2.77572283198102e-07
114,"RPP38",2.84427498397837e-07
115,"RHOBTB2",2.85570762536538e-07
116,"UFSP1",2.92040442182043e-07
117,"MEG9",2.93187824827088e-07
118,"TBL3",2.95173452141548e-07
119,"PHETA2",2.98178206824333e-07
120,"EPHB4",2.99748556478884e-07
121,"DBR1",3.02221783785679e-07
122,"RBM15B",3.18595218423992e-07
123,"ENSG00000236263",3.23760767846239e-07
124,"MTHFD2P1",3.29034924654413e-07
125,"PMPCA",3.31051120404773e-07
126,"MRPS17",3.50071169781849e-07
127,"MIEF1",3.5103078864624e-07
128,"GCC1",3.51660817467834e-07
129,"RPL13AP12",3.68988797851587e-07
130,"EXOSC4",3.85459030624142e-07
131,"H2AX",3.87773599677871e-07
132,"ZNF281",3.89431961935835e-07
133,"TRMT12",3.95748177075247e-07
134,"UBIAD1",4.10278197534399e-07
135,"PGAM5",4.50275229908732e-07
136,"HNRNPF",4.65074993081347e-07
137,"EID2",4.68000581061618e-07
138,"ENSG00000264577",4.68967218493927e-07
139,"RBM12",4.69250466671545e-07
140,"NOP2",4.89739748455606e-07
141,"PER2",4.99862243430263e-07
142,"DYNLT4",5.05132782879956e-07
143,"ENSG00000227741",5.07510840499374e-07
144,"DOT1L",5.24699000447812e-07
145,"RRP12",5.27458846228348e-07
146,"PTCHD4",5.35032801908185e-07
147,"EEF2KMT",5.79508815574699e-07
148,"MRPS16",5.95599905426945e-07
149,"MTX1",5.99447068781052e-07
150,"TP53RK",6.15294695043008e-07
151,"CHTF8",6.33614100794523e-07
152,"CCNYL1",6.49552181189433e-07
153,"CIAPIN1",6.57895224109422e-07
154,"FUOM",6.79463627905894e-07
155,"CTR9",7.01896144134901e-07
156,"SPRTN",7.17774326411014e-07
157,"NOP9",7.21222592437339e-07
158,"SEC23IP",7.24396253361753e-07
159,"KIF9",7.51163826288904e-07
160,"NUP214",7.54008538440206e-07
161,"NHLRC1",7.55948487113758e-07
162,"DKC1",7.59921722800911e-07
163,"APEX1",7.63141186439013e-07
164,"IPPK",7.64272724323076e-07
165,"ZNF324",7.68610795613972e-07
166,"PAK1IP1",7.89918158532897e-07
167,"ISG20L2",7.9794292336127e-07
