"Rank","Gene","p_value"
1,"PTCHD4",1.57257730985386e-31
2,"ENSG00000253853",5.15221354773346e-24
3,"ENSG00000224012",9.79700533759396e-20
4,"LINC02539",1.52973535682913e-19
5,"PLXDC1",4.32119847742953e-18
6,"RPL7P13",6.14771428331676e-17
7,"LINC02349",4.47331649468876e-16
8,"ENSG00000223492",4.88353734257444e-16
9,"ZNF93",6.96306214971548e-16
10,"EDA2R",7.3182566366274e-16
11,"LINC00475",1.63071127482587e-15
12,"ENSG00000286260",3.24680624761934e-15
13,"ENSG00000287186",1.86254862626703e-14
14,"ENSG00000257611",2.02027323736933e-14
15,"FAM180B",3.73535306887689e-14
16,"GRTP1",3.04386408003986e-13
17,"CSN3",4.10532945556271e-12
18,"GDF15",8.29910523750587e-12
19,"IL15",8.58596438523354e-12
20,"ENSG00000271945",1.4167911136694e-11
21,"MFAP5",1.77849377558394e-11
22,"ACTA2-AS1",1.80810627771041e-11
23,"LINC01795",2.72616058387457e-11
24,"ENSG00000279713",2.90664929880781e-11
25,"ZMAT3",3.06370397172276e-11
26,"ENSG00000255745",3.47948322385543e-11
27,"PHLDA3",4.06359645995736e-11
28,"ENSG00000226681",4.13004438077478e-11
29,"MRC2",4.79352589964698e-11
30,"LINC00911",5.54608148144682e-11
31,"ENSG00000270681",6.52973636768738e-11
32,"ENSG00000286218",6.70059151420614e-11
33,"LCNL1",1.03244869264072e-10
34,"HBB",1.16580228906674e-10
35,"SLC27A2",1.42923947999018e-10
36,"MICB",1.5097487184307e-10
37,"HBA2",1.64766658414004e-10
38,"ENSG00000253634",2.40252657772269e-10
39,"SFRP2",2.43495045922957e-10
40,"SLC47A1",2.59160056605472e-10
41,"HNRNPA1P34",3.23637571578639e-10
42,"HAUS7",4.89812053056201e-10
43,"DAPK2",5.11196968306122e-10
44,"BCAS1",6.07254951742772e-10
45,"ENSG00000278071",6.92261539403389e-10
46,"LMO3",7.82962869699273e-10
47,"MEOX1",7.83567900774424e-10
48,"ENSG00000271795",9.9565016970723e-10
49,"MXD3",1.02660616022288e-09
50,"RRP7BP",1.11749874347328e-09
51,"HJV",1.45636480255407e-09
52,"USP10",1.49842156442806e-09
53,"IFITM10",1.5351812498549e-09
54,"RTL6",1.55078523551204e-09
55,"HK2",1.61954816772868e-09
56,"BRPF3",2.44841490893965e-09
57,"ABCB5",2.81000684286651e-09
58,"CACNB1",2.87917132670225e-09
59,"MYD88",2.92788031084624e-09
60,"ACP5",2.96187049402188e-09
61,"ARHGAP19",3.01488082291654e-09
62,"LY86",3.19602144739486e-09
63,"FHOD3",3.26571559053406e-09
64,"ENSG00000254566",3.68815861252124e-09
65,"SOX2",3.80540848091312e-09
66,"NTN4",4.44724021234962e-09
67,"ENSG00000251023",4.4701224674787e-09
68,"ENSG00000285605",4.5903612347899e-09
69,"OR2M3",5.4913914650412e-09
70,"ENSG00000287758",5.70206999909445e-09
71,"PITRM1-AS1",5.72777391886574e-09
72,"STT3A",5.87470000881138e-09
73,"SRGN",6.82258320210575e-09
74,"ERVE-1",7.16712388792949e-09
75,"EHMT2-AS1",8.06883664249961e-09
76,"CTR9",8.37584896329931e-09
77,"CDCP1",8.57875675859554e-09
78,"LINC01713",8.61554042837294e-09
79,"SLC16A1",8.92880158611802e-09
80,"LINC01152",9.66558815774928e-09
81,"LRRC70",1.02226047004101e-08
82,"ZBTB7C",1.04438619651042e-08
83,"RASGRF2",1.08082334524391e-08
84,"CXCL14",1.18389760539379e-08
85,"WAPL",1.33537010312205e-08
86,"UGT8",1.49476471299306e-08
87,"POLR3B",1.52713923159642e-08
88,"ENSG00000286584",1.57425179247482e-08
89,"TPST2",1.63383625276557e-08
90,"ENSG00000250596",1.63722178886716e-08
91,"RTEL1P1",1.65269361031459e-08
92,"OLFML2B",1.66774681888439e-08
93,"ADGRB2",1.71182832669846e-08
94,"TMCC1",1.79076907489555e-08
95,"ITM2C",1.99011877503996e-08
96,"MYCT1",2.26160156021611e-08
97,"ENSG00000270953",2.26762162038724e-08
98,"NCSTN",2.41835149207907e-08
99,"IFI44L",2.66432565849404e-08
100,"NALCN",2.68379585309053e-08
101,"ASH2L",2.81531850094044e-08
102,"ENSG00000230782",3.05850640050655e-08
103,"ENSG00000254687",3.26474511157401e-08
104,"VWCE",3.75305926395011e-08
105,"AMPH",3.7833830036878e-08
106,"GREM2",3.86889190361481e-08
107,"ENSG00000232821",4.11461558467746e-08
108,"KMT2E-AS1",4.27324105280373e-08
109,"SLC22A31",4.28801106481078e-08
110,"ENSG00000286458",4.32119429361424e-08
111,"TMEM97",4.66671867102387e-08
112,"DHX40",4.69397490937755e-08
113,"NPIPB4",4.75533561729342e-08
114,"ATP6V1D",4.91810272952101e-08
115,"GOLGA7",5.16074781300453e-08
116,"FYN",5.98372208766767e-08
117,"DSTYK",6.04045532661247e-08
118,"TSPYL1",6.06184318162532e-08
119,"ENSG00000265136",6.11712312888869e-08
120,"HSD17B14",6.12410106142072e-08
121,"ENSG00000286116",6.33928490365709e-08
122,"PRKD1",6.36863594096767e-08
123,"WFDC2",6.56674872423347e-08
124,"FAM104B",6.66985690445138e-08
125,"TATDN2P1",6.81739701068923e-08
126,"CASP4LP",6.8296820497269e-08
127,"WNK1",6.93230154903919e-08
128,"PRKCB",7.59313109101891e-08
129,"LEO1",7.86442509774524e-08
130,"MTND5P32",7.90470910786771e-08
131,"IL1B",8.06057052353856e-08
132,"OR52N4",8.06066467224421e-08
133,"SEC23B",8.18677819604827e-08
134,"DYNLL1",8.38010809689048e-08
135,"ZNF540",8.46442507338419e-08
136,"ACSBG1",8.71877989590529e-08
137,"IFI44",8.79719469378327e-08
138,"ENSG00000278867",8.987182938118e-08
139,"ACP2",9.66068845588119e-08
140,"ENSG00000250971",9.68975261846594e-08
141,"ZNF439",9.89447741409899e-08
142,"ABAT",1.00369985383411e-07
143,"AGPS",1.03215445580218e-07
144,"DNMT3L",1.10700093798695e-07
145,"HRAS",1.10974861985988e-07
146,"CEMIP",1.11362522509896e-07
147,"SIN3A",1.11405193168554e-07
148,"SPG7",1.11540893452462e-07
149,"RGP1",1.13248254561368e-07
150,"SELENOO",1.21294326031134e-07
151,"DCLRE1A",1.24354082772614e-07
152,"ENSG00000287884",1.27070237510684e-07
153,"DHX8",1.27071052001402e-07
154,"TWIST1",1.27330347143731e-07
155,"ENSG00000260517",1.31620232118701e-07
156,"AGGF1",1.32907496898623e-07
157,"SNHG6",1.3299740529449e-07
158,"NINJ2",1.33869067387939e-07
159,"AFF2",1.4301130968406e-07
160,"COL16A1",1.46634814248855e-07
161,"LSR",1.47967640129577e-07
162,"LINC01117",1.4974606086647e-07
163,"ADRA1D",1.50719046160232e-07
164,"OXCT1",1.52120172184783e-07
165,"TSPAN5",1.68188844485698e-07
166,"FAS",1.73224537113781e-07
167,"KCNK15",1.73983307976155e-07
168,"CDYL",1.77962709054442e-07
169,"PTGDS",1.79128163862743e-07
170,"ENSG00000287718",1.92515438887475e-07
171,"ENSG00000248515",1.94448690987289e-07
172,"CCT5",1.9514325785548e-07
173,"HBA1",1.98113398911878e-07
174,"KIF21A",2.00769059183934e-07
175,"FMO8P",2.01044821074677e-07
176,"KCNS3",2.05314448669351e-07
177,"BMS1P10",2.11867070570191e-07
178,"ZNF697",2.13459333262007e-07
179,"CPVL",2.15723943347909e-07
180,"GNLY",2.16579954888823e-07
181,"RASSF8-AS1",2.1737572377439e-07
182,"SETSIP",2.19436647349001e-07
183,"ENSG00000286599",2.20742372630881e-07
184,"ENSG00000230333",2.25048964248387e-07
185,"HOPX",2.28741027971186e-07
186,"ANKRD65",2.29890106568692e-07
187,"ENSG00000277010",2.2999206499192e-07
188,"CA8",2.33853216772813e-07
189,"PAQR8",2.37386769820866e-07
190,"BZW2",2.4264996745967e-07
191,"MAP3K7CL",2.47578669383506e-07
192,"SMARCA5",2.50897749549013e-07
193,"CD69",2.511996912711e-07
194,"TM9SF2",2.5560866460522e-07
195,"CDH2",2.60526038632445e-07
196,"SLC25A53",2.60684837080351e-07
197,"ENSG00000271959",2.65069233318045e-07
198,"TRIM22",2.72025069524235e-07
199,"ENSG00000280073",2.73169759479087e-07
200,"ENSG00000263345",2.73477014082512e-07
201,"SNHG12",2.74551710775349e-07
202,"ENSG00000272812",2.75020849144888e-07
203,"XPR1",2.79855291128467e-07
204,"ILF2",2.83815673442916e-07
205,"CAND2",2.85924048000219e-07
206,"KLHL12",2.88697848108814e-07
207,"LINC02084",2.91984990713445e-07
208,"ENSG00000285550",2.96299085040697e-07
209,"MTSS1",2.99981516204608e-07
210,"C12orf75",3.00586573361468e-07
211,"TMEM59L",3.0283245398586e-07
212,"SDC4",3.04148560276474e-07
213,"ENSG00000227252",3.4319217010996e-07
214,"ZSCAN20",3.43775670109934e-07
215,"CPNE7",3.47310407107237e-07
216,"MINDY4",3.47439719530146e-07
217,"CCN1",3.5414609627586e-07
218,"ELSPBP1",3.56554983744417e-07
219,"TSPYL5",3.76829157793051e-07
220,"ESCO2",3.77929153963182e-07
221,"EYA3",3.79784638398305e-07
222,"ZC3H15",3.81506073757138e-07
223,"ARHGAP44-AS1",3.83670923153065e-07
224,"NTM",3.93754284943171e-07
225,"RPA2",3.96079676748046e-07
226,"VAC14-AS1",3.96286936480696e-07
227,"PRCC",4.0436337114441e-07
228,"CLEC2D",4.11451470745968e-07
229,"ENSG00000286234",4.32689664823366e-07
230,"VIRMA",4.33805989056363e-07
231,"RGS13",4.34842520401388e-07
232,"TRIM51CP",4.75735796791759e-07
233,"TMX4",4.79279407815552e-07
234,"PKM",4.86770937361804e-07
235,"ENSG00000276434",4.93452950590033e-07
236,"ENSG00000253858",5.1061398750528e-07
237,"HS2ST1",5.19106145704279e-07
238,"CFDP1",5.19431658324755e-07
239,"EEF1A2",5.24447412422046e-07
240,"SLN",5.24971705503918e-07
241,"ENO2",5.26872922406426e-07
242,"PIGL",5.33739518183143e-07
243,"HNRNPC",5.41821057471854e-07
244,"BMX",5.5223634017566e-07
245,"KIFAP3",5.63861822494137e-07
246,"ENSG00000260257",5.64446579802289e-07
247,"LINC01287",5.65880909759381e-07
248,"HSPA4",5.66227179175812e-07
249,"CTSG",5.81049048317883e-07
250,"MRPL45P2",5.86653164697399e-07
251,"ENSG00000237070",5.88810547568291e-07
252,"KIFBP",5.91954934717999e-07
253,"IDI2-AS1",6.15195470388858e-07
254,"HCCS",6.24068474614679e-07
255,"DDX10",6.30362108408726e-07
256,"LTBP2",6.46356699382594e-07
257,"ENSG00000236536",6.70876861403249e-07
258,"TMEM35A",6.72482693215437e-07
259,"ENSG00000285684",6.8194722063357e-07
260,"RBBP8P1",6.97793605496848e-07
261,"ENSG00000250908",7.0452520257959e-07
262,"TMEM120B",7.12059283414245e-07
263,"LAPTM4A",7.13754260964216e-07
264,"CLCN3",7.45152433137058e-07
265,"PPIEL",7.46107752198405e-07
266,"CPT2",7.49047453870372e-07
267,"ARL6IP1",7.52545880194158e-07
268,"PEG10",7.54810157475736e-07
269,"GJA3",7.57005548638818e-07
270,"SNORD21",7.66332891844775e-07
271,"ENSG00000245261",7.7845625626442e-07
272,"ENSG00000250992",7.86604305798098e-07
273,"TM9SF1",7.95728941162186e-07
274,"ENSG00000267287",7.96923720074076e-07
275,"DIPK1A",8.0935352552031e-07
276,"CACNA2D3-AS1",8.17639643788497e-07
277,"ENSG00000272182",8.4281925180923e-07
278,"MAGEB3",8.45149261596674e-07
279,"PHACTR4",8.54212951990858e-07
280,"CKAP5",8.60821015693486e-07
281,"ENSG00000275056",8.86814000613033e-07
282,"MRPL35P3",9.03007180213729e-07
283,"HPN",9.06810804103908e-07
284,"ENSG00000266830",9.10312633586966e-07
285,"CCT4",9.15060535492088e-07
286,"ROBO1",9.26980515335777e-07
287,"LRP5L",9.32360175933473e-07
288,"ENSG00000261135",9.43521809049601e-07
289,"FUT8",9.68354260862636e-07
290,"ENSG00000289120",9.74559871407226e-07
291,"YWHAE",1.01721690507052e-06
292,"FRMD8",1.03360031633222e-06
293,"ABCA1",1.04326485925901e-06
294,"RTL1",1.04411950315985e-06
295,"ISM2",1.04980646076134e-06
296,"SCN2A",1.05962992279923e-06
297,"MCCC1-AS1",1.05996327214641e-06
298,"TTI1",1.07303512549498e-06
299,"RSPO2",1.09421905331022e-06
300,"ENSG00000273091",1.10999780054258e-06
301,"WDR3",1.14330149825049e-06
302,"ARHGEF4",1.14558019728148e-06
303,"PIGZ",1.18744086665051e-06
304,"HMGB1P24",1.18882724948113e-06
305,"DHX9",1.19762324525434e-06
306,"TRMT11",1.20112818470589e-06
307,"ENSG00000277749",1.20920304399162e-06
308,"ENSG00000262652",1.21360386825799e-06
