"Rank","Gene","p_value"
1,"GDF15",5.88186337526525e-28
2,"PTCHD4",4.85793230004858e-27
3,"CLP1",8.32581776924589e-26
4,"SPATA18",6.62376627598525e-25
5,"ENSG00000270640",3.36767134297503e-24
6,"ZMAT3",5.32958105880496e-23
7,"DDX28",5.95805497530194e-23
8,"HBA2",3.57755390227747e-22
9,"KTI12",4.88598193623811e-22
10,"TRMT10C",5.30709769564079e-22
11,"GIMAP6",8.15711424357408e-21
12,"HPS6",9.50546312148237e-21
13,"RORB",2.31872343460088e-20
14,"ZNF518B",2.37579456585946e-20
15,"ZRANB2-AS1",3.07902555454419e-20
16,"CSTF1",3.59584928670553e-20
17,"MRPL46",3.70423989422666e-20
18,"EYA4",4.40334145503229e-20
19,"MAP10",5.35538084168252e-20
20,"HBA1",6.48224783690237e-20
21,"SLC2A3",6.83162872514615e-20
22,"HBB",9.56706371525108e-20
23,"LNCTAM34A",9.80454210160278e-20
24,"NTF4",2.31192334722392e-19
25,"ENSG00000271862",3.47865441335396e-19
26,"KRTAP5-1",3.66158874932213e-19
27,"PPP1R14BP3",3.90787869131619e-19
28,"CYCSP40",1.06146904808162e-18
29,"HSPA1B",1.48844471006821e-18
30,"HSF4",1.54110827434308e-18
31,"ENSG00000279766",4.27467575569502e-18
32,"H2BC18",4.93194260976802e-18
33,"ENSG00000269356",5.01333363982127e-18
34,"ENSG00000273203",8.22098706593568e-18
35,"DBR1",9.9988239637121e-18
36,"AAR2",2.28480709632284e-17
37,"TCIM",2.54316725166427e-17
38,"MOCS3",2.62730486112604e-17
39,"TENM3-AS1",2.79711243373339e-17
40,"BMPR1B",4.16717990706184e-17
41,"DDX20",4.29673580608018e-17
42,"EPHA10",5.7214831424457e-17
43,"SNORD14E",6.88150328150745e-17
44,"ENSG00000260060",7.70043471913191e-17
45,"LCMT2",1.15320796810357e-16
46,"BHLHE40-AS1",1.22248750559481e-16
47,"NIF3L1",1.2497218448751e-16
48,"MAD2L1BP",1.64570927702273e-16
49,"BHLHE40",2.22204059453079e-16
50,"LINC00562",3.44269543756927e-16
51,"FASTKD5",3.45853947186732e-16
52,"KBTBD4",3.91917476144405e-16
53,"PTPRG-AS1",5.75041028309315e-16
54,"SMG8",5.79412463090193e-16
55,"ABT1",6.68230304393253e-16
56,"YTHDF2",9.94471962060646e-16
57,"RRAGA",1.06953323564812e-15
58,"ENSG00000280173",1.20237433388873e-15
59,"GSPT2",1.22060109277884e-15
60,"ENSG00000270091",1.26014839965148e-15
61,"CCDC148",1.38122718330776e-15
62,"GIMAP7",1.94594657183206e-15
63,"STC1",2.0017278166993e-15
64,"ENSG00000235070",2.17775105114069e-15
65,"EDA2R",2.49651482320524e-15
66,"FAM136DP",2.50368411200691e-15
67,"FAM27E3",2.72340558049098e-15
68,"FEN1",2.8724828512896e-15
69,"PHETA2",2.93350581387719e-15
70,"ZNF792",3.2891460369267e-15
71,"TMEM178A",4.48132117206048e-15
72,"MT-CO1",4.64396527570879e-15
73,"ENSG00000285704",4.91192162378911e-15
74,"EPHB4",4.99642019951341e-15
75,"ENSG00000278986",5.26386739945996e-15
76,"SLC25A37",5.31386583975829e-15
77,"RIOX1",6.03318248858331e-15
78,"POU3F4",6.12209366773666e-15
79,"TRIM16L",6.24628303015028e-15
80,"IVNS1ABP",6.62490637154084e-15
81,"H2BU1",7.20637344303322e-15
82,"INKA1",8.73949153431883e-15
83,"POP1",9.17708772005278e-15
84,"COA7",1.12440165166761e-14
85,"DOLK",1.26650364302818e-14
86,"HMGB1P24",1.48965586133424e-14
87,"ENTPD8",1.54042762438047e-14
88,"MAP4K3-DT",1.71537532810768e-14
89,"PPM1J",1.75297956824439e-14
90,"CADM2",1.82418346290553e-14
91,"CPT1B",1.90028846557476e-14
92,"CHMP4BP1",2.02715839340029e-14
93,"ENSG00000226396",2.09705596013222e-14
94,"HSPA1A",2.14041398386184e-14
95,"ENSG00000272812",2.43050697537724e-14
96,"ENSG00000269376",2.76166871913948e-14
97,"RPUSD2",2.80121198120706e-14
98,"TMEM86A",2.92222876037846e-14
99,"DAPL1",3.69159448802302e-14
100,"MED18",3.93633494710434e-14
101,"ENSG00000279838",4.04993059226713e-14
102,"ANKRD37",4.6401848938493e-14
103,"RPL13AP12",4.83889726245878e-14
104,"RPL29P14",5.69874230872139e-14
105,"TSPYL5",5.92156254883892e-14
106,"SUMO4",6.9453138635728e-14
107,"TNFRSF10C",9.35177278110342e-14
108,"ENSG00000239828",9.61009962762618e-14
109,"CNIH3",9.80284252116208e-14
110,"ENSG00000279821",1.06985246682939e-13
111,"PPP1R15A",1.11149439575046e-13
112,"ENSG00000261578",1.16548838408385e-13
113,"TECTB",1.31966408819525e-13
114,"CUTC",1.53326150729128e-13
115,"CSAD",2.05511182016751e-13
116,"ENSG00000276672",2.06181156151954e-13
117,"ENSG00000237126",2.12731084021883e-13
118,"BTF3P3",2.32026861736258e-13
119,"HENMT1",2.56112103587915e-13
120,"LINC00115",2.56750728836876e-13
121,"THBS3",2.59058280296079e-13
122,"ENSG00000275092",2.60737615680293e-13
123,"FAS",2.62470528002215e-13
124,"SRPX",2.72344475450087e-13
125,"LINC-PINT",2.75343213529051e-13
126,"CARD6",2.76256104083588e-13
127,"GDI1",2.8013994004531e-13
128,"PBX3",3.04670486814253e-13
129,"ENSG00000289154",3.25829131310959e-13
130,"ZBTB39",3.43925357081234e-13
131,"H2AZ2P1",3.5756730765296e-13
132,"IER5L",3.67395585271891e-13
133,"TRAF3IP2-AS1",4.06321617994205e-13
134,"RPS27L",4.13735072848505e-13
135,"ENSG00000228107",4.18307976984814e-13
136,"ENSG00000229808",4.32337636968686e-13
137,"UMPS",4.33669782674217e-13
138,"AIMP2",4.55251698020646e-13
139,"ENSG00000287330",4.61783693778266e-13
140,"AFAP1-AS1",5.29163920489455e-13
141,"SEC14L1P1",5.76012242679162e-13
142,"ENSG00000216809",5.87892211532575e-13
143,"RPS20P22",5.96381696832183e-13
144,"HES5",6.08488211051735e-13
145,"KRTAP5-AS1",6.1131008084719e-13
146,"GRAMD2B",6.39143512468643e-13
147,"ENSG00000278881",6.98848600311086e-13
148,"POU5F2",7.25102952278374e-13
149,"SRSF5",7.76751962347135e-13
150,"ASB8",7.82429928795224e-13
151,"SMC5-DT",8.1474279808833e-13
152,"ENSG00000273284",8.19071574954613e-13
153,"CPNE7",8.31201873795241e-13
