"Rank","Gene","p_value"
1,"Y_RNA",3.37439541595483e-22
2,"SLC6A15",5.4402114995751e-22
3,"CDYL2",6.1041698498046e-20
4,"PKIA",1.06793258158244e-19
5,"SEZ6L2",4.91039163688657e-19
6,"RTN2",9.32219501465559e-19
7,"PDE4A",5.38261047432502e-18
8,"JPH1",5.61253831475803e-18
9,"INSYN1",5.88225690919114e-18
10,"TCEAL6",1.68538312484011e-17
11,"TRIM61",6.05221418778652e-17
12,"RBM11",6.63002783267593e-17
13,"PLAG1",6.742766292878e-17
14,"PLPP1",6.97594684268523e-17
15,"RADX",7.68427896102922e-17
16,"SAMD14",1.48448034681306e-16
17,"LNCTAM34A",3.10409008968219e-16
18,"DMKN",3.29241418323489e-16
19,"HFM1",3.93970267047859e-16
20,"BEX5",4.63684313677311e-16
21,"HSPA2",1.00967641941973e-15
22,"CRNDE",1.451592603519e-15
23,"EML2",1.69367993792089e-15
24,"FAT1",1.7711736237439e-15
25,"QPCT",2.92986632402043e-15
26,"EDA2R",4.32194141604476e-15
27,"IRAIN",1.30631224377851e-14
28,"ZSCAN12P1",1.78049557042715e-14
29,"SPARC",2.26614239462607e-14
30,"CHST2",2.7697328782555e-14
31,"DKK3",2.98048595829936e-14
32,"MOXD1",4.00603030742343e-14
33,"ARHGAP24",5.07018642460099e-14
34,"LINC00954",1.19655729571879e-13
35,"CST6",1.26866911802732e-13
36,"MYO15A",1.339981171124e-13
37,"KIF23",1.44750544397366e-13
38,"ENSG00000289133",1.85462370896993e-13
39,"THY1",2.03934980431035e-13
40,"E2F3",2.68125616444892e-13
41,"GRN",2.99717499911627e-13
42,"TMEM102",3.19003757034203e-13
43,"FAM32A",3.8114871334146e-13
44,"GRM7",4.27350967862396e-13
45,"SDC3",4.84465175364934e-13
46,"KIAA2013",5.52671821829461e-13
47,"LUZP1",6.76223088363324e-13
48,"TRPC3",6.76497573557586e-13
49,"ENSG00000244471",7.31515469825827e-13
50,"CDKL2",7.68497691280228e-13
51,"ABHD17AP6",8.31953998664705e-13
