"Rank","Gene","p_value"
1,"Y_RNA",1.65706655228653e-26
2,"PURPL",2.5588586044617e-15
3,"Metazoa_SRP",1.93499930718736e-11
4,"MIR3936HG",1.16966785642389e-10
5,"DHRS3",1.51106780987085e-10
6,"LINC00475",2.02376441986745e-10
7,"ENSG00000272482",4.55544304257475e-10
8,"POM121L9P",8.0544711355408e-10
9,"PTCHD4",9.28905606477777e-10
10,"RNF175",9.32306915266272e-10
11,"CT66",1.10260242352598e-09
12,"ENSG00000232406",1.16621417091856e-09
13,"LINC02298",1.17849202217216e-09
14,"FBXO24",1.21563936392306e-09
15,"CNIH3",1.21932242579691e-09
16,"EDA2R",1.44410465867791e-09
17,"PCOLCE-AS1",1.96371576926379e-09
18,"GPRIN1",2.14058891790103e-09
19,"ENSG00000288927",2.26749182802128e-09
20,"LINC01232",2.73815373354216e-09
21,"PHBP20",2.89220372798837e-09
22,"IGFN1",3.23799749049028e-09
23,"HFM1",3.84240025353325e-09
24,"EMILIN3",3.99235773935179e-09
25,"OFD1",4.2398261802425e-09
26,"C19orf38",4.30825918408542e-09
27,"ECHDC2",4.64439010589223e-09
28,"ENSG00000279491",4.982740830318e-09
29,"LIPK",5.44047997235925e-09
30,"PRSS43P",5.50310205475092e-09
31,"PRSS50",6.13503741706062e-09
32,"LINC00954",6.76853436665593e-09
33,"ENSG00000244471",7.18785820055362e-09
34,"ENSG00000269151",7.28384197439839e-09
35,"ZNF214",8.29640218667745e-09
36,"MGARP",8.98205518127367e-09
37,"ENSG00000287811",9.13923655551262e-09
38,"ENSG00000272812",9.56705406627212e-09
39,"ENSG00000226530",1.10464274668205e-08
40,"L3MBTL2-AS1",1.19493712578833e-08
41,"TVP23C",1.29458109083343e-08
42,"RPS23P1",1.30318421980164e-08
43,"ENSG00000173727",1.30339087039043e-08
44,"LINC00115",1.31527776784787e-08
45,"EZHIP",1.33189126460541e-08
46,"TUBB4B",1.46612925748731e-08
47,"PRSS44P",1.49642889173389e-08
48,"RPL36AP43",1.53129677263458e-08
49,"ENSG00000285347",1.60419601184431e-08
50,"ENSG00000287037",1.68287289342164e-08
51,"ENSG00000289540",1.71768249379526e-08
52,"CNTFR-AS1",1.77726491081562e-08
53,"LINC01933",1.8149455738905e-08
54,"KCNS1",1.88551385830418e-08
55,"ENSG00000263990",2.1116991891168e-08
56,"HPS6",2.12623348302364e-08
57,"PABPC1P4",2.158643122512e-08
58,"ENSG00000259067",2.185764851558e-08
59,"FOXO6-AS1",2.26562676431256e-08
