"Rank","Gene","p_value"
1,"LINC00957",1.68165307898755e-33
2,"PAN3-AS1",2.34054157142314e-33
3,"LINC01963",8.07491055867829e-33
4,"ARHGEF2-AS2",2.66413087892382e-32
5,"LINC01089",3.89454461156722e-32
6,"ZSWIM1",4.95944483708336e-32
7,"ENSG00000267940",5.3733307715908e-32
8,"MED31",9.21200832602836e-32
9,"KCTD21",1.4025379326065e-31
10,"ENSG00000229635",1.71411450669693e-31
11,"SAP30L",1.76229253140006e-31
12,"NLRX1",2.69473116820705e-31
13,"ENSG00000269892",4.39441960839661e-31
14,"PTAFR",4.84264307940049e-31
15,"LYSMD1",1.83055007219102e-30
16,"ERP27",2.92505607445876e-30
17,"ZNF425",3.04856628763944e-30
18,"BCDIN3D",3.19862497290214e-30
19,"TNFAIP8L2",3.44555196483613e-30
20,"PSKH1",3.94675627549157e-30
21,"MRPL20-DT",4.42038109349886e-30
22,"NMNAT1",4.55264995374338e-30
23,"ENSG00000272849",4.58528852165228e-30
24,"TMEM169",4.77871969608565e-30
25,"RPSAP22",5.9144091692845e-30
26,"ZSWIM3",7.63356563498196e-30
27,"ENSG00000283602",8.304006847515e-30
28,"ENSG00000231113",8.50482704702877e-30
29,"ZNF20",8.77414073322637e-30
30,"LAMTOR1",1.09399263832426e-29
31,"TEX22",1.13732399770514e-29
32,"ATP6V1E2",1.17822493247091e-29
33,"HILPDA",1.26115074006398e-29
34,"MED18",1.68705775504799e-29
35,"GAPT",2.25086773673568e-29
36,"ENSG00000273669",2.97002683834399e-29
37,"MIRLET7IHG",3.37009370724479e-29
38,"ZDHHC12",3.47089384376854e-29
39,"CYB561D1",3.78052580982404e-29
40,"ENSG00000261338",3.7894854703601e-29
41,"ENSG00000270091",4.15504642896848e-29
42,"GOLPH3-DT",4.49736646694642e-29
43,"TUSC2",5.11265890450671e-29
44,"TTC30B",5.74973704602891e-29
45,"ENSG00000288156",6.09185722609317e-29
46,"MINDY1",6.85495497348464e-29
47,"KCTD2",7.37836250262752e-29
48,"ENSG00000256448",8.04535015215839e-29
49,"LINC02908",8.36537802036446e-29
50,"C14orf119",9.56365589067797e-29
51,"ENSG00000269399",1.11606454147236e-28
52,"ENSG00000247121",1.18593046679135e-28
53,"ROM1",1.27557401061778e-28
54,"TMEM60",1.29889013746545e-28
55,"NKAPL",1.3545956479618e-28
56,"ANXA9",1.37431684094717e-28
57,"ENSG00000271862",1.40977423066206e-28
58,"LRRC37A3",1.43997677874505e-28
59,"FRAT1",1.44050898263752e-28
60,"ST3GAL6",1.7273709785505e-28
61,"ENSG00000261218",1.77023406460233e-28
62,"PDCD6",1.90128814106441e-28
63,"ENSG00000277715",1.98837275181163e-28
64,"ZNF763",2.4771614734963e-28
65,"TMEM216",2.49358186771992e-28
66,"ENSG00000274460",2.62463447960141e-28
67,"CCL3",3.21087179473997e-28
68,"SLED1",3.73417451452361e-28
69,"ENSG00000272501",3.85674012950259e-28
70,"CENPBD1",4.53761286074564e-28
71,"ENSG00000267546",4.59653325746659e-28
72,"LPP-AS2",4.74743853297618e-28
73,"ZNF780A",4.82208183293796e-28
74,"GFOD2",5.08743785538838e-28
75,"ENSG00000272345",5.62725883356457e-28
76,"C2orf68",5.74202094195138e-28
77,"MNDA",5.86389810652646e-28
78,"SMG8",6.6970780531199e-28
79,"TSSK3",6.78687319987364e-28
80,"DHRS7B",7.33466076608747e-28
81,"ENSG00000280088",7.47111190258374e-28
82,"ZSCAN32",7.49248005172477e-28
83,"ENSG00000289471",7.85929798030434e-28
84,"MSRB2",1.02411503692814e-27
85,"ENSG00000272719",1.0701556816799e-27
86,"SFXN5",1.10991732227467e-27
87,"NFAM1",1.11960524111258e-27
88,"VPS13B-DT",1.14911405716944e-27
89,"MFSD5",1.18122381505653e-27
90,"ENSG00000285667",1.36052463595714e-27
91,"ENSG00000259704",1.51968129048081e-27
92,"PLIN2",1.65094313756459e-27
93,"TNFSF10",1.80463010058781e-27
94,"ENSG00000224152",1.92698798098469e-27
95,"PNPLA1",1.98351837327883e-27
96,"RAMAC",2.1053232932075e-27
97,"ENSG00000289507",2.56834126918314e-27
98,"ENSG00000243155",2.74089237638541e-27
99,"CBLL1-AS1",2.84919679642563e-27
100,"HHEX",2.98256597281509e-27
101,"ENSG00000289182",2.98794048695046e-27
102,"KREMEN1",3.01059307317041e-27
103,"S1PR4",3.05835901668745e-27
104,"B9D2",3.06841306839884e-27
105,"CDC123",3.13271381372516e-27
106,"SWSAP1",3.29215108004824e-27
107,"NDUFAF1",3.34360192082325e-27
108,"KCNH3",3.70514447278531e-27
109,"ZNF174",4.06373292036402e-27
110,"MANSC1",4.2278373888828e-27
111,"ENSG00000231856",4.2868516048413e-27
112,"SMUG1",4.9980334499759e-27
113,"P2RY13",5.12514372677631e-27
114,"MKKS",5.54524847340668e-27
115,"ENSG00000272374",6.05245507077028e-27
116,"TADA3",6.07469837978924e-27
117,"ENSG00000279884",6.26235602788807e-27
118,"ENSG00000270562",7.01015104408778e-27
119,"ZBTB3",7.2751339392654e-27
120,"ENSG00000267317",7.30977765742871e-27
121,"SNX11",7.69457429564504e-27
122,"LINC00671",7.97863145219655e-27
123,"ZNF576",8.35924117016453e-27
124,"CCL3-AS1",8.54830660472574e-27
125,"ENSG00000216895",8.58595501109581e-27
126,"ENSG00000288612",8.84211387963762e-27
127,"CHRNA10",9.20478121280695e-27
128,"MIR223HG",9.2435422193016e-27
129,"HK2-DT",1.04123931580798e-26
130,"ZNF613",1.07797344731949e-26
131,"H1-3",1.15020445648419e-26
132,"MOCS3",1.15439234397787e-26
133,"ENSG00000287212",1.24870747546333e-26
134,"TMEM265",1.28347942092003e-26
135,"ING4",1.31627814871913e-26
136,"PRCP",1.3539906014127e-26
137,"ENSG00000285632",1.42728260232917e-26
138,"KIAA2013",1.45388080616548e-26
139,"B3GALT4",1.45636294767657e-26
140,"ENSG00000272386",1.55937303177302e-26
141,"RTN2",1.57013382751357e-26
142,"ENSG00000275278",1.8149676267502e-26
143,"LXN",1.87255793758974e-26
144,"TOR4A",1.87947878660332e-26
145,"OPRL1",1.91146504957425e-26
146,"PGM2",1.93507511669768e-26
147,"PTPRN2-AS1",2.46598187050225e-26
148,"CARD6",2.49877462437767e-26
